listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6752360,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-عبدالله-بن-المقفع-حي-عرقة-مدينة-الرياض-منطقة-الرياض-6752360,"فيلا للبيع في شارع عبدالله بن المقفع, حي عرقة, مدينة الرياض, منطقة الرياض",6600000,684,,7,4,10,حي عرقة,الرياض,غرب الرياض,"🏡 فرصة نادرة لامتلاك فيلا فاخرة في حي عرقة 🏡

إذا كنت تبحث عن منزل يجمع بين الموقع المميز، والفخامة، والجاهزية للسكن، فهذه هي الفرصة التي تستحق اهتمامك.

✨ مميزات الفيلا:
✔ تقع في أحد أفضل مواقع حي عرقة.
✔ عمرها 10 سنوات، وتم تجديدها بالكامل.
✔ مؤثثة بأثاث جديد وعصري.
✔ تشطيبات راقية وجودة عالية.
✔ جاهزة للسكن دون أي تكاليف إضافية.
✔ قريبة من جميع الخدمات والطرق الرئيسية.

🌟 فيلا تدخلها اليوم… وتعيش فيها براحة من أول يوم.

📞 للتواصل وحجز موعد للمعاينة، تواصل الآن قبل أن تضيع الفرصة.

)((الرقم يظهر عند الضغط على اتصال))

“الفلل المميزة لا تبقى في السوق طويلاً.",24.679657,46.599039,https://images.aqar.fm/webp/750x0/props/004733517_1782733785560.jpg | https://images.aqar.fm/webp/750x0/props/004733515_1782733817753.jpg | https://images.aqar.fm/webp/750x0/props/004733510_1782733817753.jpg | https://images.aqar.fm/webp/750x0/props/004733518_1782733817754.jpg | https://images.aqar.fm/webp/750x0/props/004733512_1782733817753.jpg | https://images.aqar.fm/webp/750x0/props/004733519_1782733840544.jpg | https://images.aqar.fm/webp/750x0/props/004733511_1782733840544.jpg,7,فهد سليمان,شركة الف القاسم للاستثمارات العقارية,1,2026-06-29,2026-07-28,2026-07-28,1773,2026-08-23,True,"6,600,000",False,فيلا
6761787,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-أسلم-بن-عبدالرحمن-ميرك-حي-عرقة-الرياض-منطقة-الرياض-6761787,فيلا للبيع في شارع أسلم بن عبدالرحمن ميرك ، حي عرقة ، الرياض ، منطقة الرياض,25000000,1050,7,5,2,11,حي عرقة,الرياض,غرب الرياض,,24.682323,46.574558,https://images.aqar.fm/webp/750x0/props/031255803_1783330403588.jpg | https://images.aqar.fm/webp/750x0/props/031255807_1783330422981.jpg,2,احمد بن عبدالله بن عبدالرحمن بن يوسف,,,2026-07-06,,2026-07-06,203,2026-08-23,False,طلب تسويق,False,فيلا
6805629,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-أسلم-بن-عبدالرحمن-ميرك-حي-عرقة-مدينة-الرياض-منطقة-الرياض-6805629,"فيلا للبيع في شارع أسلم بن عبدالرحمن ميرك, حي عرقة, مدينة الرياض, منطقة الرياض",20000000,1050,6,,,11,حي عرقة,الرياض,غرب الرياض,"فيلا للبيع حي عرقه
المساحة 1050 متر
زاويه شمالية شرقية 
شوارع 20 متر امام مسجد 
عمر العقار 12 سنه
تتكون من 
6 غرف نوم بدورات مياه 
صالتين 
مجلس و مقلط 
غرفه ضيوف 
مطبخ مع غرفه خادمة مخزن 
شقه علويه لا يوجد لها مدخل خارجي 
استديو سكني خارجي ممكن يكون ملحق 
غرفه سائق 
مسبح 
حديقه
مصعد
قبو
البيع  20 مليون 
مباشر مع المالك 
الموقع 📍
https://maps.app.goo.gl/fq3zYgvBtBfB5uiT6?g_st=aw",24.682091,46.574458,https://images.aqar.fm/webp/750x0/props/040512351_1785849325682.jpg,1,حمد بن عبدالله بن مقرن الوايلي,مؤسسة ارض الشمال العقارية,1,2026-08-04,2026-08-04,2026-08-07,169,2026-08-23,True,"20,000,000",False,فيلا
6830588,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-هلال-الربعي-حي-عرقة-مدينة-الرياض-منطقة-الرياض-6830588,"فيلا للبيع في شارع هلال الربعي, حي عرقة, مدينة الرياض, منطقة الرياض",5500000,342,5,0,0,8,حي عرقة,الرياض,غرب الرياض,"مساحه 342 متر شارع 15 جنوبي 
قبو مسبح مصعد تكييف مخفي 
القبو ( مسبح صاله جلوس صاله رياضيه مطبخ أوفيس دوره مياه 

الدور  الأرضي 
مجلس ضيوف - صاله طعام - صالتين جلوس - مطبخ - دوره مياه رجال  ونساء ومغاسل 

الدور الاول 
صاله جلوس وثلاث غرف نوم وثلاث دورات مياه ومطبخ أوفيس 
السطح 
صاله جلوس وغرفتين نوم و غرفه عامله وغرفه غسيل وسطح خارجي 

السوم 5 مليون  و800",24.692643,46.59835,https://images.aqar.fm/webp/750x0/props/029505011_1787126280305.jpg | https://images.aqar.fm/webp/750x0/props/029505010_1787126280305.jpg | https://images.aqar.fm/webp/750x0/props/029505018_1787126280321.jpg | https://images.aqar.fm/webp/750x0/props/029505013_1787126280304.jpg | https://images.aqar.fm/webp/750x0/props/029505013_1787126280318.jpg | https://images.aqar.fm/webp/750x0/props/029505012_1787126280313.jpg | https://images.aqar.fm/webp/750x0/props/029505019_1787126280315.jpg,7,سعيد ناصر فهد الدوسري,,,2026-08-19,2026-08-19,2026-08-19,137,2026-08-23,True,"5,500,000",False,فيلا
6564917,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-إبراهيم-بن-أبي-الحرم-حي-عرقة-مدينة-الرياض-منطقة-الرياض-6564917,"فيلا للبيع في شارع إبراهيم بن أبي الحرم, حي عرقة, مدينة الرياض, منطقة الرياض",7000000,525,5,5,3,9,حي عرقة,الرياض,غرب الرياض,$5d,24.681725,46.577418,https://images.aqar.fm/webp/750x0/props/023398783_1769532554755.jpg,1,عبدالله حسين,مؤسسة اسقف المساكن للعقارات,1,2026-01-27,2026-07-21,2026-08-20,4320,2026-08-23,True,"7,000,000",False,فيلا
6653698,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-ابن-غيث-حي-عرقة-مدينة-الرياض-منطقة-الرياض-6653698,"فيلا للبيع في شارع ابن غيث, حي عرقة, مدينة الرياض, منطقة الرياض",4200000,312,,,,11,حي عرقة,الرياض,غرب الرياض,"فيلا 3 أدوار درج داخلي
ملحق مع  مطبخ ومغسله وحمام + غرفه سائق + غرفة خادمة مع ملحقاتها
الدور الثالث شقه مع حديقة ممكن فصلها كدور مستقل
....................
الدور الارضي :
- صاله عدد 2
-مقلط (غرفة طعام)
-مطبخ
-غرفت خادمة بملحقاتها
-ثلالث حمامات
-مجلس رجال
-مستودع
................
الدول الأول:
-غرفه نوم رئيسة مع بلكون وحمام
-غرفه نوم مع حمامها
-غرفة نوم
- حمام رئيسي
-مطبخ
- صاله
....................
الدور الثاني:
-صاله مع مطبخ مفتوح سكاي لايت
-غرفتين نوم
-حمامين
-غرفة غسيل
-مستودع
-غرفة ملابس
-حديقه خارجيه 
.......................",24.69149,46.593776,https://images.aqar.fm/webp/750x0/props/047169357_1776102516098.jpg | https://images.aqar.fm/webp/750x0/props/047169355_1776102515702.jpg | https://images.aqar.fm/webp/750x0/props/047169358_1776102515812.jpg | https://images.aqar.fm/webp/750x0/props/047169357_1776102515913.jpg | https://images.aqar.fm/webp/750x0/props/047169358_1776102515916.jpg | https://images.aqar.fm/webp/750x0/props/047169352_1776102516004.jpg | https://images.aqar.fm/webp/750x0/props/047169356_1776102516105.jpg | https://images.aqar.fm/webp/750x0/props/047169357_1776102516176.jpg | https://images.aqar.fm/webp/750x0/props/047169352_1776102516260.jpg | https://images.aqar.fm/webp/750x0/props/047169353_1776102516288.jpg | https://images.aqar.fm/webp/750x0/props/047169358_1776102516368.jpg,11,ابراهيم ضيدان بن غلاب العتيبي,مكتب راية الابتكار للخدمات العقارية,1,2026-04-13,2026-08-08,2026-08-23,359,2026-08-23,True,"4,200,000",False,فيلا
6589809,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-إبراهيم-الخضيري-حي-عرقة-مدينة-الرياض-منطقة-الرياض-6589809,"فيلا للبيع في شارع إبراهيم الخضيري, حي عرقة, مدينة الرياض, منطقة الرياض",11700000,1000,,,,11,حي عرقة,الرياض,غرب الرياض,"قلة بحي عرقة مساحتها 1000 تقع على شارعين 
تتكون من ستة عشر غرفة",24.685862,46.591588,https://images.aqar.fm/webp/750x0/props/000031799_1772107533903.jpg,1,عبدالمحسن عبدالله عبدالعزيز بن هويشل,مؤسسة اكتساب للتسويق,1,2026-02-14,2026-08-07,2026-08-18,2642,2026-08-23,True,"11,700,000",False,فيلا
6592186,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-مانع-المريدي-حي-عرقة-مدينة-الرياض-منطقة-الرياض-6592186,"فيلا للبيع في شارع مانع المريدي, حي عرقة, مدينة الرياض, منطقة الرياض",2650000,247,5,5,1,0,حي عرقة,الرياض,غرب الرياض,"بسم الله الرحمن الرحيم 
فيلا  مودرن للبيع جديدة ) 🏡
في مشروع صفا.     
  (تاون هاوس)

موقع الفيلا ممتاز قريب من جميع الخدمات
تقع ببداية حي عرقة 

تًتكون الفلة من (3) ادوار
الدور الارضي:-
=========== ☑️☑️
مدخل الفيلا.
حوش خارجي سيارات يسع سيارتين 
غرفة سائق مع حمامها
مصعد راكب من اجود الانواع
الدور الاول:-
=========☑️☑️
3 غرف نوم منهم (١) ماستر 
(2) دورات مياه
صالة ومجلس 
مطبخ راكب ( فرن - شواية - ميكرويف )
مكيفات راكبة بعدد (٧)
 الدور الثاني:-
==========☑️☑️
غرفة نوم 
وصاله مع دوره مياه 
غرفة خادمه مع دوره مياه 
ارتداد خارجي + سطح  واسع 
خزان مسقل للمياه وعداد كهرباء مستقل


==============☑️☑️

البيع 2مليون و800
‎


Villa town-hose for sell 🏡
 Villa details:

4 bedrooms one of them master 🛏️
6 bathrooms 🛁
Living room 
Kitchen ( including ) 👩‍🍳
7 AC ❄️
Outdoor space 🌴

Location features:",24.693977,46.600299,https://images.aqar.fm/webp/750x0/props/040757840_1771207543125.jpg | https://images.aqar.fm/webp/750x0/props/040757840_1771207542957.jpg | https://images.aqar.fm/webp/750x0/props/040757842_1771207543221.jpg | https://images.aqar.fm/webp/750x0/props/040757845_1771207543282.jpg | https://images.aqar.fm/webp/750x0/props/040757848_1771207543441.jpg | https://images.aqar.fm/webp/750x0/props/040757849_1771207543490.jpg | https://images.aqar.fm/webp/750x0/props/040757840_1771207543615.jpg | https://images.aqar.fm/webp/750x0/props/040757849_1771207543801.jpg | https://images.aqar.fm/webp/750x0/props/040757843_1771207543921.jpg | https://images.aqar.fm/webp/750x0/props/040757842_1771207544148.jpg | https://images.aqar.fm/webp/750x0/props/040757849_1771207544265.jpg | https://images.aqar.fm/webp/750x0/props/040757848_1771207544308.jpg | https://images.aqar.fm/webp/750x0/props/040757840_1771207544386.jpg,13,نوال العتيبي,مؤسسة مسكن الياسمين,1,2026-02-16,2026-07-11,2026-08-07,12590,2026-08-23,True,"2,650,000",False,فيلا
6738244,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-عرقة-حي-عرقة-مدينة-الرياض-منطقة-الرياض-6738244,"فيلا للبيع في شارع عرقة, حي عرقة, مدينة الرياض, منطقة الرياض",3500000,353,5,0,0,11,حي عرقة,الرياض,غرب الرياض,$5a,24.683154,46.586102,https://images.aqar.fm/webp/750x0/props/000666828_1781798058156.jpg | https://images.aqar.fm/webp/750x0/props/000666821_1781798058193.jpg,2,هادي السبيعي,مكتب وادي عرقه للعقارات,1,2026-06-18,2026-08-15,2026-08-21,2612,2026-08-23,True,"3,500,000",False,فيلا
6687791,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-برقا-حي-عرقة-مدينة-الرياض-منطقة-الرياض-6687791,"فيلا للبيع في شارع برقا, حي عرقة, مدينة الرياض, منطقة الرياض",4200000,600,,5,5,11,حي عرقة,الرياض,غرب الرياض,"🔥 فرصة نادرة للاستثمار والسكن – فلة زاوية بسعر أرض في حي عرقة 🔥

📍 الموقع: حي عرقة – منطقة مميزة جدًا
🔹 تطل على مرفق + ميدان
🔹 حي راقٍ وهادئ وقريب من جميع الخدمات

المساحة: 1200 م
الأطوال : 30*40 م


• على صكين مستقلة
• مساحة كل صك 600 م 
• ⁠الاطوال لكل قطعه 20*30 م 

💡 مميزات العقار:
• مناسبة للسكن أو الاستثمار
• تقع في منطقة مميزة تتيح لك بناء قصر فاخر
• يمكن تجزئتها إلى 4 فلل مستقلة
• مساحة كل فلة تقريبًا 300 م
• واجهة مميزة وإطلالة مفتوحة
• موقع مرغوب ونادر في الحي


✨ فرصة ذهبية للمطورين أو الباحثين عن التميز
سواء تفكر تبني قصر خاص أو تطور مشروع فلل استثماري – هذا الموقع يعطيك مرونة عالية وقيمة استثنائية.

 للتواصل والاستفسار: 0550663913",24.680311,46.589904,https://images.aqar.fm/webp/750x0/props/021174942_1778237687233.jpg,1,خالد محمد معيتق المطيري ,,,2026-05-08,2026-08-03,2026-08-15,2132,2026-08-23,True,"4,200,000",False,فيلا
