listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6786249,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-ابن-سيدة-اللغوي-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6786249,"فيلا للبيع في شارع ابن سيدة اللغوي, حي عكاظ, مدينة الرياض, منطقة الرياض",730000,236,4,3,2,0,حي عكاظ,الرياض,جنوب الرياض,"🏡 فرصة سكنية واستثمارية فريدة في ) حي عكاظ (مخطط العجلان)
امتلك الآن تاون هاوس بتصميم عصري واستغلال ذكي للمساحات، يضمن لك ولعائلتك الراحة والخصوصية بالمنطقة الأكثر تميزاً
✨ أبرز مواصفات العقار
🚗 موقف خاص لسيارتك.
الدور الأرضي (مساحات استقبال واسعة)
مجلس ضيافة أنيق
صالة طعام (مقلط)
صالة نساء واسعة وشرحة مع دورة مياه خاصة
الدور العلوي (خصوصية تامة للعائلة)
صالة عائلية ملمومة
4 غرف نوم واسعة ومريحة
📍 الموقع: حي عكاظ - مخطط العجلان (موقع استراتيجي وقريب 
السعر 730 الف
الضمانات:* 
* كود سعودي 
* شهادات اشغال 
* إشراف هندسي 
* إطلاق تيار 
* *10* سنوات هيكل انشائي
* *20* سنه كهرباء 
* *50* سنه سباكه
* *ضمان* علي العوازل كامله 
* *ضمان* بوبات
* *ضمان* من الموسسه المطوره    
 علي المبنئ كامل لمدة *سنه*

كما يوجد لدينا عروض اخري ومسحات مختلفه و بأسعار مناسبه للجميع ولدينا فريق عمل متكامل علي اكمل وجه ويوجد أيضآ جميع الحلول التمويليه نتعامل مع جميع البنوك في جميع أنحاء المملكة العربية السعودية و نوفر لكم الدفعه الأولى مجانأ و بدون اي فوائد 

*للتواصل والاستفسار:* 

*((الرقم يظهر عند الضغط على اتصال))",24.509933,46.656807,https://images.aqar.fm/webp/750x0/props/048077742_1784747998238.jpg | https://images.aqar.fm/webp/750x0/props/048077743_1784747998363.jpg | https://images.aqar.fm/webp/750x0/props/048077747_1784747996732.jpg | https://images.aqar.fm/webp/750x0/props/048077741_1784747996997.jpg | https://images.aqar.fm/webp/750x0/props/048077742_1784747997027.jpg | https://images.aqar.fm/webp/750x0/props/048077743_1784747997160.jpg | https://images.aqar.fm/webp/750x0/props/048077741_1784747997237.jpg | https://images.aqar.fm/webp/750x0/props/048077749_1784747997287.jpg | https://images.aqar.fm/webp/750x0/props/048077744_1784747997458.jpg | https://images.aqar.fm/webp/750x0/props/048077740_1784747997606.jpg | https://images.aqar.fm/webp/750x0/props/048077743_1784747997646.jpg | https://images.aqar.fm/webp/750x0/props/048077747_1784747997961.jpg | https://images.aqar.fm/webp/750x0/props/048077744_1784747998106.jpg | https://images.aqar.fm/webp/750x0/props/048077743_1784747998363.jpg | https://images.aqar.fm/webp/750x0/props/048077741_1784747998609.jpg | https://images.aqar.fm/webp/750x0/props/048077746_1784747998604.jpg | https://images.aqar.fm/webp/750x0/props/048077745_1784747998870.jpg | https://images.aqar.fm/webp/750x0/props/048077745_1784747998864.jpg | https://images.aqar.fm/webp/750x0/props/048077749_1784747998864.jpg,19,تماني بنت عقيل بن فارس العنزي,مكتب مساكن المهلهل,1,2026-07-22,2026-08-21,2026-08-22,187,2026-08-23,True,"730,000",False,فيلا
6776721,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-فارس-الأزدى-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6776721,"فيلا للبيع في شارع فارس الأزدى, حي عكاظ, مدينة الرياض, منطقة الرياض",1500000,395,5,5,0,5,حي عكاظ,الرياض,جنوب الرياض,"فيلا للبيع في شارع الربائع ، حي عريض ، الرياض  بسعر ١.٥٠٠.٠٠٠ ريال

مجلس خارجي مشب مساحة كبيره دوره مياه 
مجلس
مقلط 
صالتين 
مطبخ
غرفه ضيوف 
٣ دورات مياه 

الدور الأول ٥ غرف نوم وصاله 
غرفه علويه وسطح
سطح خلفي كبير بالاضافه الأمامي",24.503009,46.667053,https://images.aqar.fm/webp/750x0/props/053095737_1784200829132.jpg,1,صهيب العقيلي,مؤسسة رس الاسس العقارية,1,2026-07-16,2026-08-14,2026-08-23,490,2026-08-23,True,"1,500,000",False,فيلا
6427049,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6427049,"فيلا للبيع في حي عكاظ, مدينة الرياض, منطقة الرياض",790000,247,4,4,1,0,حي عكاظ,الرياض,جنوب الرياض,"بسم ألله الرحمن الرحيم

كوووووود 28

 اسعد الله اوقاتكم بكل خير

 فيلا تاون هاوس ارضي 

الارضي
 يتكون من مدخل سياره مجلس رجال بالمغاسل ومقلط وصاله ومطبخ وحمام وغرفه كبار السن ماستر وحوش خلفي اطلع الدرج غرفتين نوم منهم غرفه ماستر اطلع الدرج سطح
 

 حي سما عكاظ 
  
 السعر      ويوجد تسديد جميع  المديونيات داخل البنك وخارجه
   توفير الدفعه بدون فوائد ويوجد جميع الضمانات اللازمة للعقار كل من السباكه والكهرباء والعوازل وخزنات المياه والبايكه ونتعامل مع جميع البنوك داخل المملكه ولدينا جميع الحلول التمويليه اللازمه
 
كوووووود 28",24.509108,46.642928,https://images.aqar.fm/webp/750x0/props/020124845_1760626907194.jpg | https://images.aqar.fm/webp/750x0/props/020124842_1760626906270.jpg | https://images.aqar.fm/webp/750x0/props/020124849_1760626906447.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1760626906685.jpg | https://images.aqar.fm/webp/750x0/props/020124847_1760626906952.jpg | https://images.aqar.fm/webp/750x0/props/020124848_1760626907480.jpg | https://images.aqar.fm/webp/750x0/props/020124843_1760626907697.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1760626907947.jpg | https://images.aqar.fm/webp/750x0/props/020124849_1760626908135.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1760626908417.jpg | https://images.aqar.fm/webp/750x0/props/020124848_1760626908860.jpg | https://images.aqar.fm/webp/750x0/props/020124849_1760626909246.jpg | https://images.aqar.fm/webp/750x0/props/020124841_1760626909487.jpg | https://images.aqar.fm/webp/750x0/props/020124840_1760626909787.jpg | https://images.aqar.fm/webp/750x0/props/020124843_1760626910061.jpg | https://images.aqar.fm/webp/750x0/props/020124844_1760626910315.jpg | https://images.aqar.fm/webp/750x0/props/020124846_1760626910589.jpg | https://images.aqar.fm/webp/750x0/props/020124844_1760626910877.jpg,18,جبر لافي عوض العتيبي,مؤسسة اوائل نمار العقارية,1,2025-10-16,2025-10-16,2026-08-20,1378,2026-08-23,True,"790,000",False,فيلا
6696383,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-جان-السليماني-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6696383,"فيلا للبيع في شارع جان السليماني, حي عكاظ, مدينة الرياض, منطقة الرياض",1550000,375,,5,3,0,حي عكاظ,الرياض,جنوب الرياض,"للبيـع فيلا حي عكاظ مع شقه
بالاثاث
المساحة 375م
الشارع 15م ساكني
الواجهة شمالية
عمر العقار 4سنوات
حره تقبل الكاش والبنك
البيع مليون و550
التفاصيل 
الدورالارضي عباره عن
مشب مع دوره مياة أكرمكم الله
+مجلس رجال بدوره مياه +
مقلط +صالتين استقبال +
غرفه كبار سن مع دوره مياه+
مطبخ +مستودع +حوش كبير
الدور العلوي 
غرفه ماستر مع غرفه ملابس ودوره مياه +غرفه ودوره مياه

شقه/ثلاث غرف مع صاله ومطبخ حمامين
شقه /مؤسس
مدخل خاص للشقق
غرفه سايق وحمامها

يلزم موعد مسبق لزيارة الفيلا",24.503176,46.672707,https://images.aqar.fm/webp/750x0/props/051374703_1778706112080.jpg | https://images.aqar.fm/webp/750x0/props/051374709_1778706111939.jpg | https://images.aqar.fm/webp/750x0/props/051374709_1778706112165.jpg | https://images.aqar.fm/webp/750x0/props/051374709_1778706112078.jpg | https://images.aqar.fm/webp/750x0/props/051374703_1778706111942.jpg | https://images.aqar.fm/webp/750x0/props/051374709_1778706111933.jpg | https://images.aqar.fm/webp/750x0/props/051374703_1778706112295.jpg,7,نوال العتيبي,مؤسسة مسكن الياسمين,1,2026-05-13,2026-08-09,2026-08-18,374,2026-08-23,True,"1,550,000",False,فيلا
6398007,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-حامد-عبدالحفيظ-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6398007,"فيلا للبيع في شارع حامد عبدالحفيظ, حي عكاظ, مدينة الرياض, منطقة الرياض",730000,252,5,5,3,0,حي عكاظ,الرياض,جنوب الرياض,"حي عكاظ مخطط العجلان
تاون مساحه 300م 
شارع 18 م
امامي السعر 830الف
 
الاسعار قابله للتفاوض للصامل 

تتكون من مدخل سياره مجلس رجال مقلط صاله مطبخ
الاول ثلاث غرف منهم غرفه ماستر
الدور الثاني غرفتين نوم وصاله وسطح


الخلفي نفس التصميم ونفس كل شي

شغل شخصى ممتاز عليها جميع الضمانات الازمه وتامين ملاذ. 

للتواصل والاستفسار 
((رقم المعلن يظهر عند التواصل))",24.506379,46.66644,https://images.aqar.fm/webp/750x0/props/048087232_1758815511431.jpg | https://images.aqar.fm/webp/750x0/props/048087230_1758815511347.jpg,2,مشاعل دعيرم بن جربوع العتيبي,مؤسسة مكتب بداية جديدة للخدمات العقارية,1,2025-09-25,2025-09-25,2026-08-07,1048,2026-08-23,True,"730,000",False,فيلا
6715150,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-النوارس-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6715150,"فيلا للبيع في شارع النوارس, حي عكاظ, مدينة الرياض, منطقة الرياض",1100000,299,6,,,0,حي عكاظ,الرياض,جنوب الرياض,"للبيع فيلا بحي عكاظ
المساحه 350م
عباره عن دورين وملحق
3 غرف نوم 
غرفة نوم ماستر 
غرفة خادمة ماستر بالملحق
صالتين 
مجلس 
درج صاله 
دورات مياه 
البيع مليون 100 
مباشر من المالك",24.50169,46.66324,,,صالح بن عبيد بن عايش العنزي,مكتب ابداع الصحافة للخدمات العقارية,1,2026-06-01,2026-07-30,2026-08-23,243,2026-08-23,True,"1,100,000",False,فيلا
6651796,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-شمس-الدين-الحريري-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6651796,"فيلا للبيع في شارع شمس الدين الحريري, حي عكاظ, مدينة الرياض, منطقة الرياض",850000,247,3,1,0,0,حي عكاظ,الرياض,جنوب الرياض,"مساء الخير 🌟

نقدم لكم فيلل سكنية فاخره في مدينة الرياض 🏡

📍 الموقع: الرياض – حي العجلان  
🏘️ النوع: فلل سكنية مودرن دبلكسات
📐 المساحة: 247 م²  
💰 السعر: 850,000 ريال (قابل للتفاوض)  

📊 المتبقي من المشروع:  
(4 عقارات فقط) أرقام: 33 – 37 – 38 – 43  

✨ مميزات المشروع:
- موقع مميز وحيوي  
- تصميم عصري وتشطيب فاخر  
- جاهز للإفراغ الفوري  
- مناسب للسكن والاستثمار  
للإطلاع علي تفاصيل الفيلا نرجو مشاهدة الفيديو 
نسعد بخدمتكم 
يوجد لدينا حلول تمويليه ونتعامل مع جميع البنوك


🤝 تعاون مباشر وسرعة في إغلاق الصفقات  
 

 
📲 واتساب متوفر  

🚀 فرصة قوية — العدد محدود",24.50209,46.669326,https://images.aqar.fm/webp/750x0/props/051944474_1776006873421.jpg | https://images.aqar.fm/webp/750x0/props/051944476_1776006872798.jpg | https://images.aqar.fm/webp/750x0/props/051944471_1776006873028.jpg | https://images.aqar.fm/webp/750x0/props/051944473_1776006873125.jpg | https://images.aqar.fm/webp/750x0/props/051944470_1776006873629.jpg | https://images.aqar.fm/webp/750x0/props/051944471_1776006874042.jpg | https://images.aqar.fm/webp/750x0/props/051944477_1776006874084.jpg,7,فايز مصلح,مؤسسة فايز مصلح المطيري,1,2026-04-12,2026-08-06,2026-08-15,838,2026-08-23,True,"850,000",False,فيلا
6387635,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-سديرة-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6387635,"فيلا للبيع في شارع سديرة, حي عكاظ, مدينة الرياض, منطقة الرياض",750000,247,5,,,0,حي عكاظ,الرياض,جنوب الرياض,"تاون هاوس للبيع 
شارع ٢٠ 
السعر ٨٧٠ 
للتواصل ((رقم المعلن يظهر عند التواصل)) 

علي جميع الضمانات",24.517052,46.665956,https://images.aqar.fm/webp/750x0/props/042501587_1758156923904.jpg | https://images.aqar.fm/webp/750x0/props/042501583_1758156923599.jpg | https://images.aqar.fm/webp/750x0/props/042501580_1758156923802.jpg | https://images.aqar.fm/webp/750x0/props/042501581_1758156924098.jpg | https://images.aqar.fm/webp/750x0/props/042501585_1758156924363.jpg | https://images.aqar.fm/webp/750x0/props/042501587_1758156924540.jpg | https://images.aqar.fm/webp/750x0/props/042501582_1758156924854.jpg | https://images.aqar.fm/webp/750x0/props/042501586_1758156925017.jpg | https://images.aqar.fm/webp/750x0/props/042501581_1758156925283.jpg | https://images.aqar.fm/webp/750x0/props/042501585_1758156925559.jpg | https://images.aqar.fm/webp/750x0/props/042501589_1758156925840.jpg | https://images.aqar.fm/webp/750x0/props/042501588_1758156926099.jpg | https://images.aqar.fm/webp/750x0/props/042501584_1758156926359.jpg | https://images.aqar.fm/webp/750x0/props/042501581_1758156926640.jpg | https://images.aqar.fm/webp/750x0/props/042501587_1758156926839.jpg | https://images.aqar.fm/webp/750x0/props/042501588_1758156927101.jpg | https://images.aqar.fm/webp/750x0/props/042501581_1758156927337.jpg,17,منيره خالد مقبل القحطاني,مؤسسة البداية الصحيحة للخدمات العقارية,1,2025-09-18,2025-09-18,2026-07-08,1692,2026-08-23,True,"750,000",False,فيلا
6592670,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-عكاظ-عجلان-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6592670,"فيلا للبيع في شارع عكاظ عجلان, حي عكاظ, مدينة الرياض, منطقة الرياض",1350000,414,5,,,0,حي عكاظ,الرياض,جنوب الرياض,"فيلا مع شقة بمدخل خاص وتتكون من 
الارضي مدخل سيارة  - مجلس رجال - مقلط - صالة  - 
مطبخ - دورتين مياة 
الدور الاول صالة  واربع غرف نوم منها اثنين ماستر
ثلاث دورات مياة
الشقة تتكون من
مدخل سيارة - مجلس - غرفتين نوم غرفة ماستر
يوجد دورتين مياة وحوش وسطح
للتواصل ابو عدي ((رقم المعلن يظهر عند التواصل))",24.505094,46.678385,https://images.aqar.fm/webp/750x0/props/050269000_1771244053879.jpg | https://images.aqar.fm/webp/750x0/props/050269007_1771243979789.jpg | https://images.aqar.fm/webp/750x0/props/050269006_1771243979881.jpg | https://images.aqar.fm/webp/750x0/props/050269006_1771243979884.jpg | https://images.aqar.fm/webp/750x0/props/050269003_1771243980046.jpg | https://images.aqar.fm/webp/750x0/props/050269002_1771243980036.jpg | https://images.aqar.fm/webp/750x0/props/050269008_1771243980102.jpg | https://images.aqar.fm/webp/750x0/props/050269003_1771243980163.jpg | https://images.aqar.fm/webp/750x0/props/050269009_1771243980186.jpg | https://images.aqar.fm/webp/750x0/props/050269002_1771243980281.jpg | https://images.aqar.fm/webp/750x0/props/050269001_1771243980395.jpg | https://images.aqar.fm/webp/750x0/props/050269001_1771243980518.jpg | https://images.aqar.fm/webp/750x0/props/050269006_1771243980592.jpg | https://images.aqar.fm/webp/750x0/props/050269007_1771243980602.jpg | https://images.aqar.fm/webp/750x0/props/050269002_1771243980691.jpg | https://images.aqar.fm/webp/750x0/props/050269007_1771243980804.jpg | https://images.aqar.fm/webp/750x0/props/050269005_1771243980891.jpg | https://images.aqar.fm/webp/750x0/props/050269004_1771243980930.jpg | https://images.aqar.fm/webp/750x0/props/050269005_1771243981030.jpg | https://images.aqar.fm/webp/750x0/props/050269009_1771243981059.jpg | https://images.aqar.fm/webp/750x0/props/050269000_1771243981359.jpg | https://images.aqar.fm/webp/750x0/props/050269000_1771243981228.jpg,22,جابر ال فهاد,شركة ركائز الروعة,1,2026-02-16,2026-08-09,2026-08-23,850,2026-08-23,True,"1,350,000",False,فيلا
6756336,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-الوتيرة-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6756336,"فيلا للبيع في شارع الوتيرة, حي عكاظ, مدينة الرياض, منطقة الرياض",1170000,391,,1,3,0,حي عكاظ,الرياض,جنوب الرياض,"🏢 فيلا زاوية بحي عكاظ
 📏مساحة ٣٢٠ متر 
 💸السعر 1,250,000
🏢يتكون الدور الأرضي من: مشب مع دورة مياه خارجية،مجلس،مقلط،صالة،مطبخ مع مستودع
الدور الأول يتكون من :
صالة و ٤ غرف نوم
الملحق يتكون من :
سطح و غرفة نوم
  🚨🚨🚨 يتوفر لدينا عروض لشقق وفلل وأدوار بصك وتاون هاوس ودوبلكسات في مختلف المناطق والمخططات والاحياء 🏦 نتعامل مع جميع البنوك والشركات التمويلية في جميع أنحاء المملكة ولدينا أفضل الحلول التمويلية وسداد المديونيات وتوفير الدفعة المقدمة",24.518646,46.666884,https://images.aqar.fm/webp/750x0/props/042973749_1782983817391.jpg | https://images.aqar.fm/webp/750x0/props/042973747_1782983816717.jpg | https://images.aqar.fm/webp/750x0/props/042973744_1782983816901.jpg | https://images.aqar.fm/webp/750x0/props/042973744_1782983816906.jpg | https://images.aqar.fm/webp/750x0/props/042973743_1782983816904.jpg | https://images.aqar.fm/webp/750x0/props/042973742_1782983816947.jpg | https://images.aqar.fm/webp/750x0/props/042973748_1782983817142.jpg | https://images.aqar.fm/webp/750x0/props/042973741_1782983817161.jpg | https://images.aqar.fm/webp/750x0/props/042973743_1782983817162.jpg | https://images.aqar.fm/webp/750x0/props/042973743_1782983817201.jpg | https://images.aqar.fm/webp/750x0/props/042973744_1782983817374.jpg | https://images.aqar.fm/webp/750x0/props/042973746_1782983817366.jpg | https://images.aqar.fm/webp/750x0/props/042973745_1782983817368.jpg | https://images.aqar.fm/webp/750x0/props/042973740_1782983817583.jpg | https://images.aqar.fm/webp/750x0/props/042973745_1782983817615.jpg | https://images.aqar.fm/webp/750x0/props/042973749_1782983817589.jpg | https://images.aqar.fm/webp/750x0/props/042973742_1782983817629.jpg | https://images.aqar.fm/webp/750x0/props/042973748_1782983817655.jpg | https://images.aqar.fm/webp/750x0/props/042973749_1782983817391.jpg | https://images.aqar.fm/webp/750x0/props/042973747_1782983816717.jpg | https://images.aqar.fm/webp/750x0/props/042973744_1782983816901.jpg | https://images.aqar.fm/webp/750x0/props/042973744_1782983816906.jpg | https://images.aqar.fm/webp/750x0/props/042973743_1782983816904.jpg | https://images.aqar.fm/webp/750x0/props/042973742_1782983816947.jpg | https://images.aqar.fm/webp/750x0/props/042973748_1782983817142.jpg | https://images.aqar.fm/webp/750x0/props/042973741_1782983817161.jpg | https://images.aqar.fm/webp/750x0/props/042973743_1782983817162.jpg | https://images.aqar.fm/webp/750x0/props/042973743_1782983817201.jpg | https://images.aqar.fm/webp/750x0/props/042973744_1782983817374.jpg | https://images.aqar.fm/webp/750x0/props/042973746_1782983817366.jpg | https://images.aqar.fm/webp/750x0/props/042973745_1782983817368.jpg | https://images.aqar.fm/webp/750x0/props/042973740_1782983817583.jpg | https://images.aqar.fm/webp/750x0/props/042973745_1782983817615.jpg | https://images.aqar.fm/webp/750x0/props/042973749_1782983817589.jpg | https://images.aqar.fm/webp/750x0/props/042973742_1782983817629.jpg | https://images.aqar.fm/webp/750x0/props/042973748_1782983817655.jpg,36,ورده علي احمد الناشري,مؤسسة الهرم الرابع للعقارات,1,2026-07-02,2026-07-31,2026-08-11,715,2026-08-23,True,"1,170,000",False,فيلا
