listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6647326,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-زينب-الثقفية-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6647326,"فيلا للبيع في شارع زينب الثقفية, حي العوالي, مدينة الرياض, منطقة الرياض",830000,300,6,5,1,0,حي ظهرة نمار,الرياض,غرب الرياض,"السلام عليكم ورحمة الله وبركاته 
اسعد الله مساكم بكل خير 
للبيع فيلا دور دور شقه لكل دور صك لحاله 
والشقه صك لحالها
المساحه 300م
تشطيب شخصي  
يوجد جميع الضمانات المطلوبة علي الفيلا 
تكون من & مدخل سياره &مجلس رجال بدوره مياه&مقلط &صاله &غرفه نوم مستر &2غرفه نوم بدوره مياه مشتركه 
يوجد جميع العروض العقارية وجميع المساحات  وباسعار مناسبه 
يوجد لدينا حلول تمويله ميسره وإمكانيه توفير الدفعه المقدمه 
لتواصل جوال أو وتساب 0579682229",24.56762,46.60043,https://images.aqar.fm/webp/750x0/props/030034444_1775673942204.jpg | https://images.aqar.fm/webp/750x0/props/030034444_1775673942211.jpg | https://images.aqar.fm/webp/750x0/props/030034441_1775673942208.jpg | https://images.aqar.fm/webp/750x0/props/030034443_1775673942195.jpg | https://images.aqar.fm/webp/750x0/props/030034441_1775673942223.jpg | https://images.aqar.fm/webp/750x0/props/030034445_1775673942215.jpg | https://images.aqar.fm/webp/750x0/props/030034448_1775674080762.jpg | https://images.aqar.fm/webp/750x0/props/030034446_1775674080522.jpg | https://images.aqar.fm/webp/750x0/props/030034445_1775674080766.jpg | https://images.aqar.fm/webp/750x0/props/030034442_1775674080779.jpg | https://images.aqar.fm/webp/750x0/props/030034442_1775674080768.jpg | https://images.aqar.fm/webp/750x0/props/030034440_1775674080768.jpg | https://images.aqar.fm/webp/750x0/props/030034444_1775674080767.jpg | https://images.aqar.fm/webp/750x0/props/030034443_1775674080766.jpg | https://images.aqar.fm/webp/750x0/props/030034448_1775674111728.jpg | https://images.aqar.fm/webp/750x0/props/030034443_1775674111745.jpg | https://images.aqar.fm/webp/750x0/props/030034447_1775674111729.jpg | https://images.aqar.fm/webp/750x0/props/030034441_1775674111736.jpg | https://images.aqar.fm/webp/750x0/props/030034449_1775674111746.jpg | https://images.aqar.fm/webp/750x0/props/030034449_1775674111751.jpg | https://images.aqar.fm/webp/750x0/props/030034445_1775674111776.jpg | https://images.aqar.fm/webp/750x0/props/030034442_1775674111768.jpg,22,نايف بن عبدالله بن سلطان بن سفران,مؤسسة موافقة العقارية,1,2026-04-08,2026-08-03,2026-08-16,1249,2026-08-23,True,"830,000",False,فيلا
6763079,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الدريهمية/شارع-أبي-الفتح-الحصري-حي-الدريهمية-مدينة-الرياض-منطقة-الرياض-6763079,"فيلا للبيع في شارع أبي الفتح الحصري, حي الدريهمية, مدينة الرياض, منطقة الرياض",900000,158,4,0,0,0,حي الدريهمية,الرياض,غرب الرياض,"بنتهاوس للبيع 🏡
الموقع حي | الدريهمية 📍



البنتهاوس 🏡
يتكون من :

مدخل مستقل 
مجلس مفصول مع دورة مياة و مغسلة
صالة فيها بلكونه صغيرة
دورة مياة و مغسلة
مطبخ

الدور العلوي : 
ثلاث غرف نوم منها وحده ماستر 
و دورة مياة 
مع السطح

موافقة العقارية | يوسف الشريف 
للتواصل | ((الرقم يظهر عند الضغط على اتصال))

جميع الاوراق و الضمانات موجوده و جاهزه",24.5891,46.695234,https://images.aqar.fm/webp/750x0/props/030034447_1783378992578.jpg | https://images.aqar.fm/webp/750x0/props/030034440_1783378992600.jpg | https://images.aqar.fm/webp/750x0/props/030034441_1783378992574.jpg | https://images.aqar.fm/webp/750x0/props/030034446_1783378992580.jpg | https://images.aqar.fm/webp/750x0/props/030034449_1783378992601.jpg | https://images.aqar.fm/webp/750x0/props/030034440_1783378992601.jpg | https://images.aqar.fm/webp/750x0/props/030034445_1783378992581.jpg | https://images.aqar.fm/webp/750x0/props/030034446_1783378992600.jpg | https://images.aqar.fm/webp/750x0/props/030034444_1783379016693.jpg | https://images.aqar.fm/webp/750x0/props/030034447_1783379016682.jpg | https://images.aqar.fm/webp/750x0/props/030034444_1783379016725.jpg | https://images.aqar.fm/webp/750x0/props/030034440_1783379016727.jpg | https://images.aqar.fm/webp/750x0/props/030034440_1783379016732.jpg | https://images.aqar.fm/webp/750x0/props/030034449_1783379016697.jpg | https://images.aqar.fm/webp/750x0/props/030034440_1783379016689.jpg | https://images.aqar.fm/webp/750x0/props/030034445_1783379016736.jpg,16,نايف بن عبدالله بن سلطان بن سفران,مؤسسة موافقة العقارية,1,2026-07-06,2026-08-05,2026-08-23,221,2026-08-23,True,"900,000",False,فيلا
6367580,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-شعيب-المدائني-حي-طويق-مدينة-الرياض-منطقة-الرياض-6367580,"فيلا للبيع في شارع شعيب المدائني, حي طويق, مدينة الرياض, منطقة الرياض",980000,254,4,1,2,0,حي طويق,الرياض,غرب الرياض,"كودددددد29

السلام عليكم ورحمه الله وبركاته اسعد الله اوقاتكم بكل خير  شركه 
اوائل نمار العقارية 
 يسعدنا أن نقدم لكم 
فيلا  دوبلكس 
 بحى طويق 
مساحته 300 متر 
 شارع  1٥ متر مقابل مرفق حكومي 
 واجهه شماليه 
 عليها  980 ألف

باقى علوى فقط 

 عليها كافة الضمانات  المطلوبة على العوازل والخزنات والبايكه والكهرباء والسباكه  ونتعامل مع جميع البنوك والشركات وتحويل من بنك لاخر  ونسعى فى توفير الدفعه الاولى مجانا وسداد المديونية وتخليص أمور البنك
 للتواصل 

     كودددددد 29",24.561237,46.565962,https://images.aqar.fm/webp/750x0/props/020124840_1766235803345.jpg | https://images.aqar.fm/webp/750x0/props/020124847_1766235802339.jpg | https://images.aqar.fm/webp/750x0/props/020124848_1766235801861.jpg | https://images.aqar.fm/webp/750x0/props/020124842_1766235801355.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1766235801586.jpg | https://images.aqar.fm/webp/750x0/props/020124848_1766235801665.jpg | https://images.aqar.fm/webp/750x0/props/020124841_1766235801707.jpg | https://images.aqar.fm/webp/750x0/props/020124844_1766235802096.jpg | https://images.aqar.fm/webp/750x0/props/020124847_1766235802180.jpg | https://images.aqar.fm/webp/750x0/props/020124849_1766235802267.jpg | https://images.aqar.fm/webp/750x0/props/020124842_1766235802489.jpg | https://images.aqar.fm/webp/750x0/props/020124849_1766235802577.jpg | https://images.aqar.fm/webp/750x0/props/020124841_1766235802705.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1766235802788.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1766235802951.jpg | https://images.aqar.fm/webp/750x0/props/020124848_1766235803053.jpg | https://images.aqar.fm/webp/750x0/props/020124844_1766235803187.jpg | https://images.aqar.fm/webp/750x0/props/020124848_1766235803426.jpg,18,جبر لافي عوض العتيبي,مؤسسة اوائل نمار العقارية,1,2025-09-04,2025-09-04,2026-08-20,768,2026-08-23,True,"980,000",False,فيلا
6712052,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-رقم-263-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6712052,"فيلا للبيع في شارع رقم 263, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",2400000,375,5,1,0,4,حي ظهرة لبن,الرياض,غرب الرياض,"للبيع فيلا جديده حي ظهرة لبن
دور وشقتين 
المساحة 375متر
الفيلا علي شارعين 
شارع 20 امامي غربي
وشارع 15 خلفي شرقي
الدور الارضي:- 
 ملحق + مجلس مع دورة مياه +غرفة طعام + غرفة نساء مع دورة مياه   + مطبخ + صالة نساء + ٣ غرف كل وحده فيها دورة مياه 
الشقه تتكون :-
من مدخل واحد 
مجلس مع دورة مياه + صالة + مطبخ + غرفتين نوم + حمام
الشقه الثانيه نفس التصميم بس الصالة اصغر شوي",24.609626,46.510834,https://images.aqar.fm/webp/750x0/props/047715275_1779996535296.jpg | https://images.aqar.fm/webp/750x0/props/047715275_1779996535285.jpg | https://images.aqar.fm/webp/750x0/props/047715275_1779996535407.jpg | https://images.aqar.fm/webp/750x0/props/047715271_1779996535419.jpg | https://images.aqar.fm/webp/750x0/props/047715270_1779996535507.jpg | https://images.aqar.fm/webp/750x0/props/047715277_1779996535507.jpg | https://images.aqar.fm/webp/750x0/props/047715273_1779996535584.jpg | https://images.aqar.fm/webp/750x0/props/047715271_1779996535586.jpg,8,فهد سعود محمد الصويلح,مؤسسة فهد سعود محمد الصويلح للعقارات,1,2026-05-28,2026-07-26,2026-08-20,106,2026-08-23,True,"2,400,000",False,فيلا
6685384,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-العرضية-حي-طويق-مدينة-الرياض-منطقة-الرياض-6685384,"فيلا للبيع في شارع العرضية, حي طويق, مدينة الرياض, منطقة الرياض",1250000,200,5,,,0,حي طويق,الرياض,غرب الرياض,"للبيع فيلا دبلوكس بحي طويق
مساحه ٢٠٠ متر.
السعر مليون و٢٥٠ الف
الفيلا مكونه من مدخل سيارة وملحق ومجلس وصاله ومقلط ومطبخ وغرفه كبار السن وبها مصعد 
وبالاعلي ٥ غرف نوم وصالتين ودورات مياه.

كود ((  ٢  ))",24.57493,46.553452,https://images.aqar.fm/webp/750x0/props/040820589_1778083829863.jpg | https://images.aqar.fm/webp/750x0/props/040820589_1778083829240.jpg | https://images.aqar.fm/webp/750x0/props/040820581_1778083829248.jpg | https://images.aqar.fm/webp/750x0/props/040820583_1778083829301.jpg | https://images.aqar.fm/webp/750x0/props/040820587_1778083829320.jpg | https://images.aqar.fm/webp/750x0/props/040820580_1778083829321.jpg | https://images.aqar.fm/webp/750x0/props/040820585_1778083829471.jpg | https://images.aqar.fm/webp/750x0/props/040820581_1778083829483.jpg | https://images.aqar.fm/webp/750x0/props/040820580_1778083829492.jpg | https://images.aqar.fm/webp/750x0/props/040820581_1778083829492.jpg | https://images.aqar.fm/webp/750x0/props/040820584_1778083829512.jpg | https://images.aqar.fm/webp/750x0/props/040820580_1778083829644.jpg | https://images.aqar.fm/webp/750x0/props/040820587_1778083829679.jpg | https://images.aqar.fm/webp/750x0/props/040820582_1778083829693.jpg | https://images.aqar.fm/webp/750x0/props/040820583_1778083829698.jpg | https://images.aqar.fm/webp/750x0/props/040820580_1778083829798.jpg | https://images.aqar.fm/webp/750x0/props/040820580_1778083829830.jpg | https://images.aqar.fm/webp/750x0/props/040820581_1778083829875.jpg | https://images.aqar.fm/webp/750x0/props/040820583_1778083829892.jpg | https://images.aqar.fm/webp/750x0/props/040820584_1778083829986.jpg | https://images.aqar.fm/webp/750x0/props/040820581_1778083830029.jpg,21,فايز مصلح,مؤسسة فايز مصلح المطيري,1,2026-05-06,2026-08-01,2026-08-22,32,2026-08-23,True,"1,250,000",False,فيلا
6465465,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-رقم-409-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6465465,"فيلا للبيع في شارع رقم 409, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",2100000,300,7,5,3,0,حي ظهرة لبن,الرياض,غرب الرياض,"كود 55
بسم الله الرحمن الرحيم 
4 فلل حي لبن زاويه وشارع
مساحه 300مً 
السعر 2  مليون 100 شارع 
الزاويه 2 مليون 200
شارع 20 
موسسه مصعد 
واجهه شرقيه 
تتكون من مدخل سياره مجلس رجال مقلط صاله كبيره مجلس نساء مطبخ مع مستودع 
الدور الثاني 4 غرفه ماستر وصاله 
الدور الثالث ثلاث غرفه ماستر وصاله وسطح خلفي وامامي

للتوصل ((رقم المعلن يظهر عند التواصل))",24.609248,46.527626,https://images.aqar.fm/webp/750x0/props/022300141_1762999056585.jpg | https://images.aqar.fm/webp/750x0/props/022300140_1762999056603.jpg | https://images.aqar.fm/webp/750x0/props/022300143_1762999056587.jpg | https://images.aqar.fm/webp/750x0/props/022300146_1762999056581.jpg | https://images.aqar.fm/webp/750x0/props/022300148_1762999056604.jpg | https://images.aqar.fm/webp/750x0/props/022300145_1762999056595.jpg | https://images.aqar.fm/webp/750x0/props/022300145_1762999056600.jpg | https://images.aqar.fm/webp/750x0/props/022300146_1762999141971.jpg | https://images.aqar.fm/webp/750x0/props/022300143_1762999141993.jpg | https://images.aqar.fm/webp/750x0/props/022300145_1762999142044.jpg | https://images.aqar.fm/webp/750x0/props/022300149_1762999142060.jpg | https://images.aqar.fm/webp/750x0/props/022300148_1762999142046.jpg | https://images.aqar.fm/webp/750x0/props/022300140_1762999142050.jpg | https://images.aqar.fm/webp/750x0/props/022300149_1762999142032.jpg | https://images.aqar.fm/webp/750x0/props/022300144_1762999142037.jpg | https://images.aqar.fm/webp/750x0/props/022300145_1762999201013.jpg | https://images.aqar.fm/webp/750x0/props/022300145_1762999201035.jpg | https://images.aqar.fm/webp/750x0/props/022300140_1762999201039.jpg | https://images.aqar.fm/webp/750x0/props/022300148_1762999201025.jpg | https://images.aqar.fm/webp/750x0/props/022300140_1762999201025.jpg,20,مشاعل دعيرم بن جربوع العتيبي,مؤسسة مكتب بداية جديدة للخدمات العقارية,1,2025-11-13,2025-11-13,2026-08-18,506,2026-08-23,True,"2,100,000",False,فيلا
6561261,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أحمد-بن-الرملي-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6561261,"فيلا للبيع في شارع أحمد بن الرملي, حي المهدية, مدينة الرياض, منطقة الرياض",5000000,450,6,,,0,حي المهدية,الرياض,غرب الرياض,,24.664823,46.518842,https://images.aqar.fm/webp/750x0/props/040578561_1769344890111.jpg | https://images.aqar.fm/webp/750x0/props/040578568_1769344890141.jpg | https://images.aqar.fm/webp/750x0/props/040578566_1769344890114.jpg | https://images.aqar.fm/webp/750x0/props/040578567_1769344890116.jpg | https://images.aqar.fm/webp/750x0/props/040578562_1769344906310.jpg | https://images.aqar.fm/webp/750x0/props/040578564_1769344906312.jpg | https://images.aqar.fm/webp/750x0/props/040578561_1769344906305.jpg | https://images.aqar.fm/webp/750x0/props/040578565_1769344906316.jpg | https://images.aqar.fm/webp/750x0/props/040578568_1769344906318.jpg | https://images.aqar.fm/webp/750x0/props/040578560_1769344906309.jpg | https://images.aqar.fm/webp/750x0/props/040578563_1769344906311.jpg | https://images.aqar.fm/webp/750x0/props/040578561_1769344906324.jpg | https://images.aqar.fm/webp/750x0/props/040578568_1769344923480.jpg | https://images.aqar.fm/webp/750x0/props/040578568_1769344923537.jpg | https://images.aqar.fm/webp/750x0/props/040578561_1769344923474.jpg | https://images.aqar.fm/webp/750x0/props/040578565_1769344923495.jpg | https://images.aqar.fm/webp/750x0/props/040578563_1769344923510.jpg | https://images.aqar.fm/webp/750x0/props/040578567_1769344923503.jpg | https://images.aqar.fm/webp/750x0/props/040578564_1769344923514.jpg | https://images.aqar.fm/webp/750x0/props/040578561_1769344923509.jpg | https://images.aqar.fm/webp/750x0/props/040578563_1769344944913.jpg | https://images.aqar.fm/webp/750x0/props/040578560_1769344944907.jpg | https://images.aqar.fm/webp/750x0/props/040578563_1769344944913.jpg | https://images.aqar.fm/webp/750x0/props/040578569_1769344944907.jpg | https://images.aqar.fm/webp/750x0/props/040578564_1769344944908.jpg | https://images.aqar.fm/webp/750x0/props/040578569_1769344944922.jpg | https://images.aqar.fm/webp/750x0/props/040578560_1769344944913.jpg | https://images.aqar.fm/webp/750x0/props/040578564_1769344944912.jpg | https://images.aqar.fm/webp/750x0/props/040578562_1769344961044.jpg | https://images.aqar.fm/webp/750x0/props/040578562_1769344961041.jpg,30,نايف بن عبدالله بن سلطان بن سفران,مؤسسة موافقة العقارية,1,2026-01-25,2026-01-25,2026-08-23,331,2026-08-23,True,"5,000,000",False,فيلا
6707795,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-يحيى-البكري-حي-السويدي-الغربي-مدينة-الرياض-منطقة-الرياض-6707795,"فيلا للبيع في شارع يحيى البكري, حي السويدي الغربي, مدينة الرياض, منطقة الرياض",4000000,810,,1,0,11,حي السويدي الغربي,الرياض,غرب الرياض,"فيلا دورين بموقع استراتيجي في السويدي الغربي  فرصة عقارية مميزة على شارعين بمساحة واسعة تبلغ 810 متر. 🏘️ تفاصيل وتقسيم الفيلا: الدور الأرضي: • يتكون من 3 غرف واسعة. • صالة، مقلط، ومجلس. • مطبخ مع مستودع. • 3 دورات مياه. • يتميز بوجود 3 ملاحق خارجية مع دورتين مياه. الدور الثاني: • يتكون من شقتين بمواصفات واسعة: • الشقة الأولى: 5 غرف، صالة، مطبخ، وسطح مستقل. • الشقة الثانية: 5 غرف، صالة، مطبخ، وسطح مستقل، وتتميز بوجود مدخل خاص مستقل تماماً. 🌟 المميزات والخدمات: • الموقع: حي السويدي الغربي، شارع حمزة بن أبي الحسن (مخرج 27). • الواجهة: تفتح على شارعين، مما يوفر سهولة في المداخل والمواقف. • المرافق المحيطة: • بالقرب من سلام مول. • بالقرب من حديقة الفريان. • التجهيزات: • متوفر 3 عدادات كهرباء. • عداد مياه واحد. • جميع الخدمات واصلة للموقع. 💰 المعلومات المالية: • المساحة: 810 متر مربع.. • البنك العقاري: متبقي عليه 150,000 ريال.

للمعاينة لازم موعد",24.574405,46.617385,https://images.aqar.fm/webp/750x0/props/051407036_1779463754383.jpg | https://images.aqar.fm/webp/750x0/props/051407034_1779463754156.jpg | https://images.aqar.fm/webp/750x0/props/051407036_1779463754347.jpg,3,أمل بنت صالح بن فهد المحيجين,شركة مساكن وصلة العقارية,1,2026-05-22,2026-08-17,2026-08-17,844,2026-08-23,True,"4,000,000",False,فيلا
6832624,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-المنيزلة-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6832624,"فيلا للبيع في شارع المنيزلة, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",2600000,450,,,,5,حي ظهرة لبن,الرياض,غرب الرياض,"للبيع او الايجار 
 فيلا حي لبن 
درج صاله 
المساحة 450م٢
الدور الارضي
 مشب + مجلس رجال 
 ومقلط وصاله كبيرة 
 ومجلس نساء وغرفة كبار السن 
دورتين مياه
الدور الاول /
 غرفة ماستر بدورة مياة 
 وغرفتين بينهم دورة مياه
الدور الثاني / 
غرفة غسيل ودورة مياه وسطحين
( مطبخ راكب + 5 مكيفات اسبليت ) 
( يوجد شقتين مؤجرة مع الفيلا في حال البيع )",24.628638,46.526367,https://images.aqar.fm/webp/750x0/props/052506808_1787224587487.jpg,1,صالح بن عبيد بن عايش العنزي,مكتب ابداع الصحافة للخدمات العقارية,1,2026-08-20,2026-08-20,2026-08-23,75,2026-08-23,True,"2,600,000",False,فيلا
6835931,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-زين-العابدين-بن-علي-عبدالشكور-حي-طويق-مدينة-الرياض-منطقة-الرياض-6835931,"فيلا للبيع في شارع زين العابدين بن علي عبدالشكور, حي طويق, مدينة الرياض, منطقة الرياض",900000,268,4,1,1,0,حي طويق,الرياض,غرب الرياض,"السلام عليكم ورحمه الله وبركاته 
أسعد الله أوقاتكم بكل خير عملائنا الكرام تقدم لكم شركه مساكن المهلهل كل ماهوجديد في عالم العقار فيله تاون هاوس.....
مساحه : 300 متر
السعر : 900 الف
الوجهة : شماليه
شارع : 15 متر
تشطيب ممتاز عليها كافه الضمانات من جميع التشطيبات العنوان حي طويق ...
شغل راقي جدآ عليها اشراف هندسي دقيق ضمان من المالك مباشرة ضمنات سباكه كهرباء عوازل اساسات دهنات لمبات ابواب اقفال خزانات 
ويوجد عروض اخري بمساحات مختلفه واسعار متفاوته يوجد لدينا جميع الحلول التمويليه من البدايه حتي النهايه نسعي دائما لتوفير العقار المناسب 
توفير الدفعه الأولى مجانا 
سداد جميع المديونيات نتعامل مع جميع البنوك والشركات",24.546828,46.502894,https://images.aqar.fm/webp/750x0/props/054654200_1787422364265.jpg | https://images.aqar.fm/webp/750x0/props/054654201_1787422363117.jpg | https://images.aqar.fm/webp/750x0/props/054654202_1787422363311.jpg | https://images.aqar.fm/webp/750x0/props/054654208_1787422363412.jpg | https://images.aqar.fm/webp/750x0/props/054654208_1787422363410.jpg | https://images.aqar.fm/webp/750x0/props/054654202_1787422363447.jpg | https://images.aqar.fm/webp/750x0/props/054654208_1787422363791.jpg | https://images.aqar.fm/webp/750x0/props/054654200_1787422363789.jpg | https://images.aqar.fm/webp/750x0/props/054654207_1787422363875.jpg | https://images.aqar.fm/webp/750x0/props/054654204_1787422363885.jpg | https://images.aqar.fm/webp/750x0/props/054654207_1787422364693.jpg | https://images.aqar.fm/webp/750x0/props/054654209_1787422364882.jpg | https://images.aqar.fm/webp/750x0/props/054654203_1787422364739.jpg | https://images.aqar.fm/webp/750x0/props/054654201_1787422363117.jpg | https://images.aqar.fm/webp/750x0/props/054654202_1787422363311.jpg | https://images.aqar.fm/webp/750x0/props/054654208_1787422363412.jpg | https://images.aqar.fm/webp/750x0/props/054654208_1787422363410.jpg | https://images.aqar.fm/webp/750x0/props/054654202_1787422363447.jpg | https://images.aqar.fm/webp/750x0/props/054654208_1787422363791.jpg | https://images.aqar.fm/webp/750x0/props/054654200_1787422363789.jpg | https://images.aqar.fm/webp/750x0/props/054654207_1787422363875.jpg | https://images.aqar.fm/webp/750x0/props/054654204_1787422363885.jpg | https://images.aqar.fm/webp/750x0/props/054654207_1787422364693.jpg | https://images.aqar.fm/webp/750x0/props/054654208_1787422364736.jpg | https://images.aqar.fm/webp/750x0/props/054654209_1787422364882.jpg | https://images.aqar.fm/webp/750x0/props/054654203_1787422364739.jpg | https://images.aqar.fm/webp/750x0/props/054654206_1787422364892.jpg,27,تماني بنت عقيل بن فارس العنزي,مكتب مساكن المهلهل,1,2026-08-22,2026-08-22,2026-08-23,13,2026-08-23,True,"900,000",False,فيلا
