listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6692129,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-نهر-النعامين-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6692129,"فيلا للبيع في شارع نهر النعامين, حي قرطبة, مدينة الرياض, منطقة الرياض",3650000,432,5,7,2,11,حي قرطبة,الرياض,شرق الرياض,"للبيع فيلا بحي قرطبة

العمر : 11سنوات
 واجهة شمالية
 شارع 15 م
العمر 11 سنوات
مصعد راكب
مكونه من 4 أدوار


تقع بالقرب من :
طريق الأمير محمد بن سلمان
طريق الشيخ حسن بن حسين
طريق الثمامة
طريق الدمام
طريق سعيد بن زيد


مواصفات الفيــلا :

الدور الأرضي :

 مجلس رجال وصالتين مفتوحة على بعض مرفق معها مدفأة كهربائية ودورتان مياه
بالإضافة إلى مطبخ خارجي مغطى مع غرفة عاملة ومكان غسيل ملابس

الدور الأول :
جناح ماستر دورين بارتفاع ٦ متر مرفق معه كاونتر وجاكوزي ودورة مياة ودرج داخلي
والدور الثاني يحتوي على غرفة خزانة ملابس خاصة مع جلسة خارجية صغيرة
٣ غرف نوم مع دورة مياة خاصة بكل غرفة وخزانات ملابس

الدور الثاني (السطح) :
غرفة مع دورة مياه خاصة

مميزات اضافية :
مصعد
سخان مركزي
خزان غاز مدفون
مدخل سيارة خاص
غرفة سائق
مكيفات فوجي مخفية وسبليت


السعـــر : على السوم

بإمكانك تسجيل الاهتمام من خلال التواصل مع قسم المبيعات :

- الرقم الموحد: 920007218 

- عبدالعزيز : 0538522066
- محمد : 0538522055",24.827387,46.744263,https://images.aqar.fm/webp/750x0/props/036665407_1778507720388.jpg | https://images.aqar.fm/webp/750x0/props/036665405_1778507720207.jpg | https://images.aqar.fm/webp/750x0/props/036665405_1778507720208.jpg | https://images.aqar.fm/webp/750x0/props/036665400_1778507720210.jpg | https://images.aqar.fm/webp/750x0/props/036665408_1778507720207.jpg | https://images.aqar.fm/webp/750x0/props/036665401_1778507720193.jpg | https://images.aqar.fm/webp/750x0/props/036665404_1778507720204.jpg | https://images.aqar.fm/webp/750x0/props/036665402_1778507720340.jpg | https://images.aqar.fm/webp/750x0/props/036665407_1778507720208.jpg | https://images.aqar.fm/webp/750x0/props/036665409_1778507720224.jpg | https://images.aqar.fm/webp/750x0/props/036665403_1778507720431.jpg | https://images.aqar.fm/webp/750x0/props/036665404_1778507720222.jpg | https://images.aqar.fm/webp/750x0/props/036665402_1778507720434.jpg,13,عبدالعزيز ابراهيم صالح الهلالي,شركة ديم العقارية,1,2026-05-11,2026-08-06,2026-08-10,1305,2026-08-23,True,"3,650,000",False,فيلا
6800237,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-نهر-النعامين-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6800237,"فيلا للبيع في شارع نهر النعامين, حي قرطبة, مدينة الرياض, منطقة الرياض",3400000,432,5,5,,10,حي قرطبة,الرياض,شرق الرياض,"فيلا للبيع مساحة ٤٣٢ م٢
حي قرطبة واجهة الشمالية شارع ١٥ م

الطرق الرئيسية القريبة من الفيلا
طريق الأمير محمد بن سلمان
طريق الشيخ حسن بن حسين
طريق الثمامة
طريق الدمام
طريق سعيد بن زيد

الفيلا ٤ أدوار
دور القبو مساحته ١٨٢م٢ مع حديقة ونافورة مؤسسة

الدور الأرضي : مجلس رجال وصالتين مفتوحة على بعض مرفق معها مدفأة كهربائية ومصعد ودورتان مياه
بالإضافة إلى مطبخ خارجي مغطى مع غرفة عاملة ومكان غسيل ملابس

الدور الأول
جناح ماستر دورين بارتفاع ٦ متر مرفق معه كاونتر وجاكوزي ودورة مياة ودرج داخلي
والدور الثاني يحتوي على غرفة خزانة ملابس خاصة مع جلسة خارجية صغيرة
٣ غرف نوم مع دورة مياة خاصة بكل غرفة وخزانات ملابس

الدور الثاني (السطح) :
غرفة مع دورة مياه خاصة

مميزات أخرى :
سخان مركزي
خزان غاز مدفون
مدخل سيارة خاص
غرفة سائق
مكيفات فوجي مخفية وسبليت",24.82738,46.744261,https://images.aqar.fm/webp/750x0/props/050435306_1785595908646.jpg | https://images.aqar.fm/webp/750x0/props/050435300_1785595908648.jpg | https://images.aqar.fm/webp/750x0/props/050435309_1785595908646.jpg | https://images.aqar.fm/webp/750x0/props/050435307_1785595908694.jpg | https://images.aqar.fm/webp/750x0/props/050435304_1785595908648.jpg | https://images.aqar.fm/webp/750x0/props/050435303_1785595908646.jpg | https://images.aqar.fm/webp/750x0/props/050435300_1785595908819.jpg | https://images.aqar.fm/webp/750x0/props/050435305_1785595908659.jpg | https://images.aqar.fm/webp/750x0/props/050435304_1785595908645.jpg | https://images.aqar.fm/webp/750x0/props/050435308_1785595908650.jpg | https://images.aqar.fm/webp/750x0/props/050435305_1785595908647.jpg | https://images.aqar.fm/webp/750x0/props/050435305_1785595908648.jpg | https://images.aqar.fm/webp/750x0/props/050435307_1785595908654.jpg | https://images.aqar.fm/webp/750x0/props/050435304_1785595908652.jpg | https://images.aqar.fm/webp/750x0/props/050435303_1785595908656.jpg | https://images.aqar.fm/webp/750x0/props/050435302_1785595908644.jpg | https://images.aqar.fm/webp/750x0/props/050435303_1785595908649.jpg | https://images.aqar.fm/webp/750x0/props/050435309_1785595908646.jpg | https://images.aqar.fm/webp/750x0/props/050435308_1785595908646.jpg,19,البندري احمد,شركة ثقة الاعمال المتطورة,1,2026-08-01,2026-08-01,2026-08-22,226,2026-08-23,True,"3,400,000",False,فيلا
6662725,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-الصالحي-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6662725,"فيلا للبيع في شارع الصالحي, حي قرطبة, مدينة الرياض, منطقة الرياض",3150000,300,4,3,2,11,حي قرطبة,الرياض,شرق الرياض,"للبيع فيلا بحي قرطبة 
درج دخلي 
المساحة ٣٠٠ م
عمر العقار ١٦ سنه
سيب يدور مدخل سياره
الدور الاول 
مجلس وغرفة طعام ومطبخ 
وصالة ودرج وسط الصاله
غرفه دوره مياه ٢
الدور الثاني :
٣ غرف ماستر و ٢ ببلكونه 
وغرفه عاديه حمام خارجي 
صاله وكونر خدمة
الدور الثالث :
غرفة خادمه مستودع 
٢ دوره مياه صاله سطح
البيع ٢ مليون و ٨٠٠ الف
فيلا حره",24.812265,46.73673,https://images.aqar.fm/webp/750x0/props/044278167_1779434009364.jpg | https://images.aqar.fm/webp/750x0/props/044278163_1779434009534.jpg | https://images.aqar.fm/webp/750x0/props/044278167_1779434009720.jpg | https://images.aqar.fm/webp/750x0/props/044278169_1779434009893.jpg | https://images.aqar.fm/webp/750x0/props/044278165_1779434010077.jpg | https://images.aqar.fm/webp/750x0/props/044278168_1779434010259.jpg | https://images.aqar.fm/webp/750x0/props/044278162_1779434010445.jpg | https://images.aqar.fm/webp/750x0/props/044278168_1779434010661.jpg | https://images.aqar.fm/webp/750x0/props/044278163_1779434010858.jpg | https://images.aqar.fm/webp/750x0/props/044278163_1779434011084.jpg | https://images.aqar.fm/webp/750x0/props/044278166_1779434011332.jpg,11,مشاري بن نعيم بن وصل الحنيني,مؤسسة مكتب دانة الملقا للخدمات العقارية,1,2026-04-20,2026-08-15,2026-08-22,1457,2026-08-23,True,"3,150,000",False,فيلا
6818531,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-الصقره-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6818531,"فيلا للبيع في شارع الصقره, حي قرطبة, مدينة الرياض, منطقة الرياض",1800000,237,3,,,0,حي قرطبة,الرياض,شرق الرياض,"اكتشف فرصة استثنائية لامتلاك فيلا في حي قرطبة المرغوب بالرياض. هذه الملكية مثالية لأولئك الذين يبحثون عن أسلوب حياة هادئ مع وصول مريح إلى مرافق المدينة. **ميزات الملكية:** - **النوع:** فيلا - **السعر:** 1,800,000 ريال سعودي - **الغرض:** للبيع - **الموقع:** قرطبة، الرياض - **حجم الأرض:** غير محدد - **الغرف:** 0 (يعتبر كاستوديو) - **الحمامات:** 0 - **حالة التأثيث:** غير مؤثثة **المرافق المتاحة:** - الكهرباء - إمدادات المياه - الصرف الصحي تقدم هذه الفيلا لوحة فارغة لك لتخصيصها وجعلها خاصة بك. يسمح وضعها غير المؤثث بأقصى قدر من المرونة في التصميم والتخطيط. يُعرف حي قرطبة ببيئته الهادئة ومجتمعه المناسب للعائلات، مما يجعله مكانًا مثاليًا للاستقرار. مع وجود المرافق الأساسية في متناول اليد، بما في ذلك المدارس والحدائق ومناطق التسوق، ستجد كل ما تحتاجه على بعد مسافة قصيرة. استفد من هذه الفرصة الرائعة للاستثمار في ملكية توفر أساسًا لإنشاء منزلك الحلم. لا تفوت هذه العروض الاستثنائية. اتصل بنا اليوم لتحديد موعد لمشاهدة واستكشاف إمكانيات هذه الفيلا في قرطبة، الرياض.",24.813575,46.739915,,,محمد منصور ناصر,مكتب رواد الملقا للخدمات العقارية,1,2026-08-12,2026-08-12,2026-08-12,313,2026-08-23,True,"1,800,000",False,فيلا
6821121,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-رفاع-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6821121,"فيلا للبيع في شارع رفاع, حي قرطبة, مدينة الرياض, منطقة الرياض",3900000,312,6,,,0,حي قرطبة,الرياض,شرق الرياض,"للبيع فيلا مميزة - حي قرطبة
🔹 المساحة: 414 م²
🔹 شارع: 15م جنوبي
حره تقبل بنك 
عمرها 10 سنوات 
🔹 المواصفات:
- القبو:
    - صالة كبيرة + بوفيه + دورة مياه
    - ملحق زجاجي (مشب + إطلالة على المسبح)
    - درج خارجي وداخلي
- الدور الأرضي:
    - مجلس رجال + مغاسل + دورة مياه
    - مقلط
    - صالة كبيرة + مغاسل + دورة مياه
    - مجلس نساء
    - مطبخ داخلي + مطبخ خارجي
    - غرفة سائق خارجية
- الدور الأول:
    - 4 غرف نوم ماستر
    - غرفة بحمام
- الدور الثاني (السطح):
    - غرفة خادمة
    - غرفة غسيل
    - حمام
- البيع يشمل: المطابخ + المكيفات
🔹 تشطيب راق وموقع مميز
🔹 السوم 3 مليون 700
 البيع قريب إن شاء الله 
🔹 مباشر مع ابن المالك
الفيلا ساكنه يلزم موعد 
https://maps.app.goo.gl/KZnky9ydXb4oQQDh9",24.807214,46.745372,https://images.aqar.fm/webp/750x0/props/020546196_1786645378063.jpg,1,أمل بنت صالح بن فهد المحيجين,شركة مساكن وصلة العقارية,1,2026-08-13,2026-08-13,2026-08-23,63,2026-08-23,True,"3,900,000",False,فيلا
6550214,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-الصيادة-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6550214,"فيلا للبيع في شارع الصيادة, حي قرطبة, مدينة الرياض, منطقة الرياض",4200000,399,5,5,2,10,حي قرطبة,الرياض,شرق الرياض,"للبيع فيلا درج صالة – حي قرطبة

📐 المساحة: 399 م²
📍 الموقع: زاوية شرقي شمالي
🛣 الشوارع: 15 م
🏗 عمر العقار: 10 سنوات

مواصفات الفيلا:

🔹 الدور الأرضي:
	•	مجلس رجال
	•	مقلط
	•	صالة
	•	مجلس نساء
	•	مطبخ
	•	مستودع
	•	دورات مياه
	•	حوش
	•	مدخل سيارة
	•	غرفة سائق

🔹 الدور الأول:
	•	4 غرف نوم
	•	غرفتان ماستر
	•	صالة

🔹 الدور الثاني (السطح):
	•	غرفة خادمة
	•	غرفة غسيل
	•	جلسة قرميد في السطح

💰 الرهن العقاري: 621,000 ريال
💵 سعر البيع: 4,200,000 ريال
🤝 قابل للتفاوض

📞 للتواصل:
شركة رؤيتك العقارية
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))",24.80834,46.739059,https://images.aqar.fm/webp/750x0/props/043170051_1768668515122.jpg | https://images.aqar.fm/webp/750x0/props/043170055_1768668522065.jpg | https://images.aqar.fm/webp/750x0/props/043170051_1768668522114.jpg | https://images.aqar.fm/webp/750x0/props/043170059_1768668522103.jpg | https://images.aqar.fm/webp/750x0/props/043170052_1768668522070.jpg | https://images.aqar.fm/webp/750x0/props/043170052_1768668522107.jpg,6,فاطمه القحطاني,مؤسسة مكتب رؤيتك للعقارات,1,2026-01-17,2026-01-17,2026-08-23,299,2026-08-23,True,"4,200,000",False,فيلا
6588703,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-الصالحي-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6588703,"فيلا للبيع في شارع الصالحي, حي قرطبة, مدينة الرياض, منطقة الرياض",4100000,414,6,5,2,10,حي قرطبة,الرياض,شرق الرياض,"للبيع فيلا مميزة – حي قرطبة
مساحة 414م² – شارع 15م جنوبي
السوم ٣٧٠٠٠٠٠ ريال

القبو:
صالة كبيرة بكاونتر بوفيه و دورة مياه مع مغاسلها + مخزن + ملحق زجاجي في القبو بمشب و اطلالة على المسبح + درج خارجي و داخلي للقبو 

الدور الارضي:
 مجلس رجال و مغاسل و دورة مياه + مقلط + صالة كبيرة مع مغاسل و دورة مياه + مجلس نساء + مطبخ داخلي مفتوح على الصالة + مطبخ خارجي + غرفة سائق خارجية 

الدور الاول :
4 غرف نوم (ماستر + غرفة بحمام + غرفتين)

الدور الثاني (السطح):
غرفة خادمة و غرفة غسيل و حمام 

البيع يشمل المطابخ و المكيفات 

تشطيب راقٍ وموقع مميز",24.812757,46.737009,https://images.aqar.fm/webp/750x0/props/001564188_1770982776732.jpg | https://images.aqar.fm/webp/750x0/props/001564187_1770982910418.jpg | https://images.aqar.fm/webp/750x0/props/001564184_1770982944078.jpg | https://images.aqar.fm/webp/750x0/props/001564187_1770982944104.jpg | https://images.aqar.fm/webp/750x0/props/001564188_1770982944108.jpg | https://images.aqar.fm/webp/750x0/props/001564184_1770982944119.jpg | https://images.aqar.fm/webp/750x0/props/001564186_1770982944115.jpg | https://images.aqar.fm/webp/750x0/props/001564187_1770982944117.jpg | https://images.aqar.fm/webp/750x0/props/001564184_1770982944113.jpg | https://images.aqar.fm/webp/750x0/props/001564180_1770982944100.jpg,10,سعود عبدالعزيز محمد الاحيدب,,,2026-02-13,2026-08-06,2026-08-06,1000,2026-08-23,True,"4,100,000",False,فيلا
6394479,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-جبل-الريث-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6394479,"فيلا للبيع في شارع جبل الريث, حي قرطبة, مدينة الرياض, منطقة الرياض",3550000,357,6,,,0,حي قرطبة,الرياض,شرق الرياض,"للبيــــــــع فيلا دوبلكس زاويه درج صاله 
بحي قرطبه من أفضل المواقع 
المساحه ٢٤٠م 
شارع ٢٠م شمالي وشرقي ١٠م 
الدور الأرضي استقبال كامل 
والدور الأول ٤ غرف نوم وصاله 
والسطح غرفتين نوم وصاله وسطح 
البيع ٣ مليون و٥٥٠ ألف بإذن الله وفق الله الجميع",24.827395,46.733656,https://images.aqar.fm/webp/750x0/props/042588845_1758576362077.jpg | https://images.aqar.fm/webp/750x0/props/042588847_1758576361308.jpg | https://images.aqar.fm/webp/750x0/props/042588845_1758576361675.jpg | https://images.aqar.fm/webp/750x0/props/042588845_1758576361833.jpg | https://images.aqar.fm/webp/750x0/props/042588840_1758576361831.jpg | https://images.aqar.fm/webp/750x0/props/042588849_1758576361922.jpg | https://images.aqar.fm/webp/750x0/props/042588848_1758576361987.jpg | https://images.aqar.fm/webp/750x0/props/042588844_1758576362020.jpg | https://images.aqar.fm/webp/750x0/props/042588849_1758576362194.jpg | https://images.aqar.fm/webp/750x0/props/042588848_1758576362195.jpg | https://images.aqar.fm/webp/750x0/props/042588842_1758576362264.jpg | https://images.aqar.fm/webp/750x0/props/042588840_1758576362367.jpg | https://images.aqar.fm/webp/750x0/props/042588846_1758576362354.jpg | https://images.aqar.fm/webp/750x0/props/042588846_1758576362498.jpg | https://images.aqar.fm/webp/750x0/props/042588845_1758576362490.jpg | https://images.aqar.fm/webp/750x0/props/042588849_1758576362577.jpg | https://images.aqar.fm/webp/750x0/props/042588846_1758576362614.jpg,17,احمد بن سليمان بن محمد الصانع,شركة واحة التعمير العقاري شركة شخص واحد,1,2025-09-22,2026-08-03,2026-08-22,2219,2026-08-23,True,"3,550,000",False,فيلا
6573221,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-الصيادة-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6573221,"فيلا للبيع في شارع الصيادة, حي قرطبة, مدينة الرياض, منطقة الرياض",4700000,399,5,5,2,10,حي قرطبة,الرياض,شرق الرياض,"للبيــــــــع فيلا درج صاله بحي قرطبة 
المســــــــاحه ٣٩٩م 
الشارع  ١٥م 
عمر الـعـقـار ١٠ سنوات 

المواصفات 
الـدور الارضي 
مجلس ومقلط وصاله مجلس نساء مطبخ مستودع دورات مياه 
حوش مدخل سياره غرفه سائق 

الـدور الأول 
اربع غرف نوم منهم غرفتين ماستر وصاله 

الـدور الثاني
 السطح غرفه خادمه وغرفة غسيل وجلسه قرميد في السطح

الفيلا عليها رهن عقاري ٦٢١ الف 
البيع 3مليون و900 الف 

قابل للتفاوض 
مباشر مع المالك",24.80834,46.739059,https://images.aqar.fm/webp/750x0/props/034308217_1770056854359.jpg | https://images.aqar.fm/webp/750x0/props/034308212_1770056854328.jpg | https://images.aqar.fm/webp/750x0/props/034308210_1770056854330.jpg | https://images.aqar.fm/webp/750x0/props/034308215_1770056854322.jpg | https://images.aqar.fm/webp/750x0/props/034308210_1770056854330.jpg | https://images.aqar.fm/webp/750x0/props/034308216_1770056854357.jpg,6,فاطمه القحطاني,مؤسسة مكتب رؤيتك للعقارات,1,2026-02-02,2026-07-27,2026-08-22,385,2026-08-23,True,"4,700,000",False,فيلا
6571643,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-الصباحية-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6571643,"فيلا للبيع في شارع الصباحية, حي قرطبة, مدينة الرياض, منطقة الرياض",2800000,300,7,1,0,11,حي قرطبة,الرياض,شرق الرياض,"للبيع فيلا بحي قرطبة 
درج دخلي 
المساحة ٣٠٠ م
عمر العقار ١٦ سنه
سيب يدور مدخل سياره
الدور الاول 
مجلس وغرفة طعام ومطبخ 
وصالة ودرج وسط الصاله
غرفه دوره مياه ٢
الدور الثاني :
٣ غرف ماستر و ٢ ببلكونه 
وغرفه عاديه حمام خارجي 
صاله وكونر خدمة
الدور الثالث :
غرفة خادمه مستودع 
٢ دوره مياه صاله سطح
البيع ٢ مليون و ٨٠٠ الف
فيلا حره و تقبل بنك",24.811396,46.736494,,,صالح محمد,مؤسسة روف الصفوة العقارية,1,2026-02-01,2026-06-20,2026-08-21,466,2026-08-23,True,"2,800,000",False,فيلا
