listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6552575,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-لبن/شارع-الحباب-حي-لبن-مدينة-الرياض-منطقة-الرياض-6552575,"فيلا للبيع في شارع الحباب, حي لبن, مدينة الرياض, منطقة الرياض",3000000,400,5,1,0,10,حي لبن,الرياض,غرب الرياض,"فيلا في حي الأحمديه لبن الشرقي  في حاله ممتازه
المساحه 400 متر
عرض  الشارع  20متر  
الواجهه شماليه
الموقع  ممتاز قرب الخدمات
عمر العقار  10 سنوات 
شارع سكنى
يوجد شقه منعزله 
البيع ٣مليون قابل للتفاوض",24.636614,46.61897,,,بشرى عبدالكريم,مؤسسة بيت الحكمة للخدمات العقارية,1,2026-01-19,2026-06-14,2026-08-23,1556,2026-08-23,True,"3,000,000",False,فيلا
6825839,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-لبن/شارع-الجائزة-حي-لبن-مدينة-الرياض-منطقة-الرياض-6825839,"فيلا للبيع في شارع الجائزة, حي لبن, مدينة الرياض, منطقة الرياض",2500000,200,5,5,2,0,حي لبن,الرياض,غرب الرياض,"🏡 فلل دبلكس فاخرة | حي الأحمدية

✨ أناقة في التصميم… وراحة في التفاصيل

فرصة مميزة لامتلاك فيلا دبلكس بتصميم عصري ومساحات مدروسة، في موقع مميز بحي الأحمدية.

📐 مساحة الأرض: 200م²
🛏️ 4 غرف نوم ماستر
🛗 مصعد
🏠 تصميم عصري وتوزيع عملي
📍 موقع مميز وقريب من الخدمات

بيت أنيق لعائلتك… واستثمار يستحق.

📞 للتفاصيل والحجز",24.636366,46.608014,https://images.aqar.fm/webp/750x0/props/000398349_1787145874039.jpg | https://images.aqar.fm/webp/750x0/props/000398344_1787145884664.jpg | https://images.aqar.fm/webp/750x0/props/000398341_1787145897645.jpg | https://images.aqar.fm/webp/750x0/props/000398343_1787145922554.jpg | https://images.aqar.fm/webp/750x0/props/000398341_1787145941746.jpg | https://images.aqar.fm/webp/750x0/props/000398348_1787145974480.jpg | https://images.aqar.fm/webp/750x0/props/000398348_1787145982213.jpg | https://images.aqar.fm/webp/750x0/props/000398343_1787145994244.jpg | https://images.aqar.fm/webp/750x0/props/000398349_1787146019496.jpg | https://images.aqar.fm/webp/750x0/props/000398347_1787146064116.jpg | https://images.aqar.fm/webp/750x0/props/000398347_1787471948481.jpg,11,فلاح بن مبارك,شركة فيو زون للتطوير العقاري شخص واحد,1,2026-08-16,2026-08-16,2026-08-23,416,2026-08-23,True,"2,500,000",False,فيلا
6653760,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-لبن/شارع-الحجل-حي-لبن-مدينة-الرياض-منطقة-الرياض-6653760,"فيلا للبيع في شارع الحجل, حي لبن, مدينة الرياض, منطقة الرياض",5500000,900,,5,3,11,حي لبن,الرياض,غرب الرياض,"فله للبيع بحي الاحمدية

مساحتها / 900 م

شارعها / ٢٠ شمالي 

العمر / ٢٣ سنه 
مجدده قبل ٤ سنوات 

تتكون من :

دور وثلاث شقق

يوجد مصعد يخدم الشقق
——-
الدور يتكون من :

مجلس ومقلط طعام و اربع غرف ومجلس نساء وصاله ومطبخ،،

الحوش الخارجي فيه مشب كبير وملحق للضيوف خارجي فيه غرفتين نوم + مطبخ مستقل للمجلس

الشقق / 3 شقق 

كل شقه فيها غرفتين وصاله ومطبخ ومجلس ومقلط طعام

سعر البيع /٦ مليون و ٥٠٠ الف 

متبقي عليها رهن ٩٥٠ الف 

للتواصل / 0505672779",24.637152,46.607265,https://images.aqar.fm/webp/750x0/props/049227897_1776104554503.jpg | https://images.aqar.fm/webp/750x0/props/049227896_1776104554492.jpg | https://images.aqar.fm/webp/750x0/props/049227891_1776104554508.jpg | https://images.aqar.fm/webp/750x0/props/049227896_1776104554522.jpg,4,فهد محمد,,,2026-04-13,2026-08-08,2026-08-23,2354,2026-08-23,True,"5,500,000",False,فيلا
6521564,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-لبن/شارع-الذهب-حي-لبن-مدينة-الرياض-منطقة-الرياض-6521564,"فيلا للبيع في شارع الذهب, حي لبن, مدينة الرياض, منطقة الرياض",3000000,450,7,5,3,0,حي لبن,الرياض,غرب الرياض,"فله حي الاحمدية 
الواجهة جنوبي شارع 15
مساحتها ٤٥٠ متر
الدور الارضي:
غرفة سائق
مجلس
مقلط
مطبخ ومستودع خاص بالمطبخ
صاله 
مجلس نساء
2 دورة مياه 
ماسس مصعد (كل الادوار)
القبو:
صاله واسعه 
مقلط
مجلس
2دورة مياه 
الدور الاول:
4غرف نوم
4دورات مياه
الدور الثاني:
غرفتين نوم
دورتين مياه
غرفة غسيل
الشقة:
عبارة عن دورين دور ضيافه ودور غرف نوم

السوم  وصل ٣مليون",24.640804,46.597956,,,علي احمد,شركة زياد البركة العقارية,1,2025-12-25,2026-08-22,2026-08-23,2552,2026-08-23,True,"3,000,000",False,فيلا
6829697,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-لبن/شارع-الحديثة-حي-لبن-مدينة-الرياض-منطقة-الرياض-6829697,"فيلا للبيع في شارع الحديثة, حي لبن, مدينة الرياض, منطقة الرياض",3500000,400,6,,,6,حي لبن,الرياض,غرب الرياض,"للبيع فله 
في موقع مميز 
لبن الاحمدية 
المساحة /400م 
شارع/ 20 غربي 
درج صاله وشقة مستقله نظام دورين 
الفيلا مجلس ومقلط وصاله 
وصاله طعام ومجلس نساء 
ومطبخ ودورتين مياه تحت 
وملحق خارجي بدورة مياه وحديقة خارجية 
الدور الاول/ 3غرف نوم ماستر 
وكذالك فوق غرفة خامة بدورة مياه وغرفة غسيل وسطح 

الشقة نظام دورين وباب مستقل 

السوم / 3ميلون 
البيع / 3.500.000

مؤسسة التمامي للعقارات 
للتواصل / 
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.635465,46.617261,https://images.aqar.fm/webp/750x0/props/024985497_1787075617955.jpg | https://images.aqar.fm/webp/750x0/props/024985493_1787075617725.jpg | https://images.aqar.fm/webp/750x0/props/024985496_1787075617999.jpg | https://images.aqar.fm/webp/750x0/props/024985496_1787075617734.jpg | https://images.aqar.fm/webp/750x0/props/024985499_1787075617998.jpg | https://images.aqar.fm/webp/750x0/props/024985497_1787075617976.jpg | https://images.aqar.fm/webp/750x0/props/024985495_1787075617934.jpg,7,ابراهيم عبدالله ناصر التمامي,,,2026-08-18,2026-08-18,2026-08-18,12,2026-08-23,True,"3,500,000",False,فيلا
6812092,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-لبن/شارع-الدروب-حي-لبن-مدينة-الرياض-منطقة-الرياض-6812092,"فيلا للبيع في شارع الدروب, حي لبن, مدينة الرياض, منطقة الرياض",3000000,477,6,0,0,0,حي لبن,الرياض,غرب الرياض,"3 فلل دبلكس
مساحة كل فلة 300م2
تشطيب سوبر ديلوكس 
تكييف مخفي للدور الأرضي وغرفة النوم الرئيسية 
حي راقي
ضمانات كاملة وتأمين التعاونية
للاتصال على مهندس المشروع

((الرقم يظهر عند الضغط على اتصال))",24.635643,46.592275,https://images.aqar.fm/webp/750x0/props/001349292_1786249742139.jpg | https://images.aqar.fm/webp/750x0/props/001349298_1786249742128.jpg | https://images.aqar.fm/webp/750x0/props/001349298_1786249742133.jpg | https://images.aqar.fm/webp/750x0/props/001349294_1786249742141.jpg | https://images.aqar.fm/webp/750x0/props/001349295_1786249742239.jpg | https://images.aqar.fm/webp/750x0/props/001349293_1786249742269.jpg | https://images.aqar.fm/webp/750x0/props/001349292_1786249742217.jpg | https://images.aqar.fm/webp/750x0/props/001349290_1786249742256.jpg | https://images.aqar.fm/webp/750x0/props/001349290_1786249775672.jpg | https://images.aqar.fm/webp/750x0/props/001349295_1786249775657.jpg | https://images.aqar.fm/webp/750x0/props/001349291_1786249775657.jpg | https://images.aqar.fm/webp/750x0/props/001349292_1786249775681.jpg,12,محمد ابن سعد,شركة الأفق الشمالي للتطوير العقاري,1,2026-08-09,2026-08-09,2026-08-19,741,2026-08-23,True,"3,000,000",False,فيلا
6370177,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-لبن/حي-العريجاء-الغربي-مدينة-الرياض-منطقة-الرياض-6370177,"فيلا للبيع في حي العريجاء الغربي, مدينة الرياض, منطقة الرياض",1050000,200,6,1,0,0,حي لبن,الرياض,غرب الرياض,"السلام عليكم ورحمة

مكتب بداية للخدمات العقارية
اقدم لكم عرض مشروع فلل 


دوبلكسات حي العريجاء الغربية 


وجهه شرقيه 

شارع 15 م 

مساحه 200 م


الاول مدخل سياره ومشب ومجلس رجال ومقلط وصاله ومجلس نساء ومطبخ 

التاني 4 غرف منهم غرفتين مستر وصاله 

التالت غرفه بحمام وسطح 




جميع الضمانات الازمه من كهرباء وعوازل وعليها شهاده اشراف هندسي ولعملاءنا الكرام جميع التسهيلات التمويليه والعقاريه وشهاده اتمام البناء موجوده

التواصل والاستفسار /// ((رقم المعلن يظهر عند التواصل))
كل حلم له بداية ، وبداية التمليك تبدأ بخطوه مع بداية جديدة 🏠🏠",24.604454,46.583743,https://images.aqar.fm/webp/750x0/props/047625763_1757179721581.jpg,1,مشاعل دعيرم بن جربوع العتيبي,مؤسسة مكتب بداية جديدة للخدمات العقارية,1,2025-09-06,2025-09-06,2026-08-18,1543,2026-08-23,True,"1,050,000",False,فيلا
6803866,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-لبن/شارع-الحياري-حي-لبن-مدينة-الرياض-منطقة-الرياض-6803866,"فيلا للبيع في شارع الحياري, حي لبن, مدينة الرياض, منطقة الرياض",2000000,200,,6,4,11,حي لبن,الرياض,غرب الرياض,"فرصة عقارية مميزة للبيع 🏡
فيلا مستقلة راقية بتصميم متكامل - حي الأحمدية (لبن) شارع الحويه
📐 التفاصيل والمساحات:
 مساحة الأرض: 200 متر مربع.
 عدد الأدوار: 3 أدوار.
 الوافـع: مكيفات راكبة بالكامل + مطبخ راكب + مدخل سيارة.
🏛️ تفاصيل تقسيم الأدوار:
 الدور الأرضي:
 حوش واسع مع مدخل سيارة.
 مجلسين استقبال.
 مقلط طعام.
 صالة معيشة واسعة.
 مطبخ راكب.
 حمامين.
 الدور الأول:
 3 غرف نوم (منها غرفة ماستر رئيسية).
 حمامين.
 صالة معيشة.
 الدور الثاني (الملحق):
 غرفة نوم بحمامها الخاص.
 غرفة غسيل.
 سطح واسع بمدخل وباب مستقل عن باقي الأدوار (مثالي للجلسات الخارجية).

📞 للتواصل والاستفسار:
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.634334,46.607859,https://images.aqar.fm/webp/750x0/props/004950966_1785769559616.jpg,1,خالد حسين منصور الدوسرى,مكتب خالد حسين منصور الدوسرى للعقار,1,2026-08-03,2026-08-03,2026-08-19,854,2026-08-23,True,"2,000,000",False,فيلا
6723390,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-لبن/شارع-الخنساء-حي-لبن-مدينة-الرياض-منطقة-الرياض-6723390,"فيلا للبيع في شارع الخنساء, حي لبن, مدينة الرياض, منطقة الرياض",5700000,900,,5,5,11,حي لبن,الرياض,غرب الرياض,$5b,24.637522,46.598572,https://images.aqar.fm/webp/750x0/props/020253724_1780870283001.jpg,1,محمد بن خالد بن عبيد البقمي,,,2026-06-07,2026-08-05,2026-08-22,1401,2026-08-23,True,"5,700,000",False,فيلا
6759115,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-لبن/شارع-الخوخ-حي-لبن-مدينة-الرياض-منطقة-الرياض-6759115,"فيلا للبيع في شارع الخوخ, حي لبن, مدينة الرياض, منطقة الرياض",3100000,450,5,1,0,0,حي لبن,الرياض,غرب الرياض,"للبيع فيلا في حي الاحمدية 
المساحة 450 متر 
عمر العقار جديد 
الواجهة جنوبي شارع 15

الدور الارضي:
غرفة سائق
مجلس
مقلط
مطبخ ومستودع خاص بالمطبخ
صاله 
مجلس نساء
2 دورة مياه 
ماسس مصعد (كل الادوار)
القبو:
صاله واسعه 
مقلط
مجلس
2دورة مياه 
الدور الاول:
4غرف نوم
4دورات مياه
الدور الثاني:
غرفتين نوم
دورتين مياه
غرفة غسيل
الشقة:
عبارة عن دورين دور ضيافه ودور غرف نوم

السوم وصل 3 مليون و 100 الف
مباشر من المالك

الموقع https://maps.app.goo.gl/rxRUoPHQZtFDzcZW7?g_st=awb",24.642692,46.601379,,,نوال بنت سعد بن صقر العتيبي,مؤسسة مسكن الياسمين,1,2026-07-04,2026-08-02,2026-08-23,251,2026-08-23,True,"3,100,000",False,فيلا
