listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6552938,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-نمار/شارع-سفيان-بن-الحارث-حي-الحزم-مدينة-الرياض-منطقة-الرياض-6552938,"فيلا للبيع في شارع سفيان بن الحارث, حي الحزم, مدينة الرياض, منطقة الرياض",1300000,336,6,1,3,0,حي نمار,الرياض,غرب الرياض,"السلام عليكم ورحمة

مكتب بداية للخدمات العقارية
 
فلل دوبلكسات حي الحزم 
شارع 20 م 
مؤسس مصعد 

الفيلا تتكون من مدخل سياره مشب مجلس رجال مقلط مفتوح على الصاله ومطبخ غرفه كبار سن 


الدور الاول 3 غرف نوم وصاله 

الدور الثاني غرفه نوم وصاله وغرفه خادمه 





جميع الضمانات الازمه من كهرباء وعوازل وعليها شهاده اشراف هندسي ولعملاءنا الكرام جميع التسهيلات التمويليه والعقاريه وشهاده اتمام البناء موجوده

التواصل والاستفسار /// ((رقم المعلن يظهر عند التواصل))
كل حلم له بداية ، وبداية التمليك تبدأ بخطوه مع بداية جديدة 🏠🏠",24.549618,46.666474,https://images.aqar.fm/webp/750x0/props/047625766_1768832583768.jpg,1,مشاعل دعيرم بن جربوع العتيبي,مؤسسة مكتب بداية جديدة للخدمات العقارية,1,2026-01-19,2026-01-19,2026-08-18,890,2026-08-23,True,"1,300,000",False,فيلا
6719112,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-نمار/شارع-المختارة-حي-نمار-مدينة-الرياض-منطقة-الرياض-6719112,"فيلا للبيع في شارع المختارة, حي نمار, مدينة الرياض, منطقة الرياض",1750000,750,,5,3,3,حي نمار,الرياض,غرب الرياض,"للبيع فيلا بحي نمار موقع ممتاز المساحه 375
تتكون من دورين وملحق
الدور الأرضي 
3 غرف + مجلس + مقلط + صاله + مطبخ + 3 دورات مياه + حوش بمدخل سياره
الدور العليوي
3 غرف + مجلس + صاله + مقلط + مطبخ + 3 دورات مياه 
الملحق
غرفتين + صاله + مطبخ + دورتين مياه + سطح
السعر : 1750000

دليل النهضة العقارية 

0533725888 - 0532242888 - 0504815888",24.568437,46.681518,https://images.aqar.fm/webp/750x0/props/048269422_1780587747106.jpg,1,غيث باوزير,شركة دليل النهضة العقارية,1,2026-06-04,2026-08-01,2026-08-23,1219,2026-08-23,True,"1,750,000",False,فيلا
6703012,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-نمار/شارع-رغدان-حي-نمار-مدينة-الرياض-منطقة-الرياض-6703012,"فيلا للبيع في شارع رغدان, حي نمار, مدينة الرياض, منطقة الرياض",1050000,247,7,5,0,4,حي نمار,الرياض,غرب الرياض,"للبيع دور وشقة في حي نمار
عدادين
الدور العلوي يتكون من:

* مجلس
* مقلط
* صالة
* 3 غرف نوم
* 3 دورات مياه
* مطبخ

الشقة تتكون من:

* غرفتين نوم
* صالة
* مطبخ أوفيس
* حمامين
* سطح مستقل
السوم مليون 
الحد 
1,100,000",24.568884,46.684661,https://images.aqar.fm/webp/750x0/props/045632313_1781206712124.jpg | https://images.aqar.fm/webp/750x0/props/045632319_1781206712119.jpg | https://images.aqar.fm/webp/750x0/props/045632312_1781613124322.jpg | https://images.aqar.fm/webp/750x0/props/045632311_1781613124412.jpg | https://images.aqar.fm/webp/750x0/props/045632311_1781713869865.jpg | https://images.aqar.fm/webp/750x0/props/045632311_1781713869867.jpg,6,عبدالعزيز عبدالكريم عبدالرحمن المنيعي,مكتب بصمة ثري للتطوير والاستثمار العقاري,1,2026-05-18,2026-08-15,2026-08-17,2257,2026-08-23,True,"1,050,000",False,فيلا
6762372,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-نمار/شارع-المهند-حي-نمار-مدينة-الرياض-منطقة-الرياض-6762372,"فيلا للبيع في شارع المهند, حي نمار, مدينة الرياض, منطقة الرياض",1400000,495,5,5,3,11,حي نمار,الرياض,غرب الرياض,"📍 الرياض، حي نمار مخرج 24
فيلا دورين وشقه درج جانبي  متميزة بدورين درج جانبي تجمع بين السكن العائلي المستقل والاستثمار العقاري الذكي. تتميز بجاهزيتها التامة للسكن، مع إمكانية التوسع وزيادة الدخل المستقبلي 
🏡 تفاصيل العقار العامة
• 📐 المساحة الإجمالية: 495 متر مربع
• 🏗️ نوع العقار: فيلا (دورين درج جانبي  + ملحق)
• 🛣️ عرض الشارع: 10 متر
• 🏠 حالة العقار: جاهز للسكن الفوري

📋 التقسيم الداخلي للعقار:
⬇️ الدور الأرضي 
حوش مدخل سياره مظله 
بيت شعر 
مجلس مستقل مع دوره مياه 
مقلط
• 🛋️ صالة عائلية واسعة ومريحة
• 🛏️ غرفه نوم بتوزيع هندسي ممتاز
• 🍳 مطبخ
• 🚿 2 دورات مياه
مجلس نساء 

الدور العلوي 
5 غرف نوم صاله 

• ⛺ ملحق 3 غرف صاله مطبخ حمامين 
وسطح •",24.582983,46.698152,https://images.aqar.fm/webp/750x0/props/045632314_1783351822052.jpg | https://images.aqar.fm/webp/750x0/props/045632316_1783353399747.jpg | https://images.aqar.fm/webp/750x0/props/045632315_1783353399809.jpg | https://images.aqar.fm/webp/750x0/props/045632313_1783353399809.jpg | https://images.aqar.fm/webp/750x0/props/045632317_1783353399797.jpg | https://images.aqar.fm/webp/750x0/props/045632314_1783353399797.jpg | https://images.aqar.fm/webp/750x0/props/045632310_1783353399787.jpg | https://images.aqar.fm/webp/750x0/props/045632317_1783353399814.jpg | https://images.aqar.fm/webp/750x0/props/045632314_1783353399816.jpg | https://images.aqar.fm/webp/750x0/props/045632315_1783353416451.jpg | https://images.aqar.fm/webp/750x0/props/045632314_1783353416447.jpg | https://images.aqar.fm/webp/750x0/props/045632318_1783353416454.jpg | https://images.aqar.fm/webp/750x0/props/045632317_1783353416458.jpg | https://images.aqar.fm/webp/750x0/props/045632313_1783353416408.jpg | https://images.aqar.fm/webp/750x0/props/045632313_1783353416460.jpg,15,عبدالعزيز عبدالكريم عبدالرحمن المنيعي,مكتب بصمة ثري للتطوير والاستثمار العقاري,1,2026-07-06,2026-08-04,2026-08-13,958,2026-08-23,True,"1,400,000",False,فيلا
6751281,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-نمار/شارع-ام-سلم-حي-نمار-مدينة-الرياض-منطقة-الرياض-6751281,"فيلا للبيع في شارع ام سلم, حي نمار, مدينة الرياض, منطقة الرياض",1500000,230,5,5,2,0,حي نمار,الرياض,غرب الرياض,"فيلا درج في الصالة 
مكونة من مجلس + صالة طعام + صالة جانبية + 5 غرفة نوم بدورة مياه مستقله + غرفة ماستر
المساحة 230م

للتواصل واتساب ((الرقم يظهر عند الضغط على اتصال))",24.569859,46.684205,https://images.aqar.fm/webp/750x0/props/053583731_1782659484606.jpg | https://images.aqar.fm/webp/750x0/props/053583737_1782659484497.jpg | https://images.aqar.fm/webp/750x0/props/053583732_1782659537616.jpg | https://images.aqar.fm/webp/750x0/props/053583733_1782659619939.jpg | https://images.aqar.fm/webp/750x0/props/053583735_1782659682197.jpg | https://images.aqar.fm/webp/750x0/props/053583735_1782659726617.jpg | https://images.aqar.fm/webp/750x0/props/053583731_1782659761170.jpg | https://images.aqar.fm/webp/750x0/props/053583738_1782659814254.jpg | https://images.aqar.fm/webp/750x0/props/053583739_1782659855554.jpg | https://images.aqar.fm/webp/750x0/props/053583736_1782660859155.jpg | https://images.aqar.fm/webp/750x0/props/053583731_1782660859157.jpg | https://images.aqar.fm/webp/750x0/props/053583735_1782660859168.jpg | https://images.aqar.fm/webp/750x0/props/053583732_1782660859168.jpg,13,ابراهيم زيد,,,2026-06-28,2026-07-27,2026-08-16,789,2026-08-23,True,"1,500,000",False,فيلا
6732827,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-نمار/حي-نمار-الرياض-منطقة-الرياض-6732827,فيلا للبيع في حي نمار ، الرياض ، منطقة الرياض,1300000,250,7,5,1,0,حي نمار,الرياض,غرب الرياض,"*للبيــــــــع  فيلا درج صاله في حي نمار
 (نموذج ايوان )*
الواجهة غربية جنوبية
على شارع 18م
مساحة الأرض 250 متر مربع 
مساحة مسطّح البناء 286 متر مربع 
سعر البيع 1،300،000﷼ 
تم تركيب لمبات داخليه وجبس بورد
سبب البيع نقل مقر العمل",24.568546,46.675709,https://images.aqar.fm/webp/750x0/props/021309538_1781456505488.jpg | https://images.aqar.fm/webp/750x0/props/021309535_1781456505488.jpg,2,أحمد حسين احمد قيسى,,,2026-06-14,,2026-06-27,94,2026-08-23,False,طلب تسويق,False,فيلا
6647001,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-نمار/شارع-المنجي-حي-نمار-مدينة-الرياض-منطقة-الرياض-6647001,"فيلا للبيع في شارع المنجي, حي نمار, مدينة الرياض, منطقة الرياض",1750000,432,,5,2,11,حي نمار,الرياض,غرب الرياض,"للبيع فيلا زاوية بموقع مميز
مساحة 432 م²
على شارعين: 20م جنوبي + 15م شرقي
تصميم درج صالة – واسعة ومناسبة للسكن العائلي

الدور الأرضي:
• مجلس رجال
• مقلط
• صالة واسعة
• مجلس نساء
• مطبخ
• مستودع
• غرفة غسيل
• دورتين مياه
• حوش
• مدخل سيارة
• غرفة سائق مع دورة مياه

الدور الأول:
• صالة
• 5 غرف نوم
• غرفة ماستر بدورة مياه
• غرفتين نوم بحمام مشترك
• غرفتين نوم بحمام مشترك

الملحق العلوي:
• غرفة خادمة مع دورة مياه
• مستودع
• سطح واسع

فيلا زاوية بتوزيع مريح ومساحات ممتازة، مجددة بالكامل
العمر: 25 سنة
يوجد رخصة بناء
الفلة حرة
قريب من مسجد جامع
مناسبة للسكن العائلي أو الاستثمار",24.584102,46.695078,https://images.aqar.fm/webp/750x0/props/003465094_1775664189073.jpg | https://images.aqar.fm/webp/750x0/props/003465098_1775758302128.jpg | https://images.aqar.fm/webp/750x0/props/003465098_1775758302134.jpg | https://images.aqar.fm/webp/750x0/props/003465098_1775758302141.jpg | https://images.aqar.fm/webp/750x0/props/003465098_1775758302150.jpg | https://images.aqar.fm/webp/750x0/props/003465093_1775758302155.jpg | https://images.aqar.fm/webp/750x0/props/003465099_1775758302138.jpg | https://images.aqar.fm/webp/750x0/props/003465091_1775758302144.jpg,8,راشد التميمي,مؤسسة مكتب مدار التميز للعقارات,1,2026-04-08,2026-08-02,2026-08-02,2669,2026-08-23,True,"1,750,000",False,فيلا
6709286,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-نمار/شارع-الشبيكية-حي-نمار-مدينة-الرياض-منطقة-الرياض-6709286,"فيلا للبيع في شارع الشبيكية, حي نمار, مدينة الرياض, منطقة الرياض",2500000,750,,0,0,10,حي نمار,الرياض,غرب الرياض,"فيلا للبيع في حي نمار 
المساحة: ٧٥٠ متر 
الموقع :  وادي نمار – شارع الشبكية (بجانب مطل وادي نمار)
وتتميز بمساحتها الواسعة ومرافقها المتكاملة

الدور الأرضي:
* مجلس رجال
* مجلس نساء
* صالة طعام
* صالة معيشة
* غرفتان نوم
* مطبخ
* مستودع
* ٣ دورات مياه
* غرفة عاملة 
* منطقة غسيل ملابس 
* خيمة خارجية 
* مجلس خارجي مع دورة مياة
* حوش كبير يتسع لاكثر من ٨ سيارات

الدور العلوي:
* ٣ غرف نوم
* أوفيس (مطبخ صغير)
* ٢ دورة مياه

شقة مستقلة (قابلة للفصل عن الفيلا):
* مجلس
* صالة
* غرفتان نوم
* ٢ دورة مياه
* مطبخ
* مستودع

مرافق إضافية:
* غرفه بالسطح
* سطح كبير
* دورة مياة بالسطح


رقم ترخيص الاعلان 
7200983948

رقم التواصل 
 ",24.569037,46.682344,https://images.aqar.fm/webp/750x0/props/005370545_1779613873897.jpg | https://images.aqar.fm/webp/750x0/props/005370546_1779613873899.jpg | https://images.aqar.fm/webp/750x0/props/005370543_1779613873886.jpg | https://images.aqar.fm/webp/750x0/props/005370548_1779613873898.jpg,4,ابراهيم عبدالعزيز حمد,مؤسسة أصول البنيان العالي,1,2026-05-24,2026-05-24,2026-08-21,1247,2026-08-23,True,"2,500,000",False,فيلا
6810014,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-نمار/شارع-الميداني-حي-نمار-الرياض-منطقة-الرياض-6810014,فيلا للبيع في شارع الميداني ، حي نمار ، الرياض ، منطقة الرياض,1600000,379,5,5,5,20,حي نمار,الرياض,غرب الرياض,"فيلا مستقله 

الدور الارضي مكون من 

-ملحق خارجي
-مجلس 
-مقلط 
-صاله واسعه 
-طاوله طعام ١٢ كرسي
-مطبخ 

الدور الاول 
-غرفة ماستر 
-٤ غرف نوم 

الدور الثاني
-غرفة خادمه 
-غرفه غسيل",24.584242,46.695061,https://images.aqar.fm/webp/750x0/props/007880477_1786068004572.jpg | https://images.aqar.fm/webp/750x0/props/007880476_1786068004376.jpg | https://images.aqar.fm/webp/750x0/props/007880474_1786068004375.jpg | https://images.aqar.fm/webp/750x0/props/007880470_1786068004377.jpg | https://images.aqar.fm/webp/750x0/props/007880478_1786068004376.jpg | https://images.aqar.fm/webp/750x0/props/007880475_1786068004376.jpg,6,مشاري العجيان,,,2026-08-07,,2026-08-07,29,2026-08-23,False,طلب تسويق,False,فيلا
6485659,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-نمار/شارع-عيسى-الثعالبي-حي-نمار-مدينة-الرياض-منطقة-الرياض-6485659,"فيلا للبيع في شارع عيسى الثعالبي, حي نمار, مدينة الرياض, منطقة الرياض",1500000,326,,,,11,حي نمار,الرياض,غرب الرياض,"فلة مفصولة دور دور وشقة موجرة بالكامل 
الدور الارضي مجلس وصالة وثلاث غرف وثلاث دورات مياه 
الدور  الاول ٥ غرف وصالة ومطبخ و٣ دورات مياه 
الملحق ٣ غرف وصالة ومطبخ ٢ دور مياه 
البيت مرهون لدى صندوق التنمية العقاري بمبلغ ٢٩٠ الف 
مكتب الرماح 
((رقم المعلن يظهر عند التواصل))",24.567412,46.66554,,,عبدالعزيز ابراهيم عبدالله الرماح,مكتب عبدالعزيز ابراهيم عبدالله الرماح للعقارات,1,2025-11-29,2025-11-29,2026-07-17,1548,2026-08-23,True,"1,500,000",False,فيلا
