listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6820103,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-الأرقم-النحفى-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6820103,"عمارة للبيع في شارع الأرقم النحفى, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",7700000,203,,,,0,حي الصفا,جدة,شمال جدة,$5f,21.569087,39.220502,https://images.aqar.fm/webp/750x0/props/049825378_1786611081060.jpg,1,عبدالله ظافر عبدالله الشهري,مؤسسة دار النماص للعقار,1,2026-08-13,2026-09-11,2026-09-11,322,2026-09-15,True,"7,700,000",False,عمارة
6791433,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-محمد-نور-جخدار-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6791433,"عمارة للبيع في شارع محمد نور جخدار, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",6350000,625,,,,11,حي الصفا,جدة,شمال جدة,"🔴🔴 تنبيه الواتس اب لا يعمل 🔴🔴
🔴🔴التواصل عبر الاتصال او عبر الرسائل النصيه🔴🔴

بسم الله والصلاه والسلام على خير البشريه اللهم اني اسئلك من فضلك 
للبيع عماره  تجاريه سكنيه موقع مميز على شارعين  بجده حي الصفا مساحتها 625م مكونه من 5 ادوار ومن 8 شقق ومن 5 غرف وصاله و  4 وعارض وبها مصعد   الدخل 334 الف سنويا قابل للزياده ايجارات قديمه العمر فوق 30 سنه تقريبا من غير الدور الاخير والملحق عمره سنتين المطلوب 6مليون  و 350 الف ريال 🔴🔴 السعر قابل تفاوض للجاد🔴🔴
 للاستفسارات ((الرقم يظهر عند الضغط على اتصال))
موقع العقار على قوقل 

https://maps.app.goo.gl/",21.56615,39.216061,https://images.aqar.fm/webp/750x0/props/000351400_1785083658846.jpg | https://images.aqar.fm/webp/750x0/props/000351406_1785083658849.jpg,2,احمد علي سالم حامد,مؤسسة ادوار السعاده العقارية,1,2026-07-26,2026-08-24,2026-09-14,504,2026-09-15,True,"6,350,000",False,عمارة
6824420,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-محمد-سرور-الصبان-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6824420,"عمارة للبيع في شارع محمد سرور الصبان, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",3000000,400,,,,11,حي الصفا,جدة,شمال جدة,"عماره تجارية للبيع حي الصفا 
المساحه ٤٠٠ متر
شارعين شمالي غربي 
كل دور شقه من ٥ غرف وصاله 
ملحق غرف وصاله ومطبخ 
مصعد 
موقع مميز 
المطلوب ٣ مليون و٢٠٠ الف
جوال ((الرقم يظهر عند الضغط على اتصال))",21.56821,39.213319,https://images.aqar.fm/webp/750x0/props/017030289_1786824068947.jpg | https://images.aqar.fm/webp/750x0/props/017030284_1786824069081.jpg,2,عبدالمحسن مسعود احمد العدواني,مؤسسة عبدالمحسن مسعود احمد العدواني للخدمات العقارية,1,2026-08-15,2026-09-14,2026-09-15,355,2026-09-15,True,"3,000,000",False,عمارة
6855348,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-عمرو-ابن-غزية-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6855348,"عمارة للبيع في شارع عمرو ابن غزية, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",4600000,682,,,,11,حي الصفا,جدة,شمال جدة,"عمارة تجاريه للبيع في حي الصفا – جدة، مساحة٦٨٠ متر،
شارعين شمالي شرقي دورين وملحق،٤ شقق و٤ محلات، العمر حوالي ٢٨ سنة، السعر٥ مليون ريال قابل للتفاوض، دخل متوقع يتجاوز٣٠٠ ألف ريال سنويّا. فرصة استثمارية مميزة مناسبة للتأجير أو إعادة التطوير. للتواصل والمعاينة
((الرقم يظهر عند الضغط على اتصال))",21.589595,39.199323,https://images.aqar.fm/webp/750x0/props/002239558_1788385077755.jpg,1,سناء عواد,مؤسسة أضواء المجد للخدمات العقارية,1,2026-09-02,2026-09-02,2026-09-14,133,2026-09-15,True,"4,600,000",False,عمارة
6860862,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-عبدالله-بن-عرفجه-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6860862,"عمارة للبيع في شارع عبدالله بن عرفجه, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",3000000,625,,,,11,حي الصفا,جدة,شمال جدة,"عمارة استثمارية مميزة للبيع في حي الصفا – جدة
تُعلن مجموعة صالح القرشي العقارية (ترخيص رقم: 7201120326) عن عرض عقاري استثماري فريد بفرص عائد ممتازة وسجلات موثقة.
تفاصيل العقار الأساسية
 الموقع: حي الصفا – ظهيرة طريق أم القرى ونافذ على شارع الشربتلي.
 حالة العقار: عمر العمارة 30 سنة (نظيفة جداً) ومزودة بـ مصعد خارجي.
 التركيب: مكونة من 3 أدوار وملحق (إجمالي 7 شقق).
 الخدمات: 7 عدادات كهرباء مستقلة.
تفاصيل الوحدات السكنية
 6 شقق: تتكون كل شقة من 4 غرف واسعة + صالة + 2 دورة مياه.
 الملحق: يتكون من 3 غرف واسعة بمنافعها + ملحق خارجي كبير + غرفتين خلفيتين.
العائد الاستثماري
 الدخل السنوي: 205,000 ريال سعودي.
 التوثيق: جميع العقود موثقة رسمياً عبر منصة إيجار.",21.583089,39.217408,https://images.aqar.fm/webp/750x0/props/005200890_1788717536883.jpg,1,حسام القرشي ,شركة مجموعة صالح رجب محمد القرشي العقارية,1,2026-09-06,2026-09-06,2026-09-06,146,2026-09-15,True,"3,000,000",False,عمارة
6464833,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-عرفجه-بن-أسعد-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6464833,"عمارة للبيع في شارع عرفجه بن أسعد, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",2300000,480,,,,11,حي الصفا,جدة,شمال جدة,"شركة سهم الخليج العقارية 
رقم العرض 328
___
للبيع عمارة سكنية في جدة - حي الصفا 
المساحة: 480 متر مربع 
المطلوب: 2,300,000
الدخل الحالي: 103,000 عقود الكترونية 
___
-عدد خمسة شقق 
-شقتين من ثلاثة غرف 
-شقتين من اربعه غرف 
-ملحق من غرفتين
—–
-بالقرب من جامع
-تفتح على حرف T
-خمسة عدادات كهرباء 
-شارع جنوبي عرض 15 متر 
-الاضلاع 20 في 24 متر 
-العمر أكثر من 20 سنة",21.586572,39.209612,https://images.aqar.fm/webp/750x0/props/021331987_1764254401953.jpg | https://images.aqar.fm/webp/750x0/props/021331986_1764254401927.jpg | https://images.aqar.fm/webp/750x0/props/021331989_1764254401934.jpg,3,بدور بندر,مكتب سهم الغرب للخدمات العقارية,1,2025-11-12,2025-11-12,2026-09-14,5443,2026-09-15,True,"2,300,000",False,عمارة
6656124,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-ابن-صفوان-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6656124,"عمارة للبيع في شارع ابن صفوان, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",3700000,750,,,,11,حي الصفا,جدة,شمال جدة,$5e,21.58332,39.20078,https://images.aqar.fm/webp/750x0/props/016865590_1786275427661.png | https://images.aqar.fm/webp/750x0/props/016865596_1786275466819.png | https://images.aqar.fm/webp/750x0/props/016865590_1786275466822.png | https://images.aqar.fm/webp/750x0/props/016865594_1786275466821.png | https://images.aqar.fm/webp/750x0/props/016865599_1786275466814.png,5,سامى عمر عبدالرزاق الشامخي,شركة ميدبوينت بروبرتي مانجمنت,1,2026-04-15,2026-09-07,2026-09-14,1358,2026-09-15,True,"3,700,000",False,عمارة
6460746,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-علي-بن-الزغواني-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6460746,"عمارة للبيع في شارع علي بن الزغواني, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",5500000,600,,,,11,حي الصفا,جدة,شمال جدة,"عماره للبيع حي الصفا ٨ 
مخطط عياده 
المساحه ٦٠٠ متر
وجهه جنوبيه حجر 
٩ شقق من ٣ غرف وصاله ومطبخ وحمامين 
شقه ٤ غرف وصاله ومطبخ ٣ حمامات سطوح 
فيلا روف دورين 
مواقف 
مصعد 
المطلوب ٥ مليون و٥٠٠",21.598251,39.210927,https://images.aqar.fm/webp/750x0/props/017030287_1762718364423.jpg,1,عبدالمحسن مسعود احمد العدواني,مؤسسة عبدالمحسن مسعود احمد العدواني للخدمات العقارية,1,2025-11-09,2025-11-09,2026-09-13,3491,2026-09-15,True,"5,500,000",False,عمارة
6755418,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-ملا-نيازي-فرعي-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6755418,"عمارة للبيع في شارع ملا نيازي فرعي, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",4500000,620,,,,11,حي الصفا,جدة,شمال جدة,"عمارة تجارية سكنية في جدة شارع ٥٢ م
حي الصفا موقع مميز وقريبة من الخدمات 
المساحة : ٦٢٠ م 
مكونه من دورين والمسموح ٧ ادوار 
٨ شقق 
٤ معارض 

الايجار السنوي الحالي : ١٦٠ الف ريال  
مطلوب قيمه ارض ٤ مليون و٥٠٠ الف",21.591528,39.197188,https://images.aqar.fm/webp/750x0/props/011434583_1782917424484.jpg,1,محمد فهد,مؤسسة ريادة النجاح التجارية,1,2026-07-01,2026-08-28,2026-09-13,804,2026-09-15,True,"4,500,000",False,عمارة
6824440,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-الشاكرين-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6824440,"عمارة للبيع في شارع الشاكرين, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",5650000,750,,,,11,حي الصفا,جدة,شمال جدة,"للبيع عمارة تجارية - حي الصفا شارع الشاكرين

عمر العمارة 30 سنة 
مكونة من 3 ادوار و ملحق 
عدد الشقق : 9 شقق 
عدد المحلات: 5 محلات
المساحة : 750 متر مربع 
الأضلاع : 25م * 30م 
عدادات الكهرباء: 15 عداد 

الدخل الحالي : 275,000 ريال الإيجارات قديمة من 15 سنة لم يتم تغيرها .
الدخل الأفتراضي : 400 ألف ريال",21.575936,39.221555,https://images.aqar.fm/webp/750x0/props/016350752_1786825416935.jpg,1,عمرو علي بن محمد,مؤسسة كفو العقارية,1,2026-08-15,2026-09-14,2026-09-14,261,2026-09-15,True,"5,650,000",False,عمارة
