listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6729641,https://sa.aqar.fm/محلات-للبيع/جدة/شمال-جدة/حي-الفيحاء/شارع-ابو-ذر-الغفاري-حي-الفيحاء-مدينة-جدة-منطقة-مكة-المكرمة-6729641,"محل للبيع في شارع ابو ذر الغفاري, حي الفيحاء, مدينة جدة, منطقة مكة المكرمة",980000,1666,,,,0,حي الفيحاء,جدة,شمال جدة,"من قلب جدة حي الفيحاء مخطط درب الحرمين 

محلات تجارية استثماريه لاصحاب الكاش تحت الإنشاء الدفع كاش البيع على الخارطه 

المشروع على شارع تجاري 

للحجز والاستفسار التواصل معنا",21.500955,39.239114,https://images.aqar.fm/webp/750x0/props/035142584_1781221268989.jpg | https://images.aqar.fm/webp/750x0/props/035142580_1781221269017.jpg | https://images.aqar.fm/webp/750x0/props/035142584_1781221269101.jpg | https://images.aqar.fm/webp/750x0/props/035142584_1781221268989.jpg | https://images.aqar.fm/webp/750x0/props/035142580_1781221269017.jpg | https://images.aqar.fm/webp/750x0/props/035142584_1781221269101.jpg,6,ابراهيم رافع ابراهيم الغامدي,مؤسسة ابراهيم رافع ابراهيم الغامدي للتطوير العقاري,1,2026-06-11,2026-08-09,2026-09-13,102,2026-09-15,True,"980,000",False,محل
6749270,https://sa.aqar.fm/محلات-للبيع/جدة/شمال-جدة/حي-الفيحاء/شارع-ابو-ذر-الغفاري-حي-الفيحاء-مدينة-جدة-منطقة-مكة-المكرمة-6749270,"محل للبيع في شارع ابو ذر الغفاري, حي الفيحاء, مدينة جدة, منطقة مكة المكرمة",980000,1666,,,,0,حي الفيحاء,جدة,شمال جدة,"محلات تجارية استثماريه لاصحاب الكاش البيع على الخارطه المشروع على نظام وافي 
مطل على شارع تجاري 

للاستفار اكثر التواصل معنا",21.500817,39.239179,https://images.aqar.fm/webp/750x0/props/035142586_1782514045371.jpg | https://images.aqar.fm/webp/750x0/props/035142589_1782514045445.jpg | https://images.aqar.fm/webp/750x0/props/035142580_1782514045453.jpg | https://images.aqar.fm/webp/750x0/props/035142586_1782514045371.jpg | https://images.aqar.fm/webp/750x0/props/035142589_1782514045445.jpg | https://images.aqar.fm/webp/750x0/props/035142580_1782514045453.jpg,6,ابراهيم رافع ابراهيم الغامدي,مؤسسة ابراهيم رافع ابراهيم الغامدي للتطوير العقاري,1,2026-06-26,2026-07-26,2026-09-12,126,2026-09-15,True,"980,000",False,محل
6869844,https://sa.aqar.fm/محلات-للبيع/جدة/شمال-جدة/حي-الفيحاء/شارع-ابو-ذر-الغفاري-حي-الفيحاء-مدينة-جدة-منطقة-مكة-المكرمة-6869844,"محل للبيع في شارع ابو ذر الغفاري, حي الفيحاء, مدينة جدة, منطقة مكة المكرمة",1200000,750,,,,0,حي الفيحاء,جدة,شمال جدة,"_____________________________________
فرصة فريدة لتمليك محلات تجارية تحت الإنشاء في حي الفيحاء على شارع أبي ذر الغفاري.
​المزايا: 
موقع استراتيجي على شارع رئيسي نابض بالحياة 🛣️، ضمانات نظامية تامة عبر ترخيص وافي 🔒، 
مستقبل تجاري واعد 🚀.
​استثمر في العقار التجاري الأكثر طلباً! 💎
_____________________________________
حي الفيحاء على شارع ابي ذر الغفاري
السعر 1,200,000 
مساحة المحل 100 م 
مساحة المعرض 70 م _ مساحة الميزان 30 م 

المتاح ثلاثة محلات 5,4,3
_____________________________________",21.505681,39.239184,https://images.aqar.fm/webp/750x0/props/040274856_1789168246624.jpg | https://images.aqar.fm/webp/750x0/props/040274859_1789168240437.jpg | https://images.aqar.fm/webp/750x0/props/040274855_1789168240324.jpg | https://images.aqar.fm/webp/750x0/props/040274850_1789168240324.jpg | https://images.aqar.fm/webp/750x0/props/040274855_1789168246520.jpg | https://images.aqar.fm/webp/750x0/props/040274859_1789168240437.jpg | https://images.aqar.fm/webp/750x0/props/040274855_1789168240324.jpg | https://images.aqar.fm/webp/750x0/props/040274850_1789168240324.jpg | https://images.aqar.fm/webp/750x0/props/040274855_1789168246520.jpg | https://images.aqar.fm/webp/750x0/props/040274856_1789168246624.jpg,10,سعد ثعيل,شركة سعد ثعيل الاكلبي للاستثمار والتطوير,1,2026-09-11,2026-09-11,2026-09-13,8,2026-09-15,True,"1,200,000",False,محل
6749257,https://sa.aqar.fm/محلات-للبيع/جدة/شمال-جدة/حي-الفيحاء/شارع-ابو-ذر-الغفاري-حي-الفيحاء-مدينة-جدة-منطقة-مكة-المكرمة-6749257,"محل للبيع في شارع ابو ذر الغفاري, حي الفيحاء, مدينة جدة, منطقة مكة المكرمة",980000,1666,,,,0,حي الفيحاء,جدة,شمال جدة,"محلات تجارية استثماريه لاصحاب الكاش تحت الإنشاء البيع على الخارطه المشروع على نظام وافي 

للاستفار اكثر التواصل معنا",21.50018,39.239218,https://images.aqar.fm/webp/750x0/props/035142584_1782513000660.jpg | https://images.aqar.fm/webp/750x0/props/035142587_1782513000570.jpg | https://images.aqar.fm/webp/750x0/props/035142589_1782513000612.jpg | https://images.aqar.fm/webp/750x0/props/035142584_1782513000660.jpg | https://images.aqar.fm/webp/750x0/props/035142587_1782513000570.jpg | https://images.aqar.fm/webp/750x0/props/035142589_1782513000612.jpg,6,ابراهيم رافع ابراهيم الغامدي,مؤسسة ابراهيم رافع ابراهيم الغامدي للتطوير العقاري,1,2026-06-26,2026-07-26,2026-09-13,61,2026-09-15,True,"980,000",False,محل
6749261,https://sa.aqar.fm/محلات-للبيع/جدة/شمال-جدة/حي-الفيحاء/شارع-ابو-ذر-الغفاري-حي-الفيحاء-مدينة-جدة-منطقة-مكة-المكرمة-6749261,"محل للبيع في شارع ابو ذر الغفاري, حي الفيحاء, مدينة جدة, منطقة مكة المكرمة",750000,1666,,,,0,حي الفيحاء,جدة,شمال جدة,"محلات تجارية استثماريه تحت الإنشاء الدفع كاش البيع على الخارطه المشروع على نظام وافي 

تبدأ الأسعار من 750 الف 

للحجز والاستفسار التواصل معنا",21.500919,39.238838,https://images.aqar.fm/webp/750x0/props/035142581_1782513381741.jpg | https://images.aqar.fm/webp/750x0/props/035142581_1782513381646.jpg | https://images.aqar.fm/webp/750x0/props/035142585_1782513381689.jpg | https://images.aqar.fm/webp/750x0/props/035142581_1782513381741.jpg | https://images.aqar.fm/webp/750x0/props/035142581_1782513381646.jpg | https://images.aqar.fm/webp/750x0/props/035142585_1782513381689.jpg,6,ابراهيم رافع ابراهيم الغامدي,مؤسسة ابراهيم رافع ابراهيم الغامدي للتطوير العقاري,1,2026-06-26,2026-07-26,2026-09-12,100,2026-09-15,True,"750,000",False,محل
6744071,https://sa.aqar.fm/محلات-للبيع/جدة/شمال-جدة/حي-الفيحاء/شارع-طريق-الملك-عبدالله-حي-الفيحاء-مدينة-جدة-منطقة-مكة-المكرمة-6744071,"محل للبيع في شارع طريق الملك عبدالله, حي الفيحاء, مدينة جدة, منطقة مكة المكرمة",720000,1666,,,,0,حي الفيحاء,جدة,شمال جدة,"حي الفيحاء مخطط درب الحرمين
_____________________________________

الاستثمار الذكي يبدأ من المكان الصحيح! 🏢
محلات تجارية للبيع في حي الفيحاء مخطط درب  الحرمين. بنية تحتية متطورة، كثافة بشرية عالية، وعوائد استثمارية مضمونة.
⏱️ الفرص لا تنتظر، الأماكن محدودة!
​📍 الموقع: قلب جدة الحيوي، بالقرب من أهم المحاور الرئيسية والمراكز التجارية.
​👥 الكثافة البشرية: تواجد مستمر وتدفق عالي جداً من الزوار والساكنين على مدار الساعة.
​📐 المساحات: مساحات متنوعة ومطورة بأعلى المعايير الهندسية لتناسب كافة الأنشطة (مطاعم، كافيهات، بوتيكات، معارض).

_____________________________________
 محلات تجارية السعر 720,000 المساحة 73م 
مساحة المعرض 46م    + مساحة الميزانين 27 م 

_____________________________________
📥 أرسل رقمك في خاص أو اتصل بنا: [((الرقم يظهر عند الضغط على اتصال))]",21.509276,39.230278,https://images.aqar.fm/webp/750x0/props/040274859_1782170535405.jpg | https://images.aqar.fm/webp/750x0/props/040274850_1782167863537.jpg | https://images.aqar.fm/webp/750x0/props/040274859_1782170535317.jpg | https://images.aqar.fm/webp/750x0/props/040274850_1782170535316.jpg | https://images.aqar.fm/webp/750x0/props/040274858_1782170535325.jpg | https://images.aqar.fm/webp/750x0/props/040274854_1782170535408.jpg,6,سعد ثعيل,شركة سعد ثعيل الاكلبي للاستثمار والتطوير,1,2026-06-22,2026-08-20,2026-09-14,245,2026-09-15,True,"720,000",False,محل
6735838,https://sa.aqar.fm/محلات-للبيع/جدة/شمال-جدة/حي-الفيحاء/شارع-ابو-ذر-الغفاري-حي-الفيحاء-مدينة-جدة-منطقة-مكة-المكرمة-6735838,"محل للبيع في شارع ابو ذر الغفاري, حي الفيحاء, مدينة جدة, منطقة مكة المكرمة",980000,92,,,,0,حي الفيحاء,جدة,شمال جدة,"السلام عليكم ورحمه الله وبركاته اسعد الله اوقاتكم بكل خير للباحثين عن السكن والاستثمار نقدم لكم مشروعنا الجديد والمميز في قلب حي الفيحاء مخطط درب الحرمين

معرض تجاري
مساحة 92
السعر 980.000


للاستفسار يمكنكم التواصل معنا
                     ‎((الرقم يظهر عند الضغط على اتصال))",21.500847,39.239112,https://images.aqar.fm/webp/750x0/props/013049446_1781645213311.jpg | https://images.aqar.fm/webp/750x0/props/013049446_1781645213310.jpg | https://images.aqar.fm/webp/750x0/props/013049448_1781645213352.jpg | https://images.aqar.fm/webp/750x0/props/013049449_1781645213360.jpg | https://images.aqar.fm/webp/750x0/props/013049441_1781645213371.jpg | https://images.aqar.fm/webp/750x0/props/013049446_1781645213311.jpg | https://images.aqar.fm/webp/750x0/props/013049446_1781645213310.jpg | https://images.aqar.fm/webp/750x0/props/013049448_1781645213352.jpg | https://images.aqar.fm/webp/750x0/props/013049449_1781645213360.jpg | https://images.aqar.fm/webp/750x0/props/013049441_1781645213371.jpg,10,ابراهيم رافع ابراهيم الغامدي,مؤسسة ابراهيم رافع ابراهيم الغامدي للتطوير العقاري,1,2026-06-16,2026-08-14,2026-09-09,76,2026-09-15,True,"980,000",False,محل
6726540,https://sa.aqar.fm/محلات-للبيع/جدة/شمال-جدة/حي-الفيحاء/شارع-النخيلات-حي-الفيحاء-مدينة-جدة-منطقة-مكة-المكرمة-6726540,"محل للبيع في شارع النخيلات, حي الفيحاء, مدينة جدة, منطقة مكة المكرمة",720000,780,,,,0,حي الفيحاء,جدة,شمال جدة,"_____________________________________
 محل السعر 720,000 المساحة  73 م 
مساحة المعرض 46 م  _ مساحة الميزانين 27 م 
_____________________________________


للبيع محلات تجارية في مخطط درب الحرمين (حي الفيحاء) - مشروع حيوي مصمم لخدمة منطقة عالية الكثافة السكانية وسهلة الوصول.
​أبرز المميزات:
📍 موقع استراتيجي يضمن حركة مرورية مستمرة طوال اليوم.
💰 أسعار افتتاحيّة منافسة جداً مقارنة بالموقع والقيمة السوقية للمخطط.
📑 خيارات استثمارية ممتازة للأفراد والشركات الراغبة في التوسع.",21.506508,39.230267,https://images.aqar.fm/webp/750x0/props/040274853_1781387314386.jpg | https://images.aqar.fm/webp/750x0/props/040274857_1781387314319.jpg | https://images.aqar.fm/webp/750x0/props/040274857_1781387314319.jpg | https://images.aqar.fm/webp/750x0/props/040274857_1781387314367.jpg | https://images.aqar.fm/webp/750x0/props/040274859_1781387314359.jpg,5,سعد ثعيل,شركة سعد ثعيل الاكلبي للاستثمار والتطوير,1,2026-06-09,2026-09-05,2026-09-09,186,2026-09-15,True,"720,000",False,محل
6726548,https://sa.aqar.fm/محلات-للبيع/جدة/شمال-جدة/حي-الفيحاء/شارع-النخيلات-حي-الفيحاء-مدينة-جدة-منطقة-مكة-المكرمة-6726548,"محل للبيع في شارع النخيلات, حي الفيحاء, مدينة جدة, منطقة مكة المكرمة",820000,780,,,,0,حي الفيحاء,جدة,شمال جدة,"_____________________________________
محل المساحة 72م السعر 820,000
_____________________________________


فرصة استثمارية لا تتكرر في قلب ""درب الحرمين""! 🚀

 محلات تجارية للبيع في حي الفيحاء - مخطط درب الحرمين.
​الموقع: واجهة حيوية في منطقة واعدة وعالية الكثافة السكانية.
​الميزة: تصميم عصري ومساحات مرنة تناسب أرقى العلامات التجارية.",21.506362,39.229412,https://images.aqar.fm/webp/750x0/props/040274855_1781424116379.jpg | https://images.aqar.fm/webp/750x0/props/040274856_1781424116367.jpg,2,سعد ثعيل,شركة سعد ثعيل الاكلبي للاستثمار والتطوير,1,2026-06-09,2026-09-05,2026-09-09,188,2026-09-15,True,"820,000",False,محل
6709941,https://sa.aqar.fm/محلات-للبيع/جدة/شمال-جدة/حي-الفيحاء/شارع-ابو-ذر-الغفاري-حي-الفيحاء-مدينة-جدة-منطقة-مكة-المكرمة-6709941,"محل للبيع في شارع ابو ذر الغفاري, حي الفيحاء, مدينة جدة, منطقة مكة المكرمة",1200000,1666,,,,0,حي الفيحاء,جدة,شمال جدة,"محلات تجارية استثماريه تحت الإنشاء الدفع كاش البيع على الخارطه 
حي الفيحاء مخطط درب الحرمين 
للحجز والاستفسار التواصل معنا",21.507119,39.239172,https://images.aqar.fm/webp/750x0/props/035142587_1779644917779.jpg | https://images.aqar.fm/webp/750x0/props/035142580_1779644917856.jpg | https://images.aqar.fm/webp/750x0/props/035142587_1779644917779.jpg | https://images.aqar.fm/webp/750x0/props/035142580_1779644917856.jpg,4,ابراهيم رافع ابراهيم الغامدي,مؤسسة ابراهيم رافع ابراهيم الغامدي للتطوير العقاري,1,2026-05-24,2026-08-20,2026-09-14,81,2026-09-15,True,"1,200,000",False,محل
