listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6786752,https://sa.aqar.fm/مكاتب-للبيع/جدة/شمال-جدة/حي-الشاطئ/شارع-الكورنيش-حي-الشاطئ-مدينة-جدة-منطقة-مكة-المكرمة-6786752,"مكتب للبيع في شارع الكورنيش, حي الشاطئ, مدينة جدة, منطقة مكة المكرمة",4500000,170,,,,11,حي الشاطئ,جدة,شمال جدة,"مكتب إداري للبيع بإطلالة مميزة على جدة وكورنيش البحر الأحمر داخل أحد أبرز الأبراج التجارية الراقية برج الهيدكوارترز، 
يمنحك عنوانًا راقيًا وحضورًا قويًا لأعمالك.

📐 المساحة: 171 م²
🏗️ الحالة: عظم (قابل للتشطيب حسب احتياج المالك)

💰 السعر المطلوب: 4,500,000 ريال

🚗 يتوفر عدد 3 مواقف سيارات

💼 خيار مثالي للشركات والمستثمرين الباحثين عن موقع استراتيجي في بيئة أعمال متكاملة وخدمات راقية.

✨ مساحة قابلة للتخصيص بالكامل بما يناسب هوية شركتك واحتياجاتك التشغيلية، مع إطلالة استثنائية وموقع مميز في قلب جدة",21.602735,39.109151,https://images.aqar.fm/webp/750x0/props/000905998_1784793886859.jpg | https://images.aqar.fm/webp/750x0/props/000905995_1784793886876.jpg | https://images.aqar.fm/webp/750x0/props/000905996_1785152707261.jpg,3,مريم علي,شركة ديار الاصالة,1,2026-07-23,2026-08-21,2026-08-21,289,2026-09-15,True,"4,500,000",False,مكتب
6839378,https://sa.aqar.fm/مكاتب-للبيع/جدة/شمال-جدة/حي-الشاطئ/شارع-طه-خصيفان-حي-الشاطئ-مدينة-جدة-منطقة-مكة-المكرمة-6839378,"مكتب للبيع في شارع طه خصيفان, حي الشاطئ, مدينة جدة, منطقة مكة المكرمة",8500000,304,,,,10,حي الشاطئ,جدة,شمال جدة,"للبيع مكتب إداري فاخر ومؤثث – برج الهيدكوارتر بزنس بارك جدة

إطلالة مباشرة على الكورنيش
 المساحة: 304 م²
 عائد إيجاري: أكثر من 8% سنويًا

• 6 مكاتب + غرفة اجتماعات
• غرفة سيرفر + مطبخ + 3 حمامات
• يتسع لـ 20–30 موظف
• مؤثث ومشطب بالكامل – جاهز للتشغيل
• تكييف مركزي + واجهة زجاجية كاملة
• برج مكاتب فئة A + أمن 24 ساعة + مواقف

سعر المتر:  27960 الف ريال قابل للتفاوض
📞 للتواصل والاستفسار : ((الرقم يظهر عند الضغط على اتصال))",21.602573,39.108321,https://images.aqar.fm/webp/750x0/props/015194445_1787588472766.jpg | https://images.aqar.fm/webp/750x0/props/015194444_1787588472764.jpg,2,ابتسام مظفر,,,2026-08-24,2026-08-24,2026-09-05,79,2026-09-15,True,"8,500,000",False,مكتب
6487314,https://sa.aqar.fm/مكاتب-للبيع/جدة/شمال-جدة/حي-الفيحاء/شارع-الشرم-حي-الفيحاء-مدينة-جدة-منطقة-مكة-المكرمة-6487314,"مكتب للبيع في شارع الشرم, حي الفيحاء, مدينة جدة, منطقة مكة المكرمة",2800000,239,,,,6,حي الفيحاء,جدة,شمال جدة,"[[مكتب فاخر]] بمبنى إعماره مساحة مفتوحه للتوزيع حسب الاحتياج
حاليا مؤجره بإمكان المشتري الرغبه باستمرار المستاجر او الرغبة بالمكتب بعدم التجديد للمستأجر",21.510285,39.201833,https://images.aqar.fm/webp/750x0/props/016844298_1764525966664.jpg | https://images.aqar.fm/webp/750x0/props/016844290_1764525966654.jpg,2,يحيى درويش حسن الزبيدي,مؤسسة كاليد العقارية,1,2025-11-30,2026-02-13,2026-09-14,1158,2026-09-15,True,"2,800,000",False,مكتب
6860690,https://sa.aqar.fm/مكاتب-للبيع/جدة/شمال-جدة/حي-الفيصلية/شارع-الامير-محمد-بن-عبدالعزيز-حي-الفيصلية-مدينة-جدة-منطقة-مكة-المكرمة-6860690,"مكتب للبيع في شارع الامير محمد بن عبدالعزيز, حي الفيصلية, مدينة جدة, منطقة مكة المكرمة",2800000,132,,,,10,حي الفيصلية,جدة,شمال جدة,"مكتب إداري للبيع في برج الباشا

الموقع: برج الباشا – الدور الثاني
المساحة: 300 متر مربع

فرصة مميزة لامتلاك مكتب إداري بموقع عملي مناسب للشركات والمؤسسات، بمساحة واسعة تساعد على توزيع المكاتب والإدارة والاستقبال بشكل منظم.

للاستفسار:
920008767 | ((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال)) | ((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))

رقم الترخيص الإعلاني: 7201118853",21.557151,39.177168,https://images.aqar.fm/webp/750x0/props/000931585_1788713928779.jpg | https://images.aqar.fm/webp/750x0/props/000931586_1788714168541.jpg | https://images.aqar.fm/webp/750x0/props/000931583_1788714181238.jpg | https://images.aqar.fm/webp/750x0/props/000931589_1788714185781.jpg | https://images.aqar.fm/webp/750x0/props/000931587_1788714194480.jpg | https://images.aqar.fm/webp/750x0/props/000931589_1788714199057.jpg | https://images.aqar.fm/webp/750x0/props/000931589_1788714207434.jpg | https://images.aqar.fm/webp/750x0/props/000931589_1788714213956.jpg | https://images.aqar.fm/webp/750x0/props/000931584_1788714222395.jpg,9,ماجد ابن عيد ابن رابح القرشي,شركة تمايز للتطوير والاستثمار العقاري ,1,2026-09-06,2026-09-06,2026-09-12,37,2026-09-15,True,"2,800,000",False,مكتب
6818455,https://sa.aqar.fm/مكاتب-للبيع/جدة/شمال-جدة/حي-الشاطئ/شارع-طه-خصيفان-حي-الشاطئ-مدينة-جدة-منطقة-مكة-المكرمة-6818455,"مكتب للبيع في شارع طه خصيفان, حي الشاطئ, مدينة جدة, منطقة مكة المكرمة",5000000,169,,,,9,حي الشاطئ,جدة,شمال جدة,"مكتب بمساحة 170 م² في الدور 12، يتميز بإطلالة ركنية جنوبية شرقية مباشرة على البحر، تمنح بيئة عمل استثنائية تجمع بين الإلهام والهيبة.

تم تصميم المكتب بعناية ليلبي احتياجات الشركات الطموحة، حيث يتكون من:

7 مكاتب مستقلة بتوزيع عملي واحترافي

صالة عمل مشتركة تعزز روح الفريق

لاونج فاخر بإطلالة بحرية مثالي للاجتماعات غير الرسمية أو استراحة التنفيذيين

قاعة اجتماعات مجهزة

إحدى الغرف تحتوي على مكتبين لمرونة تشغيل أعلى

استقبال رخامي أنيق يعكس هوية احترافية من اللحظة الأولى


المكتب مؤسس بالكامل وجاهز للتشغيل الفوري، ويضم:

مطبخ مجهز

دورتي مياه

قدرة استيعابية تصل إلى 15 موظف تقريبًا


📍 الموقع داخل أحد أرقى الأبراج الإدارية في جدة يمنحك عنوان أعمال يليق بعلامتك التجارية ويعزز حضورك أمام عملائك.

مقر جاهز… إطلالة تبيع عنك… وهيبة تسبقك.

للتفاصيل أو حجز موعد للمعاينة، تواصل معنا الآن.",21.602462,39.10895,https://images.aqar.fm/webp/750x0/props/000905992_1786541374821.jpg | https://images.aqar.fm/webp/750x0/props/000905993_1786541374817.jpg | https://images.aqar.fm/webp/750x0/props/000905993_1786541374747.jpg | https://images.aqar.fm/webp/750x0/props/000905992_1786541374747.jpg | https://images.aqar.fm/webp/750x0/props/000905993_1786541374747.jpg,5,مريم علي,شركة ديار الاصالة,1,2026-08-12,2026-09-10,2026-09-10,250,2026-09-15,True,"5,000,000",False,مكتب
6658645,https://sa.aqar.fm/مكاتب-للبيع/جدة/شمال-جدة/حي-البغدادية-الغربية/شارع-احمد-الشاهد-حي-البغدادية-الغربية-مدينة-جدة-منطقة-مكة-المكرمة-6658645,"مكتب للبيع في شارع احمد الشاهد, حي البغدادية الغربية, مدينة جدة, منطقة مكة المكرمة",3600000,410,,,,11,حي البغدادية الغربية,جدة,شمال جدة,"مكتب اداري مجهز بجميع الاحتياجات مطله على شارع الملك عبدالله في واحد من اهم الابراج في المنطقه 
وحدتين مكتبيه بأجمالي مساحة ٤١٠ متر مربع 
في واحد من اكثر المناطق حيويه وقربها من جميع الخدمات والرادارات الحكوميه والتجاريه 
عدد ٢ مكاتب مغلقه مجهزه بجميع الاحتياجات 
عدد ٩ وحدات عمل مشتركه ٦ مكاتب في الوحدة مجهزه بجميع الاحتياجات 
عدد ٣ غرف اجتماعات مجهزه بجميع الاحتياجات 
عدد ٢ مناطق خدمه وراحه للموظفين 
قسم نسائي منفصل ومجهز",21.509029,39.173214,https://images.aqar.fm/webp/750x0/props/025193293_1776429121539.jpg | https://images.aqar.fm/webp/750x0/props/025193297_1776429224205.jpg | https://images.aqar.fm/webp/750x0/props/025193293_1776429224168.jpg | https://images.aqar.fm/webp/750x0/props/025193297_1776429224190.jpg | https://images.aqar.fm/webp/750x0/props/025193298_1776429224186.jpg | https://images.aqar.fm/webp/750x0/props/025193292_1776429224206.jpg | https://images.aqar.fm/webp/750x0/props/025193292_1776429224185.jpg | https://images.aqar.fm/webp/750x0/props/025193290_1776429224195.jpg | https://images.aqar.fm/webp/750x0/props/025193292_1776429224177.jpg | https://images.aqar.fm/webp/750x0/props/025193299_1776429278761.jpg | https://images.aqar.fm/webp/750x0/props/025193298_1776429278765.jpg | https://images.aqar.fm/webp/750x0/props/025193295_1776429278732.jpg | https://images.aqar.fm/webp/750x0/props/025193295_1776429278768.jpg | https://images.aqar.fm/webp/750x0/props/025193292_1776429278732.jpg | https://images.aqar.fm/webp/750x0/props/025193299_1776429278756.jpg | https://images.aqar.fm/webp/750x0/props/025193291_1776429278734.jpg | https://images.aqar.fm/webp/750x0/props/025193294_1776429278756.jpg | https://images.aqar.fm/webp/750x0/props/025193294_1776429320555.jpg | https://images.aqar.fm/webp/750x0/props/025193296_1776429320558.jpg | https://images.aqar.fm/webp/750x0/props/025193292_1776429320559.jpg | https://images.aqar.fm/webp/750x0/props/025193290_1776429320538.jpg | https://images.aqar.fm/webp/750x0/props/025193296_1776429320571.jpg | https://images.aqar.fm/webp/750x0/props/025193295_1776429320555.jpg | https://images.aqar.fm/webp/750x0/props/025193294_1776429320564.jpg | https://images.aqar.fm/webp/750x0/props/025193295_1776429320565.jpg | https://images.aqar.fm/webp/750x0/props/025193298_1776429354171.jpg | https://images.aqar.fm/webp/750x0/props/025193298_1776429354173.jpg | https://images.aqar.fm/webp/750x0/props/025193290_1776429354160.jpg | https://images.aqar.fm/webp/750x0/props/025193298_1776429354187.jpg | https://images.aqar.fm/webp/750x0/props/025193296_1776429354175.jpg,30,اياد عادل بن عبدالحميد داغستاني,,,2026-04-17,2026-06-14,2026-09-12,817,2026-09-15,True,"3,600,000",False,مكتب
6760749,https://sa.aqar.fm/مكاتب-للبيع/جدة/شمال-جدة/حي-الرويس/شارع-طريق-الملك-عبدالله-الفرعي-حي-الرويس-مدينة-جدة-منطقة-مكة-المكرمة-6760749,"مكتب للبيع في شارع طريق الملك عبدالله الفرعي, حي الرويس, مدينة جدة, منطقة مكة المكرمة",3000000,333,,,,11,حي الرويس,جدة,شمال جدة,"الرخصة العقارية : 1200023878
الترخيص الاعلاني : 7201028081

‏للبيع فرصة استثمارية في موقع مميز

‏للبيع دور كامل مكاتب إدارية بإطلالة بانورامية 
في مبنى تجاري إداري 
برج الفارسي سنتر - حي الرويس - مطل على طريق الملك عبدالله و دوار السارية 

اجمالي المساحة: 757 متر 
عبارة عن دور كامل مساحات مفتوحة و يوجد غرف و مكاتب متأسسة و دورات مياه و مطابخ 

يوجد 15 موقف خاص 

المطلوب 3 مليون ⃁  
شامل الضريبة و السعي 

للأستفسار و للتواصل : 
م . مازن موسى  
((الرقم يظهر عند الضغط على اتصال))",21.510183,39.17397,https://images.aqar.fm/webp/750x0/props/034075347_1783262710000.jpg | https://images.aqar.fm/webp/750x0/props/034075345_1783262940246.jpg | https://images.aqar.fm/webp/750x0/props/034075341_1783262940253.jpg | https://images.aqar.fm/webp/750x0/props/034075344_1783262940256.jpg | https://images.aqar.fm/webp/750x0/props/034075343_1783262940285.jpg | https://images.aqar.fm/webp/750x0/props/034075349_1783262940302.jpg | https://images.aqar.fm/webp/750x0/props/034075346_1783262940284.jpg | https://images.aqar.fm/webp/750x0/props/034075346_1783262940314.jpg | https://images.aqar.fm/webp/750x0/props/034075346_1783262940325.jpg | https://images.aqar.fm/webp/750x0/props/034075342_1783263005533.jpg | https://images.aqar.fm/webp/750x0/props/034075348_1783263005610.jpg | https://images.aqar.fm/webp/750x0/props/034075344_1783263005616.jpg | https://images.aqar.fm/webp/750x0/props/034075341_1783263005563.jpg | https://images.aqar.fm/webp/750x0/props/034075348_1783263005569.jpg | https://images.aqar.fm/webp/750x0/props/034075348_1783263005618.jpg | https://images.aqar.fm/webp/750x0/props/034075342_1783263005634.jpg | https://images.aqar.fm/webp/750x0/props/034075348_1783263005648.jpg | https://images.aqar.fm/webp/750x0/props/034075346_1783263074880.jpg | https://images.aqar.fm/webp/750x0/props/034075348_1783263074918.jpg | https://images.aqar.fm/webp/750x0/props/034075346_1783263074900.jpg | https://images.aqar.fm/webp/750x0/props/034075344_1783263074831.jpg | https://images.aqar.fm/webp/750x0/props/034075348_1783263074819.jpg,22,مازن موسى,مؤسسة ابراج الجوري العقارية,1,2026-07-05,2026-07-05,2026-08-03,164,2026-09-15,True,"3,000,000",False,مكتب
6800231,https://sa.aqar.fm/مكاتب-للبيع/جدة/شمال-جدة/حي-مطار-الملك-عبدالعزيز-الدولي/شارع-المحمديه-حي-المحمدية-مدينة-جدة-منطقة-مكة-المكرمة-6800231,"مكتب للبيع في شارع المحمديه, حي المحمدية, مدينة جدة, منطقة مكة المكرمة",1200000,1476,,,,0,حي مطار الملك عبدالعزيز الدولي,جدة,شمال جدة,"للبيع مكاتب إدارية في حي المحمدية
📍 على طريق المدينة المنورة – أحد أهم الطرق الحيوية في جدة

✨ التفاصيل:
▪️ المساحات تبدأ من 88 م² إلى 120 م²
▪️ موقع حيوي يخدم جميع الأنشطة التجارية والإدارية
▪️ مناسب للشركات والمكاتب الاستثمارية

💼 استثمر في موقع يرفع قيمة عملك
📈 أو ابدأ مشروعك في بيئة أعمال متكاملة",21.648606,39.14022,,,رامي مسفر مجبر الجحدلي,شركة القرية الجديدة للمقاولات والتطوير العقاري شركة ذات المسؤولية المحدودة من شخص واحد,1,2026-08-01,2026-08-30,2026-08-30,230,2026-09-15,True,"1,200,000",False,مكتب
6459400,https://sa.aqar.fm/مكاتب-للبيع/جدة/شمال-جدة/حي-الواحة/شارع-الواحة-حي-الواحة-مدينة-جدة-منطقة-مكة-المكرمة-6459400,"مكتب للبيع في شارع الواحة, حي الواحة, مدينة جدة, منطقة مكة المكرمة",980000,106,,,,0,حي الواحة,جدة,شمال جدة,"اسعد الله مسائكم بالخير 
نطرح بين ايديكم محل تجاري في مخطط سندس شارع 32
بمساحات وأسعار مختلفه عائد سنوي 15٪100
مساحة المحل ٦١ متر 
مساحة الميزان ٤٥ متر 
المساحة الإجمالية ١٠٦ متر 
______________
للاتصال والحجز ((رقم المعلن يظهر عند التواصل))",21.55996,39.238553,https://images.aqar.fm/webp/750x0/props/021297872_1762659542124.jpg | https://images.aqar.fm/webp/750x0/props/021297871_1762659542134.jpg,2,مدى سعيد بن سالمين باعسيل,,0,2025-11-09,2025-11-09,2026-09-07,871,2026-09-15,True,"980,000",False,مكتب
6704165,https://sa.aqar.fm/مكاتب-للبيع/جدة/شمال-جدة/حي-الشاطئ/شارع-طه-خصيفان-حي-الشاطئ-مدينة-جدة-منطقة-مكة-المكرمة-6704165,"مكتب للبيع في شارع طه خصيفان, حي الشاطئ, مدينة جدة, منطقة مكة المكرمة",8600000,344,,,,5,حي الشاطئ,جدة,شمال جدة,"للبيع مكتب مشطب جاهز في برج هيدكوارتر الواقع في الواجهة البحرية بجده وتفاصيلها كالتالي :
مساحة اجمالية ٣٤٤ متر 

* منظر يطل على البحر وعلى مدينة جده 
* استقبال بإضاءات جميله LED
* مقسمة الي نصين  
* القسم الاول للإدارة مطل بالكامل على البحر
* ٣ مكاتب كلها قزاز
* ١ غرفة اجتماعات
* ١ دورة مياه
* صالة جلوس للزوار
* صالة طعام

* القسم الثاني مطل على مدينة جده وجزء بسيط مطل على البحر : 
* ٦ مكاتب موظفين كلها قزاز
* ١ غرفة اجتماعات 
* دورة مياه 
* مطبخ 
* غرفة سيرفر 

المكتب مجهز بالكامل من والى من ناحية التسليك وغرفة السيرفر والكاميرات والكهرباء واجهزه فتح الابواب بالبصمه (( الاكسس دور )) تلفونات من أفخم الأنواع 
ومرفق خريطة HD للمكتب + صورة برج هيدكوارتر.

السعر ٨.٦٠٠ مليون ريال
بدون ضريبة وسعي",21.602535,39.108611,https://images.aqar.fm/webp/750x0/props/020853526_1779201939792.jpg | https://images.aqar.fm/webp/750x0/props/020853520_1779201939806.jpg | https://images.aqar.fm/webp/750x0/props/020853525_1779201939792.jpg | https://images.aqar.fm/webp/750x0/props/020853528_1779201939802.jpg | https://images.aqar.fm/webp/750x0/props/020853523_1779201939795.jpg | https://images.aqar.fm/webp/750x0/props/020853524_1779201939820.jpg | https://images.aqar.fm/webp/750x0/props/020853527_1779201939794.jpg | https://images.aqar.fm/webp/750x0/props/020853525_1779203105674.jpg,8,فيصل عبدالله بن عبدالرحمن,مكتب إتكاء العقارية,1,2026-05-19,2026-06-17,2026-09-14,704,2026-09-15,True,"8,600,000",False,مكتب
