listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6684439,https://sa.aqar.fm/دور-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/شارع-131-الجنادرية-حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6684439,"دور للبيع في شارع 131 الجنادرية, حي الجنادرية, مدينة الرياض, منطقة الرياض",700000.0,223.0,7.0,5.0,1.0,0.0,حي الجنادرية,الرياض,شرق الرياض,"للبيع دور أرضي حي الجنادريه مخطط بوابة الشرق الدور واسع جدا ويتكون من حوش يتسع سياره كبيره ومجلس ومقلط وصاله ومجلس نساء وثلاث غرف نوم كل غرفة ماستر ومطبخ وغرفة شغاله وغرفة غسيل

كما يوجد دور ثاني بموقف بايكه خاص 
وشقه بموقف بايكه خاص 
ويوجد مصعد للدور الثاني والشقه",24.908118,46.959891,,,عبيد السبيعي,,,2026-05-06,2026-08-09,2026-08-19,51.0,2026-08-20,True,"700,000",False,دور
6482277,https://sa.aqar.fm/دور-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-جبل-بيسان-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6482277,"دور للبيع في شارع جبل بيسان, حي قرطبة, مدينة الرياض, منطقة الرياض",1630000.0,237.0,4.0,4.0,2.0,0.0,حي قرطبة,الرياض,شرق الرياض,"بسم الله الرحمن الرحيم
وصف العقار : دور ارضي مودرن حي قرطبة
المساحة: 360 متر
مسطح البناء: 238 متر
الواجهة : شمالية
الشارع : 15 متر
الموقع: حى قرطبة 
السعر : 1.950.000 ريال
( مدخل سيارة، ملحق ، مجلس رجال ، صالة كبيرة ، ٤ غرف نوم ، ٤ دورات مياه )
علمان بان:
لدينا جميع الحلول التمويلية الميسرة.
تسديد المديونيات .
توفير الدفعة الاولى .
اعلى تمويل عقارى واقل هامش ربح.
امكانية تحويل من بنك لبنك.
نقبل اى جهة حكومية - مدنين-عساكر-قطاعات خاصة. 
نتعامل مع جميع البنوك وشركات التمويل.
عروض مناسبة لجميع العملاء.
تخليص جميع المعاملات فى جميع انحاء المملكة.
تتوفر لدينا جميع العروض والمساحات المختلفة.
فريق عمل متكامل لخدمتكم",24.819995,46.732157,https://images.aqar.fm/webp/750x0/props/045375700_1764169795276.jpg | https://images.aqar.fm/webp/750x0/props/045375700_1764169795789.jpg | https://images.aqar.fm/webp/750x0/props/045375702_1764169794725.jpg | https://images.aqar.fm/webp/750x0/props/045375708_1764169794960.jpg | https://images.aqar.fm/webp/750x0/props/045375704_1764169795055.jpg | https://images.aqar.fm/webp/750x0/props/045375702_1764169795151.jpg | https://images.aqar.fm/webp/750x0/props/045375702_1764169795192.jpg | https://images.aqar.fm/webp/750x0/props/045375705_1764169795345.jpg | https://images.aqar.fm/webp/750x0/props/045375708_1764169795424.jpg | https://images.aqar.fm/webp/750x0/props/045375709_1764169795484.jpg | https://images.aqar.fm/webp/750x0/props/045375706_1764169795590.jpg | https://images.aqar.fm/webp/750x0/props/045375701_1764169795647.jpg | https://images.aqar.fm/webp/750x0/props/045375707_1764169795733.jpg | https://images.aqar.fm/webp/750x0/props/045375701_1764169795810.jpg | https://images.aqar.fm/webp/750x0/props/045375705_1764169795962.jpg | https://images.aqar.fm/webp/750x0/props/045375701_1764169795942.jpg | https://images.aqar.fm/webp/750x0/props/045375709_1764169796061.jpg | https://images.aqar.fm/webp/750x0/props/045375707_1764169796166.jpg | https://images.aqar.fm/webp/750x0/props/045375703_1764169796170.jpg,19.0,عائشه بنت سليمان بن عبدالله الطريم,مؤسسة سكن المعالي للعقارات,1.0,2025-11-26,2025-11-26,2026-08-17,345.0,2026-08-20,True,"1,630,000",False,دور
6733934,https://sa.aqar.fm/دور-للبيع/الرياض/غرب-الرياض/حي-ظهرة-البديعة/شارع-ابن-طاووس-حي-ظهرة-البديعة-مدينة-الرياض-منطقة-الرياض-6733934,"دور للبيع في شارع ابن طاووس, حي ظهرة البديعة, مدينة الرياض, منطقة الرياض",880000.0,193.0,4.0,3.0,1.0,0.0,حي ظهرة البديعة,الرياض,غرب الرياض,"للبيع تاون هاوس بتصميم عصري وموقع مميز، يجمع بين الخصوصية والراحة وجودة البناء.

✨ مميزات الارضي :
• تصميم حديث وتشطيبات راقية
• مساحات واسعة تناسب العائلة
• مجلس وصالة ومطبخ
• 4 غرف نوم 
• مواقف خاصة
• موقع حيوي قريب من جميع الخدمات والشوارع الرئيسية

ــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ

✨ مميزات العلوي:
• تصميم حديث وتشطيبات راقية
• مساحات واسعة تناسب العائلة
• مجلس وصالة ومطبخ
• 3 غرف نوم 
• سطح خاص
• مواقف خاصة
• موقع حيوي قريب من جميع الخدمات والشوارع الرئيسية

السوم 900 الف",24.596501,46.642311,https://images.aqar.fm/webp/750x0/props/003198251_1781533333886.jpg | https://images.aqar.fm/webp/750x0/props/003198259_1781533333910.jpg | https://images.aqar.fm/webp/750x0/props/003198252_1781533333734.jpg | https://images.aqar.fm/webp/750x0/props/003198256_1781533333719.jpg | https://images.aqar.fm/webp/750x0/props/003198259_1781533333735.jpg | https://images.aqar.fm/webp/750x0/props/003198258_1781533333720.jpg | https://images.aqar.fm/webp/750x0/props/003198257_1781533333712.jpg | https://images.aqar.fm/webp/750x0/props/003198256_1781533333725.jpg | https://images.aqar.fm/webp/750x0/props/003198259_1781533333928.jpg | https://images.aqar.fm/webp/750x0/props/003198252_1781533333711.jpg,10.0,عبدالله عبدالرحمن,,,2026-06-15,2026-06-15,2026-08-19,544.0,2026-08-20,True,"880,000",False,دور
6815685,https://sa.aqar.fm/دور-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-عثمان-بن-عفان-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6815685,"دور للبيع في شارع عثمان بن عفان, حي النرجس, مدينة الرياض, منطقة الرياض",1090000.0,129.0,3.0,4.0,3.0,0.0,حي النرجس,الرياض,شمال الرياض,"دور ثاني سطح :


المساحه الإجمالية مع الاجزاء الخاصه ( 196.13 م ) 


موقف خاص - كهرباء ومياه مستقله - مصعد - مدخل - مجلس وصاله مطله على سطح - ثلاث غرف نوم - غرفة خادمه التكييف راكف بالكامل .

مقابل لحديقة وموقع مميز جداً بين طريق الامير فيصل بن بندر وطريق عثمان بن عفان 


ضمان العزل 10 سنوات
ضمان الكهرباء 25 سنه 
ضمان السباكه الداخليه 15 سنه 
ضمان السباكه الخارجيه 5 سنوات 
ضمان مصعد 10 سنوات 
ضمان على الهيكل الإنشائي 10 سنوات",24.893978,46.651445,https://images.aqar.fm/webp/750x0/props/019919347_1786406927157.jpg | https://images.aqar.fm/webp/750x0/props/019919341_1786406942047.jpg | https://images.aqar.fm/webp/750x0/props/019919346_1786703160485.jpg | https://images.aqar.fm/webp/750x0/props/019919340_1786703160511.jpg | https://images.aqar.fm/webp/750x0/props/019919345_1786703160463.jpg | https://images.aqar.fm/webp/750x0/props/019919343_1786703160536.jpg | https://images.aqar.fm/webp/750x0/props/019919344_1786703160469.jpg,7.0,سليمان خالد,,,2026-08-11,2026-08-11,2026-08-17,139.0,2026-08-20,True,"1,090,000",False,دور
6757131,https://sa.aqar.fm/دور-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/شارع-حاتم-بن-مفرح-حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6757131,"دور للبيع في شارع حاتم بن مفرح, حي الجنادرية, مدينة الرياض, منطقة الرياض",600000.0,177.0,3.0,0.0,0.0,0.0,حي الجنادرية,الرياض,شرق الرياض,"تسر شركه بصمه انماء واعمار العقاريه تقديم افضل العروض الى عملائها الكرام 

للبيــــــــع دور ارضى 
واجه : جنوبيه 
شارع : ٢٠


يتكون من :
...............
مجلس . مقلط . صاله . مطبخ  مستودع وغرفه عامله وثلاث غرف نرم اربع دورات مياه 
مميزات الموقع :
...................
موقع ممتاز جدا قريب من جميع الخدمات  
 قريبه من مولات ومراكز تسويقية
قريبه من مستشفيات ومراكز طبية 
قريبه من حدائق ومدارس  وجامعات

الضمانات :
..............
المبني علي الكود السعودي الجديد
ضمان الهيكل الانشائي 10 سنوات
ضمان كهرباء 25 سنة 
ضمان سباكة 15 سنة 
العزل المائي والحراري 10 سنوات 


  مميزات الشركة:
  ....................
توفير جميع العروض المطلوبه لعملائنا الكرام 
تخليص جميع المعاملات البنكية بجميع البنوك وشركات التمويل 
 يوجد لدينا تخليص معاملات من اى مكان داخل المملكه 
للتواصل ابو فهد 
اتصال & واتس
((الرقم يظهر عند الضغط على اتصال))",24.937658,46.974395,https://images.aqar.fm/webp/750x0/props/000658392_1783003844092.jpg | https://images.aqar.fm/webp/750x0/props/000658395_1783003877642.jpg | https://images.aqar.fm/webp/750x0/props/000658397_1783003877656.jpg | https://images.aqar.fm/webp/750x0/props/000658391_1783003877660.jpg | https://images.aqar.fm/webp/750x0/props/000658395_1783003877670.jpg | https://images.aqar.fm/webp/750x0/props/000658392_1783003877657.jpg | https://images.aqar.fm/webp/750x0/props/000658390_1783003877732.jpg | https://images.aqar.fm/webp/750x0/props/000658390_1783003877689.jpg | https://images.aqar.fm/webp/750x0/props/000658392_1783003877722.jpg | https://images.aqar.fm/webp/750x0/props/000658390_1783003902457.jpg | https://images.aqar.fm/webp/750x0/props/000658399_1783003902462.jpg | https://images.aqar.fm/webp/750x0/props/000658393_1783003902480.jpg | https://images.aqar.fm/webp/750x0/props/000658397_1783003902479.jpg | https://images.aqar.fm/webp/750x0/props/000658396_1783003902487.jpg,14.0,سلمان صالح علي المطيري,مكتب بصمة إنماء وإعمار العقارية,1.0,2026-07-02,2026-07-31,2026-08-18,265.0,2026-08-20,True,"600,000",False,دور
6830685,https://sa.aqar.fm/دور-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-ابي-الحسن-على-الجرجاني-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6830685,"دور للبيع في شارع ابي الحسن على الجرجاني, حي الرمال, مدينة الرياض, منطقة الرياض",900000.0,129.0,3.0,,,0.0,حي الرمال,الرياض,شرق الرياض,"رقم الاعلان ( F 101 )
أدوار للبيع في حي الرمال – موقع استراتيجي

فرصتك للسكن في موقع مميز بشرق الرياض، ضمن مشروع يتكون من خمس فيلل فقط، كل فلة عبارة عن دور ونصف مستقل.

مميزات المشروع:
- عداد ماء مستقل لكل وحدة
- مصعد خاص للدور العلوي
- موقف سيارة مخصص لكل دور

تفاصيل الوحدات:
- الدور العلوي:
مساحة: 218 م²
السعر : 900.000 ألف ريال 
الموقع يتميّز بسهولة الوصول للطرق الرئيسية والخدمات.

للحجز أو الاستفسار عن المشروع أو بقية مشاريعنا، يـرجى التـواصل هنا
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))

يسـعدنـا خـدمتكم ✨🏡",24.925549,46.813816,https://images.aqar.fm/webp/750x0/props/011594569_1787134962880.jpg | https://images.aqar.fm/webp/750x0/props/011594562_1787134962882.jpg | https://images.aqar.fm/webp/750x0/props/011594563_1787134962884.jpg | https://images.aqar.fm/webp/750x0/props/011594562_1787134962885.jpg | https://images.aqar.fm/webp/750x0/props/011594564_1787134962885.jpg | https://images.aqar.fm/webp/750x0/props/011594560_1787134962896.jpg | https://images.aqar.fm/webp/750x0/props/011594567_1787134962905.jpg | https://images.aqar.fm/webp/750x0/props/011594562_1787134962902.jpg | https://images.aqar.fm/webp/750x0/props/011594562_1787134962905.jpg | https://images.aqar.fm/webp/750x0/props/011594561_1787134962912.jpg | https://images.aqar.fm/webp/750x0/props/011594566_1787134962915.jpg | https://images.aqar.fm/webp/750x0/props/011594563_1787134962989.jpg | https://images.aqar.fm/webp/750x0/props/011594562_1787134963001.jpg | https://images.aqar.fm/webp/750x0/props/011594565_1787134962998.jpg | https://images.aqar.fm/webp/750x0/props/011594560_1787134962997.jpg | https://images.aqar.fm/webp/750x0/props/011594560_1787134963020.jpg | https://images.aqar.fm/webp/750x0/props/011594562_1787134963026.jpg | https://images.aqar.fm/webp/750x0/props/011594566_1787134963024.jpg | https://images.aqar.fm/webp/750x0/props/011594566_1787134963026.jpg | https://images.aqar.fm/webp/750x0/props/011594569_1787134963021.jpg | https://images.aqar.fm/webp/750x0/props/011594565_1787134963027.jpg | https://images.aqar.fm/webp/750x0/props/011594563_1787134963024.jpg | https://images.aqar.fm/webp/750x0/props/011594569_1787135143211.jpg | https://images.aqar.fm/webp/750x0/props/011594562_1787135143210.jpg | https://images.aqar.fm/webp/750x0/props/011594566_1787135143211.jpg | https://images.aqar.fm/webp/750x0/props/011594568_1787135154328.jpg | https://images.aqar.fm/webp/750x0/props/011594560_1787135154329.jpg | https://images.aqar.fm/webp/750x0/props/011594563_1787135154329.jpg,28.0,عبدالعزيز علي محمد اليوسف,شركة رافه العقارية,1.0,2026-08-19,2026-08-19,2026-08-19,3.0,2026-08-20,True,"900,000",False,دور
6669621,https://sa.aqar.fm/دور-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6669621,"دور للبيع في حي الجنادرية, مدينة الرياض, منطقة الرياض",850000.0,223.0,5.0,,,0.0,حي الجنادرية,الرياض,شرق الرياض,"دور ارضي للبيع السعر (850.000)المساحة (224م)
يتكون من 3غرف نوم و2مجلس و1غرفة طعام ومطبخ و4دورات مياه ومستودع وغرفة ملابس وغرفة معيشة و2مغاسل

وكذلك يتوفر. دور اول للبيع السعر (770.000)مساحة (195م)
3غرف نوم ومجلس وغرفة طعام وغرفة معيشه ومطبخ و3دوران مياه و2مغاسل",24.836763,46.891103,https://images.aqar.fm/webp/750x0/props/051348511_1777143232591.jpg | https://images.aqar.fm/webp/750x0/props/051348515_1777143232455.jpg | https://images.aqar.fm/webp/750x0/props/051348518_1777143232669.jpg | https://images.aqar.fm/webp/750x0/props/051348515_1777143232453.jpg | https://images.aqar.fm/webp/750x0/props/051348511_1777143232577.jpg,5.0,مازن بن عبيد بن دبيس الرشيدي,مكتب علو المقام للخدمات العقاريه,1.0,2026-04-25,2026-05-25,2026-07-27,96.0,2026-08-20,True,"850,000",False,دور
6690896,https://sa.aqar.fm/دور-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-عامر-بن-أبي-الحسن-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6690896,"دور للبيع في شارع عامر بن أبي الحسن, حي الإزدهار, مدينة الرياض, منطقة الرياض",1220000.0,154.0,4.0,5.0,1.0,0.0,حي الازدهار,الرياض,شرق الرياض,"مشروع ادوار حي الازدهار

- الدور الاول B2
- ⁠المساحة 154 متر
 
""تراس خارجي - صاله مفتوحه - مطبخ مغلق - غرفة غسيل وخادمة - عدد ٣ غرف نوم ماستر - مصعد - موقف سياره "" 
السعر: 1,580,000

المواصفات:
عدادات وخدمات مستقلة  
ارضيات رخام
تكييف مخفي
سمارت هوم
الحديد سابك
السباكة القبلان
الكهرباء الفنار
الدهانات الداخلية جوتن
الدهانات الخارجية عسيب
الانارة الداخلية شركة ألترا لايت
عزل مائي ضمان ١٠ سنوات 
البناء على الكود الجديد 
تأمين شركة التعاونيه ١٠ سنوات",24.784707,46.720424,https://images.aqar.fm/webp/750x0/props/004017275_1778431885496.jpg | https://images.aqar.fm/webp/750x0/props/004017270_1778431885412.jpg | https://images.aqar.fm/webp/750x0/props/004017279_1778431885466.jpg | https://images.aqar.fm/webp/750x0/props/004017277_1778431885415.jpg | https://images.aqar.fm/webp/750x0/props/004017273_1778431885522.jpg | https://images.aqar.fm/webp/750x0/props/004017272_1778431885480.jpg | https://images.aqar.fm/webp/750x0/props/004017271_1778431885414.jpg | https://images.aqar.fm/webp/750x0/props/004017271_1778431885421.jpg,8.0,ناصر حمد,شركة مدركون للعقارات,1.0,2026-05-10,2026-08-06,2026-08-13,8275.0,2026-08-20,True,"1,220,000",False,دور
6777811,https://sa.aqar.fm/دور-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-أحمد-محمد-جمال-حي-طويق-مدينة-الرياض-منطقة-الرياض-6777811,"دور للبيع في شارع أحمد محمد جمال, حي طويق, مدينة الرياض, منطقة الرياض",700000.0,236.0,5.0,,,0.0,حي طويق,الرياض,غرب الرياض,"ادوار ارضي وعلوي 
العلوي تاون هاوس 
تشطيب ممتاز جدا 
المساحه 300
السعر 700 الف 
الارضي
العلوي 800 الف
التفاصيل 
مدخل سياره خاص 
مجلس رجال بالحمام 
صاله مقلط وبمجلس نساء بمدخل خاص 
مطبخ 
3غرف نوم الرئيسيه ماستر 
حوش خلفي 
العلوي 
مدخل سياره خاص 
مجلس رجال بالحمام والمغاسل 
صاله بمجلس نساء بمدخل خاص 
مطبخ 
2غرفه نوم ماستر
الملحق 
صاله 
2غرفه نوم منهم واحده ماستر 
وسطح كبير
يوجد جميع الضمانات علي المبني بالكامل 
يوجد لدينا موظفين في جميع البنوك 
يوجد لدينا تسديد المديونية واقاف الخدمات 
للاستفسار ((الرقم يظهر عند الضغط على اتصال))",24.565564,46.546697,https://images.aqar.fm/webp/750x0/props/021542298_1784244088916.jpg | https://images.aqar.fm/webp/750x0/props/021542295_1784244088582.jpg | https://images.aqar.fm/webp/750x0/props/021542291_1784244088734.jpg | https://images.aqar.fm/webp/750x0/props/021542294_1784244088782.jpg | https://images.aqar.fm/webp/750x0/props/021542298_1784244088780.jpg | https://images.aqar.fm/webp/750x0/props/021542295_1784244088938.jpg | https://images.aqar.fm/webp/750x0/props/021542290_1784244089023.jpg | https://images.aqar.fm/webp/750x0/props/021542296_1784244089022.jpg | https://images.aqar.fm/webp/750x0/props/021542294_1784244089135.jpg | https://images.aqar.fm/webp/750x0/props/021542290_1784244089373.jpg | https://images.aqar.fm/webp/750x0/props/021542293_1784244089377.jpg | https://images.aqar.fm/webp/750x0/props/021542291_1784244089607.jpg | https://images.aqar.fm/webp/750x0/props/021542297_1784244089376.jpg | https://images.aqar.fm/webp/750x0/props/021542292_1784244089605.jpg | https://images.aqar.fm/webp/750x0/props/021542296_1784244089606.jpg | https://images.aqar.fm/webp/750x0/props/021542292_1784244089819.jpg | https://images.aqar.fm/webp/750x0/props/021542295_1784244089820.jpg | https://images.aqar.fm/webp/750x0/props/021542295_1784244089824.jpg | https://images.aqar.fm/webp/750x0/props/021542298_1784244090098.jpg | https://images.aqar.fm/webp/750x0/props/021542299_1784244090100.jpg | https://images.aqar.fm/webp/750x0/props/021542298_1784244090101.jpg | https://images.aqar.fm/webp/750x0/props/021542299_1784244090148.jpg | https://images.aqar.fm/webp/750x0/props/021542292_1784244090283.jpg | https://images.aqar.fm/webp/750x0/props/021542291_1784244090315.jpg | https://images.aqar.fm/webp/750x0/props/021542297_1784244090355.jpg | https://images.aqar.fm/webp/750x0/props/021542292_1784244090357.jpg | https://images.aqar.fm/webp/750x0/props/021542292_1784244090397.jpg,27.0,امنه احمد,مؤسسة امنه احمد جبران مجرشي للخدمات العقارية,1.0,2026-07-16,2026-08-15,2026-08-15,272.0,2026-08-20,True,"700,000",False,دور
6818080,https://sa.aqar.fm/دور-للبيع/الرياض/غرب-الرياض/حي-العريجاء-الغربية/شارع-وادي-مية-حي-العريجاء-الغربي-مدينة-الرياض-منطقة-الرياض-6818080,"دور للبيع في شارع وادي مية, حي العريجاء الغربي, مدينة الرياض, منطقة الرياض",800000.0,200.0,5.0,,,0.0,حي العريجاء الغربية,الرياض,غرب الرياض,"دور في فيلا - الرياض حي العريجاء الغربية
 
مكونة من:
مجلس - صالة - مقلط - غرفة ماستر - 2غرف نوم - مطبخ - 2دورة مياة 

مميزات العقار:
 نوافذ زجاج ، قريب من الخدمات ، مدخل سيارة 

رقم العرض: 20177
رقم ترخيص الإعلان: 7201082096 
 رقم رخصة فال: 1200019203 
 يقبل الدفع كاش او تقسيط من البنك",24.592522,46.600016,https://images.aqar.fm/webp/750x0/props/025113871_1786526978534.jpg | https://images.aqar.fm/webp/750x0/props/025113878_1786526978529.jpg | https://images.aqar.fm/webp/750x0/props/025113878_1786526978532.jpg | https://images.aqar.fm/webp/750x0/props/025113879_1786526978529.jpg | https://images.aqar.fm/webp/750x0/props/025113876_1786526978571.jpg | https://images.aqar.fm/webp/750x0/props/025113878_1786526978572.jpg | https://images.aqar.fm/webp/750x0/props/025113871_1786526978573.jpg,7.0,عبدالهادي سليمان,شركة إسكان سلمان العقارية,1.0,2026-08-12,2026-08-12,2026-08-19,23.0,2026-08-20,True,"800,000",False,دور
