listing_id,url,title,price,rent_period,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped
6711597,https://sa.aqar.fm/شقق-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-ابن-حجر-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6711597,"شقة للإيجار في شارع ابن حجر, حي الدار البيضاء, مدينة الرياض, منطقة الرياض",30000,,126,4,3,0,2,حي الدار البيضاء,الرياض,جنوب الرياض,"للاجار شقه 
وموقعها بالدار البيضاء

 غرب محطة المترو
 شقه بفله ٣ غرف
و٣ حمامات
ومطبخ وصاله بفله مدخلين
واجارها  ٣٠  دفعتين
👇👇👇👇👇👇👇👇👇",24.567842,46.800701,,,عبدالله بن عبدالرحمن بن علي الهمش,مكتب عبدالله عبدالرحمن علي الهمش للعقارات,1,2026-05-27,2026-05-27,2026-07-22,3250,2026-07-23
6714041,https://sa.aqar.fm/شقق-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-الثبات-حي-العزيزية-مدينة-الرياض-منطقة-الرياض-6714041,"شقة للإيجار في شارع الثبات, حي العزيزية, مدينة الرياض, منطقة الرياض",26500,3,100,3,2,1,11,حي العزيزية,الرياض,جنوب الرياض,"شقة رقم ١٤ عقار رقم ٢٢ الدور الثاني عوائل📣
٣ غرف
صالة
مطبخ 
مستودع
حمامين
عداد كهرباء مستقل 📣
لا يوجد دفع شهري📣
لا يوجد رسوم مياه📣
لا يوجد رسوم مكتب📣",24.571046,46.762266,https://images.aqar.fm/webp/750x0/props/017129896_1780251864830.jpg | https://images.aqar.fm/webp/750x0/props/017129897_1780251887037.jpg | https://images.aqar.fm/webp/750x0/props/017129899_1780251964043.jpg | https://images.aqar.fm/webp/750x0/props/017129891_1780251964049.jpg | https://images.aqar.fm/webp/750x0/props/017129895_1780251963983.jpg | https://images.aqar.fm/webp/750x0/props/017129891_1780251963975.jpg | https://images.aqar.fm/webp/750x0/props/017129890_1780251964344.jpg | https://images.aqar.fm/webp/750x0/props/017129895_1780251964388.jpg | https://images.aqar.fm/webp/750x0/props/017129891_1780251964427.jpg,9,عبدالسلام محمد,مؤسسة تلال العقارية,1,2026-05-31,2026-06-30,2026-07-23,6484,2026-07-23
6779827,https://sa.aqar.fm/شقق-للإيجار/الرياض/جنوب-الرياض/حي-عكاظ/شارع-الزراع-بن-عامر-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6779827,"شقة للإيجار في شارع الزراع بن عامر, حي عكاظ, مدينة الرياض, منطقة الرياض",32000,,244,3,1,0,0,حي عكاظ,الرياض,جنوب الرياض,"للايجار شقه في حي عكاظ 

شقه دورين مدخل خاص 
الدور الاول صاله مطبخ غرفتين نوم دوره مياه 
الدور الثاني دوره مياه وسطح 
باركنق خاص للمستاجر 

السعر دفعتين 30الف دفعتين 


الموقع غير دقيق",24.492317,46.653246,https://images.aqar.fm/webp/750x0/props/045801198_1784399880917.jpg | https://images.aqar.fm/webp/750x0/props/045801192_1784399881072.jpg | https://images.aqar.fm/webp/750x0/props/045801198_1784399881229.jpg | https://images.aqar.fm/webp/750x0/props/045801192_1784399881405.jpg | https://images.aqar.fm/webp/750x0/props/045801196_1784399880759.jpg | https://images.aqar.fm/webp/750x0/props/045801198_1784399880917.jpg | https://images.aqar.fm/webp/750x0/props/045801192_1784399881072.jpg | https://images.aqar.fm/webp/750x0/props/045801198_1784399881229.jpg | https://images.aqar.fm/webp/750x0/props/045801192_1784399881405.jpg,9,زيد ظافر فدغوش العتيبي,مؤسسة قوى الاعمار الحديثة,1,2026-07-18,2026-07-18,2026-07-23,38,2026-07-23
6690863,https://sa.aqar.fm/شقق-للإيجار/الرياض/جنوب-الرياض/حي-المروة/شارع-الحمداني-حي-المروة-مدينة-الرياض-منطقة-الرياض-6690863,"شقة للإيجار في شارع الحمداني, حي المروة, مدينة الرياض, منطقة الرياض",18000,3,60,1,1,0,0,حي المروة,الرياض,جنوب الرياض,"شقة استديو للإيجار بحي المروه 
طريق ديراب 


مدينة الرياض:
تتكون من :


غرفه نوم
مطبخ كونتر
دورة مياه 


مميزات المبنى؛
موقع استراتيجي وقريب من جميع الخدمات:
يبعد عن طريق ديراب 3دقايق 

رقم الشقه 13أ

سعر الايجار : 18.000
رقم التواصل :
0552862999
0534081999
0559428999",24.539044,46.663098,https://images.aqar.fm/webp/750x0/props/043724890_1778430931804.jpg | https://images.aqar.fm/webp/750x0/props/043724890_1778430948642.jpg | https://images.aqar.fm/webp/750x0/props/043724892_1778430971076.jpg | https://images.aqar.fm/webp/750x0/props/043724892_1778430970913.jpg | https://images.aqar.fm/webp/750x0/props/043724894_1778430970928.jpg | https://images.aqar.fm/webp/750x0/props/043724899_1778430970929.jpg | https://images.aqar.fm/webp/750x0/props/043724894_1778430970910.jpg | https://images.aqar.fm/webp/750x0/props/043724891_1778430970913.jpg,8,حسن علي يحي العلكمي,شركة دليل الاعمار العقارية,1,2026-05-10,2026-07-08,2026-07-22,989,2026-07-23
6681303,https://sa.aqar.fm/شقق-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-آل-ريس-حي-بدر-مدينة-الرياض-منطقة-الرياض-6681303,"شقة للإيجار في شارع آل ريس, حي بدر, مدينة الرياض, منطقة الرياض",40000,3,153,4,0,0,0,حي بدر,الرياض,جنوب الرياض,"شقة مفروشة جديد للإيجار بحي بدر  
تتكون من : 
مجلس + صالة + 3 غرف نوم + مطبخ + 3 دورات مياه 
مطبخ جديد راكب  + مكيفات اسبلت راكبه 
٠ واحده من الغرف ماستر 
ملاحظه جديد اول ساكن 
السعر: 40,000 دفعتين 
دفعتين 45,000
                        أصول الخبره العقارية 
بيع - تاجير - أداره املاك - استئجار عمائر بالكامل 
0552086444 - 0553228444 - 0533908444",24.520649,46.738099,https://images.aqar.fm/webp/750x0/props/014783276_1777894948806.jpg,1,محمد يسلم,شركة أصول الخبرة العقارية,1,2026-05-04,2026-07-01,2026-07-23,525,2026-07-23
6668405,https://sa.aqar.fm/شقق-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-محمد-بن-عبدالله-الطبري-حي-بدر-مدينة-الرياض-منطقة-الرياض-6668405,"شقة للإيجار في شارع محمد بن عبدالله الطبري, حي بدر, مدينة الرياض, منطقة الرياض",4000,3,490,4,2,1,2,حي بدر,الرياض,جنوب الرياض,"📞 للتواصل واتساب:
فرح محمد - واتس اب - الخيار الصحيح للخدمات العقارية 
0566039216
🏡 شقة للإيجار – الدور الثاني | حي بدر
📍 موقع ممتاز وقريب من الخدمات
📐 المساحة: 130 م²
🔑 مكونات الشقة:
✔️ 2 غرفة نوم
✔️ مجلس
✔️ مقلط (غرفة طعام)
✔️ مطبخ
✔️ 2 دورات مياه
💡 مميزات إضافية:
✔️ بعض الخدمات مجانًا:
• غاز
• ماء
• إنترنت
💰 الإيجار: 4,000 ريال شهري
⏳ مدة الإيجار: حد أقصى 3 شهور قابله للتجديد",24.525546,46.681381,,,علي عائض,مكتب الخيار الصحيح للخدمات العقارية,1,2026-04-24,2026-06-21,2026-07-21,648,2026-07-23
6737969,https://sa.aqar.fm/شقق-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-الأسراب-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6737969,"شقة للإيجار في شارع الأسراب, حي الدار البيضاء, مدينة الرياض, منطقة الرياض",29000,,204,3,2,1,5,حي الدار البيضاء,الرياض,جنوب الرياض,"شقق عزاب ( شركات او افراد ) مميزة للايجار  الرياض حي الدار البيضاء

تتكون من 3 غرف نوم و صالة و دورتين مياه و مطبخ 

يوجد اكثر من شقة
الشقق قريبة من محطة المترو 
الشقق نظيفة
الشقق قريبة من جميع الخدمات
عداد كهرباء مستقل

((( الرجاء التواصل واتساب لضمان الرد على جميع الاستفسارات )))",24.580992,46.801258,https://images.aqar.fm/webp/750x0/props/039343439_1781787642754.jpg,1,اريج سعد محمد المالكي,العقود الراسخة للعقارات,1,2026-06-18,2026-07-17,2026-07-21,1331,2026-07-23
6782539,https://sa.aqar.fm/شقق-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-العريضة-حي-بدر-مدينة-الرياض-منطقة-الرياض-6782539,"شقة للإيجار في شارع العريضة, حي بدر, مدينة الرياض, منطقة الرياض",27000,3,500,3,2,1,5,حي بدر,الرياض,جنوب الرياض,"للإيجار شقة حي بدر
تتكون الشقة من
3غرف 
وصاله
ومطبخ 
ودرتين مياه 
دور اول 
مدخلين لشقه مدخل لنساء ومدخل لرجال 
عداد كهرباء مشترك بس فيه قاريء عداد يحسب الاستهلاك 
الايجار 
27الف دفعتين",24.536837,46.690249,https://images.aqar.fm/webp/750x0/props/053542495_1784561721020.jpg | https://images.aqar.fm/webp/750x0/props/053542498_1784561737725.jpg | https://images.aqar.fm/webp/750x0/props/053542493_1784561737730.jpg | https://images.aqar.fm/webp/750x0/props/053542494_1784561737725.jpg | https://images.aqar.fm/webp/750x0/props/053542490_1784561737740.jpg | https://images.aqar.fm/webp/750x0/props/053542499_1784561737722.jpg | https://images.aqar.fm/webp/750x0/props/053542494_1784561737727.jpg | https://images.aqar.fm/webp/750x0/props/053542492_1784561737732.jpg | https://images.aqar.fm/webp/750x0/props/053542498_1784561737742.jpg,9,عبدالمجيد الوليعي,مؤسسة ارت فنش للخدمات العقارية,1,2026-07-20,2026-07-20,2026-07-23,69,2026-07-23
6646059,https://sa.aqar.fm/شقق-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-إبراهيم-بن-المحب-الطبري-حي-بدر-مدينة-الرياض-منطقة-الرياض-6646059,"شقة للإيجار في شارع إبراهيم بن المحب الطبري, حي بدر, مدينة الرياض, منطقة الرياض",50000,3,250,7,0,0,2,حي بدر,الرياض,جنوب الرياض,"فيلا دوبلكس للاجار حي بدر 
مدينة الرياض 
تتكون الفيلا من 
الدور الأرضي 
حوش 
مدخلين 
بايكة
مشب خارجي 
مجلس رجال 
مقلط رجال 
حمام رجال 
صالتين واسعة 
مطبخ راكب 
فناء خلفي 
حمام 
الدور الثاني :
٤ غرف نوم ٢ ماستر
ثلاث حمامات 
صالة جلوس 
الملحق : 
غرفة نوم
حمام 
صاله واسعه
سطح 
البيت قريب من المسجد 
عدد 9 مكيفات راكبه 
مطبخ راكب
الموقع https://maps.google.com/?q=24.522146,46.731651",24.522132,46.731643,https://images.aqar.fm/webp/750x0/props/004870239_1775621223173.jpg | https://images.aqar.fm/webp/750x0/props/004870239_1775621223176.jpg | https://images.aqar.fm/webp/750x0/props/004870238_1775621223176.jpg | https://images.aqar.fm/webp/750x0/props/004870231_1775621223178.jpg | https://images.aqar.fm/webp/750x0/props/004870238_1775621223185.jpg | https://images.aqar.fm/webp/750x0/props/004870237_1775621223184.jpg | https://images.aqar.fm/webp/750x0/props/004870239_1775621223352.jpg | https://images.aqar.fm/webp/750x0/props/004870232_1775621379190.jpg | https://images.aqar.fm/webp/750x0/props/004870238_1775621379233.jpg | https://images.aqar.fm/webp/750x0/props/004870231_1775621379206.jpg | https://images.aqar.fm/webp/750x0/props/004870231_1775621379202.jpg | https://images.aqar.fm/webp/750x0/props/004870239_1775621379203.jpg | https://images.aqar.fm/webp/750x0/props/004870230_1775621379228.jpg | https://images.aqar.fm/webp/750x0/props/004870232_1775621379266.jpg,14,سلطان العمري,,,2026-04-08,2026-06-05,2026-07-21,625,2026-07-23
6628931,https://sa.aqar.fm/شقق-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-علي-الحراني-حي-بدر-مدينة-الرياض-منطقة-الرياض-6628931,"شقة للإيجار في شارع علي الحراني, حي بدر, مدينة الرياض, منطقة الرياض",30000,,285,2,2,1,0,حي بدر,الرياض,جنوب الرياض,"https://maps.app.goo.gl/FmexvarcdMZgTZch8

شقة للايجار حي بدر 
تتكون من ملحق
غرفة نوم 
ومجلس 
وصاله 
مطبخ 
ودرتين مياه 
وسطح 
عداد الكهرباء مشترك والماء وايت النص
الإيجار 26الف دفعتين 
شهري 2200",24.518349,46.742282,https://images.aqar.fm/webp/750x0/props/031266227_1784640811421.jpg | https://images.aqar.fm/webp/750x0/props/031266227_1784640811529.jpg | https://images.aqar.fm/webp/750x0/props/031266228_1784640811683.jpg | https://images.aqar.fm/webp/750x0/props/031266225_1784640811720.jpg | https://images.aqar.fm/webp/750x0/props/031266223_1784640811770.jpg,5,نوال العتيبي,مؤسسة مسكن الياسمين,1,2026-03-21,2026-07-16,2026-07-23,2162,2026-07-23
