listing_id,url,title,price,rent_period,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped
6647762,https://sa.aqar.fm/شقق-للإيجار/الرياض/غرب-الرياض/حي-المهدية/شارع-وادي-الحسنا-حي-المهدية-الرياض-منطقة-الرياض-6647762,"شقة للإيجار في شارع وادي الحسنا, حي المهدية, مدينة الرياض, منطقة الرياض",30000,3,400,1,1,1,1,حي المهدية,الرياض,غرب الرياض,"شقة دور أرضي غرفة وصالة ومطبخ ودورة مياة كبيرة  تتميز  بقربها لجميع الخدمات والموقع المميز  مع متابعه من قبل عامل لتنظيف الدرج والمدخل 
 للتواصل : ",24.658718642990973,46.52163403911883,https://images.aqar.fm/webp/750x0/props/007582233_1775723903060.jpg | https://images.aqar.fm/webp/750x0/props/007582236_1775723903073.jpg | https://images.aqar.fm/webp/750x0/props/007582231_1775723903076.jpg | https://images.aqar.fm/webp/750x0/props/007582232_1775723903089.jpg | https://images.aqar.fm/webp/750x0/props/007582236_1775723903087.jpg | https://images.aqar.fm/webp/750x0/props/007582236_1775723903095.jpg,6,علي أحمد حمد آل صقر,,,2026-04-09,2026-04-10,2026-07-22,4290,2026-07-23
6778130,https://sa.aqar.fm/شقق-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-الذهبي-حي-طويق-مدينة-الرياض-منطقة-الرياض-6778130,"شقة للإيجار في شارع الذهبي, حي طويق, مدينة الرياض, منطقة الرياض",33000,3,148,4,3,1,2,حي طويق,الرياض,غرب الرياض,"عرض ( 2608 )

أسداف العقارية نحو .. جودة حياة
للتواصل: ((الرقم يظهر عند الضغط على اتصال))

شقة للايجار في عماره سكنيه بحي طويق في مدينة الرياض على شارع الذهبي:

دور ارضي
مساحة 148 متر
مجلس
صاله
مطبخ راكب
غرفة نوم ماستر + غرفتين نوم
3 دورات مياة
مدخلين
حوش جانبي بمساحة 22 متر
دخول ذكي للعمارة و الشقه
عداد كهرباء مستقل
الماء خزان خاص التعبئة وايتات

السعر :
35000 ريال دفعتين
33000 ريال دفعه واحده

يسعدنا استقبال طلباتكم وعروضكم وادارة املاككم عبر الرقم الاتي: ((الرقم يظهر عند الضغط على اتصال))
رقم رخصة فال للوساطة والتسويق: 1200016901
ترخيص اعلاني: 7201045978",24.547653,46.578014,https://images.aqar.fm/webp/750x0/props/032899578_1784293627526.jpg | https://images.aqar.fm/webp/750x0/props/032899572_1784293627478.jpg | https://images.aqar.fm/webp/750x0/props/032899576_1784293627478.jpg | https://images.aqar.fm/webp/750x0/props/032899570_1784293627533.jpg | https://images.aqar.fm/webp/750x0/props/032899575_1784293627482.jpg | https://images.aqar.fm/webp/750x0/props/032899576_1784293627527.jpg | https://images.aqar.fm/webp/750x0/props/032899576_1784293663498.jpg | https://images.aqar.fm/webp/750x0/props/032899577_1784293663542.jpg,8,عبدالله عبدالمحسن عبدالله اليوسف,مؤسسة أسداف العقارية,1,2026-07-17,2026-07-17,2026-07-23,403,2026-07-23
6733532,https://sa.aqar.fm/شقق-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-نجد-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6733532,"شقة للإيجار في شارع نجد, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",27600,3,60,1,0,0,3,حي ظهرة لبن,الرياض,غرب الرياض,"غرفه وصاله و حمام. ومطبخ 
ماء  كهربا شامله2300
عزاب",24.618438,46.534479,https://images.aqar.fm/webp/750x0/props/004258531_1781515009719.jpg | https://images.aqar.fm/webp/750x0/props/004258535_1781515009715.jpg | https://images.aqar.fm/webp/750x0/props/004258532_1781515009722.jpg | https://images.aqar.fm/webp/750x0/props/004258539_1781515009729.jpg | https://images.aqar.fm/webp/750x0/props/004258538_1781515009720.jpg,5,فهد سليمان,شركة الف القاسم للاستثمارات العقارية,1,2026-06-15,2026-07-14,2026-07-22,174,2026-07-23
6731656,https://sa.aqar.fm/شقق-للإيجار/الرياض/غرب-الرياض/حي-العريجاء-الغربية/شارع-طلحة-بن-عمرو-حي-العريجاء-الغربي-مدينة-الرياض-منطقة-الرياض-6731656,"شقة للإيجار في شارع طلحة بن عمرو, حي العريجاء الغربي, مدينة الرياض, منطقة الرياض",34000,3,183,4,3,1,0,حي العريجاء الغربية,الرياض,غرب الرياض,"السلام عليكم 
شقه للإيجار غرب الرياض مخرج ٢٩ 
العماره على شارعين و كل الخدمات قريبه 
مطله على الدائري الغربي 
الشقه مكونه من:
( اربع غرف ) وصاله ومطبخ و ( دورتين مياه )
-الشقه بدور الاول 
-متوفر نت الياف بصريه 
-عداد الكهرب مستقل 
-عداد الماء مشترك على اربع شقق 
(( سوف يتم تركيب مكيفات جديده
و مطبخ جديد كذلك )) 
قيمه الاجار 💸:
٣٤ لسنه اذا دفعه واحده
٣٦ لسنه اذا على دفعتين 
٣٢٠٠ اذا الدفع شهري
((الرقم يظهر عند الضغط على اتصال))",24.576017,46.598363,https://images.aqar.fm/webp/750x0/props/031099150_1782402856717.jpg | https://images.aqar.fm/webp/750x0/props/031099151_1782402868975.jpg | https://images.aqar.fm/webp/750x0/props/031099156_1782402868972.jpg | https://images.aqar.fm/webp/750x0/props/031099158_1782402868972.jpg | https://images.aqar.fm/webp/750x0/props/031099158_1782402868973.jpg | https://images.aqar.fm/webp/750x0/props/031099154_1782402868987.jpg | https://images.aqar.fm/webp/750x0/props/031099152_1782402868974.jpg | https://images.aqar.fm/webp/750x0/props/031099152_1782402868973.jpg,8,سعيدان بن عبيد بن خويتم,مؤسسة نهضة طويق,1,2026-06-13,2026-06-13,2026-07-22,951,2026-07-23
6764445,https://sa.aqar.fm/شقق-للإيجار/الرياض/غرب-الرياض/حي-السويدي/شارع-العلايا-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6764445,"شقة للإيجار في شارع العلايا, حي السويدي, مدينة الرياض, منطقة الرياض",42000,3,156,5,3,2,10,حي السويدي,الرياض,غرب الرياض,"🏡 شقة مميزة للإيجار في حي السويدي – الرياض

📍 الموقع
حي السويدي خلف القصر مول
✨ موقع حيوي قريب من جميع الخدمات والمرافق

📐 تفاصيل الشقة
📏 المساحة: 156 م²
🏢 شقة في عمارة سكنية
4️⃣ الدور الرابع
🛏️ 3 غرف نوم
🛋️ صالة واسعة
🪑 مجلس مستقل
🍽️ مطبخ مستقل
🧹 غرفة خادمة
🚿 3 دورات مياه

✨ المميزات
🛗 مصعد
🛡️ حارس أمن
📹 كاميرات مراقبة
🚗 موقف سيارة خاص برقم الشقة
⚡ عداد كهرباء مستقل
💧 عداد مياه مستقل
🔥 السخانات راكبة
🛁 بانيو في غرفة الماستر

💰 التفاصيل المالية
💵 الإيجار السنوي: 40,000 ريال
💵 الإيجار نصف السنوي: 21,000 ريال
📌 السعي ورسوم المكتب على المستأجر

📞 للتواصل
((الرقم يظهر عند الضغط على اتصال))

📄 رقم رخصة فال
1100070526

📑 رقم الترخيص الإعلاني
7201033351",24.598629,46.697725,https://images.aqar.fm/webp/750x0/props/017598950_1783455751423.jpg | https://images.aqar.fm/webp/750x0/props/017598955_1783455751432.jpg | https://images.aqar.fm/webp/750x0/props/017598953_1783455751425.jpg | https://images.aqar.fm/webp/750x0/props/017598954_1783455751429.jpg | https://images.aqar.fm/webp/750x0/props/017598953_1783455751427.jpg | https://images.aqar.fm/webp/750x0/props/017598959_1783455751432.jpg | https://images.aqar.fm/webp/750x0/props/017598952_1783455751433.jpg | https://images.aqar.fm/webp/750x0/props/017598952_1783455751435.jpg | https://images.aqar.fm/webp/750x0/props/017598956_1783455767674.jpg | https://images.aqar.fm/webp/750x0/props/017598951_1783455767681.jpg | https://images.aqar.fm/webp/750x0/props/017598959_1783455767678.jpg | https://images.aqar.fm/webp/750x0/props/017598959_1783455767673.jpg | https://images.aqar.fm/webp/750x0/props/017598950_1783455767681.jpg | https://images.aqar.fm/webp/750x0/props/017598950_1783455767674.jpg | https://images.aqar.fm/webp/750x0/props/017598950_1783455767684.jpg | https://images.aqar.fm/webp/750x0/props/017598955_1783455767688.jpg | https://images.aqar.fm/webp/750x0/props/017598955_1783455775756.jpg,17,عبدالرحمن عبدالله احمد الأمير,,,2026-07-07,2026-07-07,2026-07-22,215,2026-07-23
6535470,https://sa.aqar.fm/شقق-للإيجار/الرياض/غرب-الرياض/حي-العريجاء-الغربية/شارع-الأحجر-حي-العريجاء-الغربي-الرياض-منطقة-الرياض-6535470,"شقة للإيجار في شارع الأحجر, حي العريجاء الغربي, مدينة الرياض, منطقة الرياض",20000,3,60,1,1,0,11,حي العريجاء الغربية,الرياض,غرب الرياض,"شقة للإيجار – مجددة بالكامل عوائل
غرفة + صالة + مطبخ + حمام + حوش خاص
📍 الدور العلوي 
تفاصيل الشقة:
🛏️ غرفة نوم
🛋️ صالة
🍽️ مطبخ راكب
🚿 حمام مجدد
🌿 حوش خاص صغير سيب
✨ تشطيب حديث وإنارة ممتازة
❄️ مكيفات جاهزة
الانترنت مجانا
🧼 الشقة مجددة وجاهزة للسكن
⚡ الكهرباء مشتركة
💰 الإيجار:   من 1900شهريًا",24.601573011313754,46.577544176718156,https://images.aqar.fm/webp/750x0/props/000358457_1774308009877.jpg | https://images.aqar.fm/webp/750x0/props/000358459_1774308009781.jpg | https://images.aqar.fm/webp/750x0/props/000358457_1774308009600.jpg | https://images.aqar.fm/webp/750x0/props/000358459_1774308009685.jpg,4,محمد هادي علي نهاري,,,2026-01-05,2026-07-06,2026-07-22,3663,2026-07-23
6733780,https://sa.aqar.fm/شقق-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-ثقيف-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6733780,"شقة للإيجار في شارع ثقيف, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",28000,,900,1,,1,5,حي ظهرة لبن,الرياض,غرب الرياض,"غرفة وصاله للايجار بحي ظهرة لبن
📍الموقع ظهرة لبن
مواصفات غرفه وصالة :
🛏 غرفه نوم
❄️مكيف
👕 خزانه ملابس
🖥 شاشه سمارات
🍳 مطبخ
🧊 ثلاجه
☕️ غلايه
صالة
🚿 دورة مياه خاصه
🍀مميزات الموقع :
🔒خصوصيه وهدوء
🛍 قريب من جميع الخدمات

💰 الايجاري الشهري
2500
💰 الايجار السنوي
28000
📞 للتواصل
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.644414,46.553626,https://images.aqar.fm/webp/750x0/props/048127908_1781526766784.jpg | https://images.aqar.fm/webp/750x0/props/048127906_1781526766845.jpg | https://images.aqar.fm/webp/750x0/props/048127907_1781526766884.jpg | https://images.aqar.fm/webp/750x0/props/048127902_1781526766888.jpg | https://images.aqar.fm/webp/750x0/props/048127902_1781526766957.jpg | https://images.aqar.fm/webp/750x0/props/048127900_1781526767032.jpg | https://images.aqar.fm/webp/750x0/props/048127905_1781526767221.jpg | https://images.aqar.fm/webp/750x0/props/048127909_1781526767901.jpg,8,جواهر نواف,شركة اساطير العالم للعقارات,1,2026-06-15,2026-07-17,2026-07-23,109,2026-07-23
6693830,https://sa.aqar.fm/شقق-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-البديعة/شارع-الشيخ-عبدالعزيز-بن-محمد-بن-علي-حي-ظهرة-البديعة-مدينة-الرياض-منطقة-الرياض-6693830,"شقة للإيجار في شارع الشيخ عبدالعزيز بن محمد بن علي, حي ظهرة البديعة, مدينة الرياض, منطقة الرياض",25000,3,72,2,1,1,9,حي ظهرة البديعة,الرياض,غرب الرياض,"شقة للإيجار بحي البديعة (عوائل) 
تتكون من :
غرفتين نوم + صاله + مطبخ + دورة مياه 
(مطبخ راكب - مكيفات اسبلت راكب)
ملاحظة :
- بالقرب من الخدمات العامة
السعر : 26,000

                     بصمة الابداع العقارية 
تأجير - بيع - إدارة أملاك - إستئجار عمائر بالكامل
0534182555 - 0557026555 - 0559638555",24.588209,46.642492,https://images.aqar.fm/webp/750x0/props/049576914_1778592811407.jpg | https://images.aqar.fm/webp/750x0/props/049576912_1778592811471.jpg | https://images.aqar.fm/webp/750x0/props/049576910_1778592836407.jpg | https://images.aqar.fm/webp/750x0/props/049576913_1778592836413.jpg | https://images.aqar.fm/webp/750x0/props/049576917_1778592836416.jpg | https://images.aqar.fm/webp/750x0/props/049576917_1778592836406.jpg | https://images.aqar.fm/webp/750x0/props/049576910_1778592836408.jpg,7,فيصل محمد معدي الشهري,شركة بصمة الابداع العقارية,1,2026-05-12,2026-07-09,2026-07-23,4024,2026-07-23
6754456,https://sa.aqar.fm/شقق-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-الجنادريه-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6754456,"شقة للإيجار في شارع الجنادريه, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",50000,,110,2,3,1,2,حي ظهرة لبن,الرياض,غرب الرياض,"شقة في حي ظهرة لبن للإيجار
٢ غرف 
صالة 
٣ دورات مياه
دخول ذكي
مصعد
الشقة جديدة محد سكنها 
دور اول شقة رقم ١ 
مواقف سفلية وموقف خاص 
المكيفات راكبة
والمطبخ راكب 

سعر الايجار : 48000 دفعة واحدة
دفعتين 50000
شهري ٤٢٠٠",24.616984,46.509478,https://images.aqar.fm/webp/750x0/props/038157804_1782844805128.jpg | https://images.aqar.fm/webp/750x0/props/038157806_1782844803899.jpg | https://images.aqar.fm/webp/750x0/props/038157802_1782844804901.jpg | https://images.aqar.fm/webp/750x0/props/038157808_1782844804146.jpg | https://images.aqar.fm/webp/750x0/props/038157803_1782844804736.jpg | https://images.aqar.fm/webp/750x0/props/038157808_1782844804531.jpg | https://images.aqar.fm/webp/750x0/props/038157808_1782844804293.jpg,7,حماد ثامر حامد الظفيري,مؤسسة ثقة النرجس العقارية,1,2026-06-30,2026-06-30,2026-07-22,75,2026-07-23
6755665,https://sa.aqar.fm/شقق-للإيجار/الرياض/غرب-الرياض/حي-العريجاء-الغربية/شارع-وادي-سودة-حي-العريجاء-الغربي-مدينة-الرياض-منطقة-الرياض-6755665,"شقة للإيجار في شارع وادي سودة, حي العريجاء الغربي, مدينة الرياض, منطقة الرياض",2411,3,400,2,1,1,6,حي العريجاء الغربية,الرياض,غرب الرياض,"🏡 شقة فاخرة عوائل للإيجار 
📍حي العريجاء
فلة العريجا ء
✨غرفتين وصاله    
✨ مطبخ  
✨  دورة مياه
✨ مكيفات اسبليت    
💰 2411 شهريا 
📌 السداد:  شهريا 
التواصل ((الرقم يظهر عند الضغط على اتصال))",24.604076,46.606626,https://images.aqar.fm/webp/750x0/props/048267032_1783356902068.jpg | https://images.aqar.fm/webp/750x0/props/048267034_1783356920459.jpg | https://images.aqar.fm/webp/750x0/props/048267035_1783356920447.jpg | https://images.aqar.fm/webp/750x0/props/048267031_1783356920389.jpg | https://images.aqar.fm/webp/750x0/props/048267030_1783356920464.jpg | https://images.aqar.fm/webp/750x0/props/048267031_1783356920451.jpg | https://images.aqar.fm/webp/750x0/props/048267037_1783356920440.jpg | https://images.aqar.fm/webp/750x0/props/048267035_1783356920449.jpg | https://images.aqar.fm/webp/750x0/props/048267033_1783356920445.jpg,9,فارس محمد سعد القحطاني,مؤسسة مزايا المسكن العقارية,1,2026-07-01,2026-07-01,2026-07-23,390,2026-07-23
