listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6627697,https://sa.aqar.fm/محلات-للبيع/جدة/جنوب-جدة/حي-الجوهرة/شارع-البارديه-حي-الجوهرة-مدينة-جدة-منطقة-مكة-المكرمة-6627697,"محل للبيع في شارع البارديه, حي الجوهرة, مدينة جدة, منطقة مكة المكرمة",3300000,1320,,,,10,حي الجوهرة,جدة,جنوب جدة,"للبيع  معرض سيارات في معارض جدة حي الجوهرة جنوب جدة   مساحة  1320 م 
 شارع ٤٠ شمالي 
الاطوال ٣٣م في عمق ٤٠م
 يعبارة عن معرض سيارات وغرف مؤجرة بعقد اكتروني
الاجارات  قديمة قابلة للزيادة 
اجمالي الدخل السنوي 216500
مطلوب   3 مليون و 300  الف ريال صافي",21.430117,39.256393,https://images.aqar.fm/webp/750x0/props/001039798_1773789174755.jpg | https://images.aqar.fm/webp/750x0/props/001039794_1773789190515.jpg,2.0,عبدالرحمن علي عبدالله الشمراني,,,2026-03-17,2026-06-13,2026-09-12,567,2026-09-15,True,"3,300,000",False,محل
6831551,https://sa.aqar.fm/محلات-للبيع/جدة/جنوب-جدة/حي-ام-السلم/جدة-جدة-6831551,محل للبيع في جدة ، جدة,35000,30,,,,5,حي ام السلم,جدة,جنوب جدة,"للتقبيل محل اتصالات 

الموقع / جدة حي الحرازات مجمع الاتصالات 

مميزات المحل مجهز بديكور ويحتوي على مستودع مجهز بارفف واستاند تعليق وطاولة صيانة وبضاعة قائمة
 المحل جاهز للتشغيل ومباشرة العمل
الايجار شهري 1500 عمر المحل 8 سنوات 

سبب البيع عدم التفرغ و الانشغال بوظيفة خارج المدينه

المبلغ المطلوب 35 الف 
للتواصل ((الرقم يظهر عند الضغط على اتصال))",21.478548,39.370243,https://images.aqar.fm/webp/750x0/props/054824886_1787160155265.jpg | https://images.aqar.fm/webp/750x0/props/054824883_1787160155321.jpg | https://images.aqar.fm/webp/750x0/props/054824888_1787160155289.jpg | https://images.aqar.fm/webp/750x0/props/054824889_1787160155314.jpg | https://images.aqar.fm/webp/750x0/props/054824880_1787160155261.jpg | https://images.aqar.fm/webp/750x0/props/054824880_1787160155244.jpg | https://images.aqar.fm/webp/750x0/props/054824885_1787160155275.jpg,7.0,عبدالاله بن مريع بن محمد حكمي,,,2026-08-19,,2026-08-19,16,2026-09-15,False,طلب تسويق,False,محل
6711629,https://sa.aqar.fm/محلات-للبيع/جدة/جنوب-جدة/حي-الفاروق/شارع-أحمد-القرشي-حي-الفاروق-مدينة-جدة-منطقة-مكة-المكرمة-6711629,"محل للبيع في شارع أحمد القرشي, حي الفاروق, مدينة جدة, منطقة مكة المكرمة",4000000,852,,,,11,حي الفاروق,جدة,جنوب جدة,"فيلا 
دور ارضي 
6 غرف + صاله + 3 دورات مياه + حوش خاص + غرفه سائق + مسبح 
الدور الاول 
6 غرف + صاله + مطبخ + بلكونه 
الدور الثاني
غرفه + دوره مياه + سطح 

العقار عباره عن فيلا تـم تحويلها  الى 4 معارض  
ومؤجره بعقد واحد بنسبه دخل سنوي 5٪",21.453904,39.274083,,,محمد الزهراني,,,2026-05-27,2026-08-22,2026-08-22,157,2026-09-15,True,"4,000,000",False,محل
6520759,https://sa.aqar.fm/محلات-للبيع/جدة/جنوب-جدة/حي-المحجر/شارع-صيتان-العطاوي-حي-المحجر-مدينة-جدة-منطقة-مكة-المكرمة-6520759,"محل للبيع في شارع صيتان العطاوي, حي المحجر, مدينة جدة, منطقة مكة المكرمة",136500,9,,,,3,حي المحجر,جدة,جنوب جدة,"تعلن شركة الثروة العقارية عن فرص استثمارية
 (محلات حراج الصواريخ )
لعدد 74 محل (بسطة ) بمساحات متفرقة 
مؤجرة بالكامل بعقود الكترونية

الاسعار تبدأ من 136,500 ﷼
والعائد السنوي يتجاوز 8%

موقع المحلات  📍https://maps.app.goo.gl/orYrTuBcMu9Y4VzW7

|📕| الكتيب التسويقي :  https://bit.ly/3MxUe9L

📞 للاستفسار: ((رقم المعلن يظهر عند التواصل))– 920003566

✅ رخصة فال: 1200018448
✅ رخصة الإعلان: 7200810906 - 7200810911",21.417581,39.2002,https://images.aqar.fm/webp/750x0/props/004725324_1767020389147.jpg,1.0,حمد عبدالعزيز عبدالله السليمان,شركة الثروة الأولى العقارية,1.0,2025-12-25,2025-12-25,2026-09-15,1737,2026-09-15,True,"136,500",False,محل
6520762,https://sa.aqar.fm/محلات-للبيع/جدة/جنوب-جدة/حي-المحجر/شارع-الاخطل-حي-المحجر-مدينة-جدة-منطقة-مكة-المكرمة-6520762,"محل للبيع في شارع الاخطل, حي المحجر, مدينة جدة, منطقة مكة المكرمة",167800,11,,,,3,حي المحجر,جدة,جنوب جدة,"تعلن شركة الثروة العقارية عن فرص استثمارية
 (محلات حراج الصواريخ )
لعدد 74 محل (بسطة ) بمساحات متفرقة 
مؤجرة بالكامل بعقود الكترونية

الاسعار تبدأ من 136,500 ﷼
والعائد السنوي يتجاوز 8%

موقع المحلات  📍https://maps.app.goo.gl/orYrTuBcMu9Y4VzW7

|📕| الكتيب التسويقي :  https://bit.ly/3MxUe9L

📞 للاستفسار: ((رقم المعلن يظهر عند التواصل))– 920003566

✅ رخصة فال: 1200018448
✅ رخصة الإعلان: 7200810906 - 7200810911",21.416722,39.199572,https://images.aqar.fm/webp/750x0/props/004725329_1767020447008.jpg,1.0,حمد عبدالعزيز عبدالله السليمان,شركة الثروة الأولى العقارية,1.0,2025-12-25,2025-12-25,2026-09-14,2439,2026-09-15,True,"167,800",False,محل
6728861,https://sa.aqar.fm/محلات-للبيع/جدة/جنوب-جدة/حي-الجوهرة/شارع-الاميلح-حي-الجوهرة-مدينة-جدة-منطقة-مكة-المكرمة-6728861,"محل للبيع في شارع الاميلح, حي الجوهرة, مدينة جدة, منطقة مكة المكرمة",4500000,1200,,,,11,حي الجوهرة,جدة,جنوب جدة,"معرض تجاري مميز بموقع استراتيجي وحيوي في حي الجوهرة، على مساحة 1200 متر مربع، يتمتع بواجهة بارزة ومساحة واسعة تتيح تعدد الاستخدامات والأنشطة التجارية.

✔ موقع حيوي قريب من الخدمات والمحاور الرئيسية
✔ مناسب للمعارض والأنشطة التجارية المتنوعة
✔ مساحة كبيرة تمنح مرونة في الاستثمار والتشغيل
✔ فرصة مثالية لتحقيق عوائد استثمارية مجزية


📞 للاستفسار : ((الرقم يظهر عند الضغط على اتصال))",21.42753,39.252722,https://images.aqar.fm/webp/750x0/props/042402631_1781184954609.jpg,1.0,خالد حسين ابن منصور العساف,مؤسسة شموخ الارض العقارية,1.0,2026-06-11,2026-09-06,2026-09-14,247,2026-09-15,True,"4,500,000",False,محل
6731518,https://sa.aqar.fm/محلات-للبيع/جدة/جنوب-جدة/حي-الجوهرة/شارع-محمد-بن-عبدالرحمن-بن-اسحاق-ال-الشيخ-حي-الجوهرة-مدينة-جدة-منطقة-مكة-المكرمة-6731518,"محل للبيع في شارع محمد بن عبدالرحمن بن اسحاق ال الشيخ, حي الجوهرة, مدينة جدة, منطقة مكة المكرمة",4000000,1230,,,,7,حي الجوهرة,جدة,جنوب جدة,"معرض للبيع 
موقع مميز 
في معارض الجوهرة للسيارات 
معرض للبيع 
موقع مميز 
في معارض الجوهرة للسيارات 

معرض للبيع 
موقع مميز 
في معارض الجوهرة للسيارات",21.430466,39.252508,,,حسن عشق حسن العطريز,مؤسسة سمو المملكة للخدمات العقارية,1.0,2026-06-13,2026-09-09,2026-09-09,128,2026-09-15,True,"4,000,000",False,محل
6809793,https://sa.aqar.fm/محلات-للبيع/جدة/جنوب-جدة/حي-الاجاويد/حي-الاجاويد-جدة-جدة-6809793,محل للبيع في حي الاجاويد ، جدة ، جدة,60000,109,,,,2,حي الاجاويد,جدة,جنوب جدة,"للتقبيل محل في الاجاويد
المحل شغال في نشاط المخبوزات
مقابل مشروع سكن اعالي جدة
المساحة 109 متر
المحل عبارة عن فتحتين وعلى شارعين
العقد سارع لمدة 7 سنوات
للمفاهمة التواصل على الرقم
((الرقم يظهر عند الضغط على اتصال))",21.412918,39.289936,,,ريم حسن علي المروعي,,,2026-08-06,,2026-08-07,22,2026-09-15,False,طلب تسويق,False,محل
6820103,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-الأرقم-النحفى-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6820103,"عمارة للبيع في شارع الأرقم النحفى, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",7700000.0,203.0,,,,0.0,حي الصفا,جدة,شمال جدة,$5f,21.569087,39.220502,https://images.aqar.fm/webp/750x0/props/049825378_1786611081060.jpg,1.0,عبدالله ظافر عبدالله الشهري,مؤسسة دار النماص للعقار,1.0,2026-08-13,2026-09-11,2026-09-11,322.0,2026-09-15,True,"7,700,000",False,عمارة
6791433,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-محمد-نور-جخدار-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6791433,"عمارة للبيع في شارع محمد نور جخدار, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",6350000.0,625.0,,,,11.0,حي الصفا,جدة,شمال جدة,"🔴🔴 تنبيه الواتس اب لا يعمل 🔴🔴
🔴🔴التواصل عبر الاتصال او عبر الرسائل النصيه🔴🔴

بسم الله والصلاه والسلام على خير البشريه اللهم اني اسئلك من فضلك 
للبيع عماره  تجاريه سكنيه موقع مميز على شارعين  بجده حي الصفا مساحتها 625م مكونه من 5 ادوار ومن 8 شقق ومن 5 غرف وصاله و  4 وعارض وبها مصعد   الدخل 334 الف سنويا قابل للزياده ايجارات قديمه العمر فوق 30 سنه تقريبا من غير الدور الاخير والملحق عمره سنتين المطلوب 6مليون  و 350 الف ريال 🔴🔴 السعر قابل تفاوض للجاد🔴🔴
 للاستفسارات ((الرقم يظهر عند الضغط على اتصال))
موقع العقار على قوقل 

https://maps.app.goo.gl/",21.56615,39.216061,https://images.aqar.fm/webp/750x0/props/000351400_1785083658846.jpg | https://images.aqar.fm/webp/750x0/props/000351406_1785083658849.jpg,2.0,احمد علي سالم حامد,مؤسسة ادوار السعاده العقارية,1.0,2026-07-26,2026-08-24,2026-09-14,504.0,2026-09-15,True,"6,350,000",False,عمارة
6824420,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-محمد-سرور-الصبان-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6824420,"عمارة للبيع في شارع محمد سرور الصبان, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",3000000.0,400.0,,,,11.0,حي الصفا,جدة,شمال جدة,"عماره تجارية للبيع حي الصفا 
المساحه ٤٠٠ متر
شارعين شمالي غربي 
كل دور شقه من ٥ غرف وصاله 
ملحق غرف وصاله ومطبخ 
مصعد 
موقع مميز 
المطلوب ٣ مليون و٢٠٠ الف
جوال ((الرقم يظهر عند الضغط على اتصال))",21.56821,39.213319,https://images.aqar.fm/webp/750x0/props/017030289_1786824068947.jpg | https://images.aqar.fm/webp/750x0/props/017030284_1786824069081.jpg,2.0,عبدالمحسن مسعود احمد العدواني,مؤسسة عبدالمحسن مسعود احمد العدواني للخدمات العقارية,1.0,2026-08-15,2026-09-14,2026-09-15,355.0,2026-09-15,True,"3,000,000",False,عمارة
6855348,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-عمرو-ابن-غزية-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6855348,"عمارة للبيع في شارع عمرو ابن غزية, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",4600000.0,682.0,,,,11.0,حي الصفا,جدة,شمال جدة,"عمارة تجاريه للبيع في حي الصفا – جدة، مساحة٦٨٠ متر،
شارعين شمالي شرقي دورين وملحق،٤ شقق و٤ محلات، العمر حوالي ٢٨ سنة، السعر٥ مليون ريال قابل للتفاوض، دخل متوقع يتجاوز٣٠٠ ألف ريال سنويّا. فرصة استثمارية مميزة مناسبة للتأجير أو إعادة التطوير. للتواصل والمعاينة
((الرقم يظهر عند الضغط على اتصال))",21.589595,39.199323,https://images.aqar.fm/webp/750x0/props/002239558_1788385077755.jpg,1.0,سناء عواد,مؤسسة أضواء المجد للخدمات العقارية,1.0,2026-09-02,2026-09-02,2026-09-14,133.0,2026-09-15,True,"4,600,000",False,عمارة
6860862,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-عبدالله-بن-عرفجه-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6860862,"عمارة للبيع في شارع عبدالله بن عرفجه, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",3000000.0,625.0,,,,11.0,حي الصفا,جدة,شمال جدة,"عمارة استثمارية مميزة للبيع في حي الصفا – جدة
تُعلن مجموعة صالح القرشي العقارية (ترخيص رقم: 7201120326) عن عرض عقاري استثماري فريد بفرص عائد ممتازة وسجلات موثقة.
تفاصيل العقار الأساسية
 الموقع: حي الصفا – ظهيرة طريق أم القرى ونافذ على شارع الشربتلي.
 حالة العقار: عمر العمارة 30 سنة (نظيفة جداً) ومزودة بـ مصعد خارجي.
 التركيب: مكونة من 3 أدوار وملحق (إجمالي 7 شقق).
 الخدمات: 7 عدادات كهرباء مستقلة.
تفاصيل الوحدات السكنية
 6 شقق: تتكون كل شقة من 4 غرف واسعة + صالة + 2 دورة مياه.
 الملحق: يتكون من 3 غرف واسعة بمنافعها + ملحق خارجي كبير + غرفتين خلفيتين.
العائد الاستثماري
 الدخل السنوي: 205,000 ريال سعودي.
 التوثيق: جميع العقود موثقة رسمياً عبر منصة إيجار.",21.583089,39.217408,https://images.aqar.fm/webp/750x0/props/005200890_1788717536883.jpg,1.0,حسام القرشي ,شركة مجموعة صالح رجب محمد القرشي العقارية,1.0,2026-09-06,2026-09-06,2026-09-06,146.0,2026-09-15,True,"3,000,000",False,عمارة
6464833,https://sa.aqar.fm/عمائر-للبيع/جدة/شمال-جدة/حي-الصفا/شارع-عرفجه-بن-أسعد-حي-الصفاء-مدينة-جدة-منطقة-مكة-المكرمة-6464833,"عمارة للبيع في شارع عرفجه بن أسعد, حي الصفاء, مدينة جدة, منطقة مكة المكرمة",2300000.0,480.0,,,,11.0,حي الصفا,جدة,شمال جدة,"شركة سهم الخليج العقارية 
رقم العرض 328
___
للبيع عمارة سكنية في جدة - حي الصفا 
المساحة: 480 متر مربع 
المطلوب: 2,300,000
الدخل الحالي: 103,000 عقود الكترونية 
___
-عدد خمسة شقق 
-شقتين من ثلاثة غرف 
-شقتين من اربعه غرف 
-ملحق من غرفتين
—–
-بالقرب من جامع
-تفتح على حرف T
-خمسة عدادات كهرباء 
-شارع جنوبي عرض 15 متر 
-الاضلاع 20 في 24 متر 
-العمر أكثر من 20 سنة",21.586572,39.209612,https://images.aqar.fm/webp/750x0/props/021331987_1764254401953.jpg | https://images.aqar.fm/webp/750x0/props/021331986_1764254401927.jpg | https://images.aqar.fm/webp/750x0/props/021331989_1764254401934.jpg,3.0,بدور بندر,مكتب سهم الغرب للخدمات العقارية,1.0,2025-11-12,2025-11-12,2026-09-14,5443.0,2026-09-15,True,"2,300,000",False,عمارة
