listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6753131,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-المصانع/شارع-ابن-المخيلى-حي-المصانع-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6753131,"عمارة للبيع في شارع ابن المخيلى, حي المصانع, مدينة المدينة المنورة, منطقة المدينة المنورة",15000000.0,457.0,,,,11.0,حي المصانع,المدينة المنورة,حي المصانع,"فرصة استثمارية نادرة – فندق للبيع بالقرب من الحرم

للبيع فندق بموقع استراتيجي مميز، قريب جدًا من الحرم، مما يجعله من العقارات ذات القيمة الاستثمارية العالية والطلب المستمر طوال العام.

مواصفات العقار:

* فندق مكون من 5 أدوار.
* موقع استثنائي بالقرب من الحرم.
* مناسب للتشغيل الفندقي والاستثمار طويل الأجل.
* فرصة مثالية للمستثمرين الباحثين عن أصل عقاري بعائد واعد في واحدة من أكثر المناطق طلبًا.

يتميز الفندق بسهولة الوصول إلى الحرم، مما يعزز من قيمته التشغيلية والاستثمارية، ويجعله خيارًا مثاليًا للمستثمرين الراغبين في امتلاك عقار في موقع استثنائي.",24.480373,39.611955,https://images.aqar.fm/webp/750x0/props/042486209_1782761932662.png | https://images.aqar.fm/webp/750x0/props/042486207_1782761937887.png | https://images.aqar.fm/webp/750x0/props/042486207_1782761951101.png,3.0,فهد العمري,شركة سديد الوجهة العقارية,1.0,2026-06-29,2026-08-27,2026-09-12,1413.0,2026-09-16,True,"15,000,000",False,عمارة
6647854,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-مذينب/شارع-عبدالله-ابن-ابي-عبيدة-حي-وادي-مذينب-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6647854,"عمارة للبيع في شارع عبدالله ابن ابي عبيدة, حي وادي مذينب, مدينة المدينة المنورة, منطقة المدينة المنورة",11000000.0,1171.0,,,,0.0,حي مذينب,المدينة المنورة,حي مذينب,"عمارة استثمارية للبيع B490
📍 الموقع: جوهرة طيبة البدراني

🔎 مساحة الارض:1,171م
▫️عمارة: 20 وحدة
▫️شارع 30م سكني تجاري 
▫️5 ادوار

▪️ التفاصيل:
🔹5 ادوار 
🔹متوفر نموذجين شقق:
- غرفتين - 3 غرف 
- صالة
- ⁠ مطبخ
- 2 - 3 دورات مياه 

✨ عداد مياه وعداد كهرباء مستقل
⭐️ ألياف بصرية + كاميرات


💰 المطلوب: 11 مليون صافي

💢 السعي: 2.5%",24.436902,39.672105,https://images.aqar.fm/webp/750x0/props/001540783_1776060411488.jpg,1.0,زينب سليم,مؤسسة مكتب بيت الشموخ للعقار,1.0,2026-04-09,2026-09-01,2026-09-15,1280.0,2026-09-16,True,"11,000,000",False,عمارة
6475723,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-السلام/شارع-خباب-بن-الارت-حي-السلام-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6475723,"عمارة للبيع في شارع خباب بن الارت, حي السلام, مدينة المدينة المنورة, منطقة المدينة المنورة",7500000.0,1372.0,,,,11.0,حي السلام,المدينة المنورة,حي السلام,"للبيع عماره تجارية سكنية( رخصة شقق فندقية ) 
مساحة 1370م..
#جنوبي شارع 50 م شرقي مشاة 10م شرقي حديقة وشارع 30م ..
# مؤجرة بالكامل بمبلغ 350 الف سنوي..
المبنى مكون من 45 غرفه و5 صالات + بدروم للمواقف واربع غرف خدمه..
مميزات العقار..
# يبعد عن المسجد النبوي الشريف 4 كيلو تقريبا 
# يبعد عن جامعة طيبة 2 كيلو..
# 2 كيلو من مستشفى الملك فهد.  
# جوار النقل الترددي للحرم النبوي الشريف..
جميع الخدمات متوفره 
ملاحظة/ رخصة العمارة شقق فندقية..
للتواصل من الساعة 4عصرا إلى الساعة 12ليلا
المطلوب  7500000 صافي غير الضريبه والسعي 
على الجوال ((رقم المعلن يظهر عند التواصل))
رخصة الاعلان/  7200758146
 صاحب الترخيص : مؤسسة رموز المدينة للخدمات العقارية",24.465354,39.541705,https://images.aqar.fm/webp/750x0/props/019316456_1763726947989.jpg | https://images.aqar.fm/webp/750x0/props/019316455_1763726948018.jpg | https://images.aqar.fm/webp/750x0/props/019316455_1763726948076.jpg,3.0,محمد الجهني,مؤسسة رموز المدينة للخدمات العقارية,1.0,2025-11-21,2026-08-20,2026-09-11,1456.0,2026-09-16,True,"7,500,000",False,عمارة
6764029,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-قربان/شارع-قربان-9-حي-قربان-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6764029,"عمارة للبيع في شارع قربان 9, حي قربان, مدينة المدينة المنورة, منطقة المدينة المنورة",12850000.0,272.0,,,,11.0,حي قربان,المدينة المنورة,حي قربان,"🏢 عمارة استثمارية للبيع بجوار المسجد النبوي الشريف 🕌✨

📍 موقع استثنائي جنوب شرق المسجد النبوي 🕌 

💎 فرصة عقارية واستثمارية مميزة في أحد أهم المواقع الحيوية والواعدة بالمدينة المنورة، بالقرب من المنطقة المركزية والعديد من المعالم والمشاريع الكبرى.

━━━━━━━━━━━━━━

🏗️ بيانات العقار:

🔸 المساحة: 272 م²
🔹 الواجهة: شرقية جنوبية ☀️ 

🔸 الشارع: شارع العوالي بعرض 27 مترًا
🔹 بالقرب من طريق علي بن أبي طالب

🔸 عدد الأدوار: 3 أدوار
🔹 عدد المحلات: 3 محلات تجارية

🔸 عدد الغرف: 28 غرفة
🔹عدد دوراة المياه : 27 

━━━━━━━━━━━━━━

🌟 مميزات الموقع:

🔹 قريبة من المسجد النبوي الشريف والمنطقة المركزية 🕌
🔸 قريبة من نطاقات تملك غير السعوديين 🌍

🔹 بالقرب من مسجد بلال وسوق بلال 🕌🛍️
🔸 بالقرب من ممشى قباء 🚶‍♂️
🔹 قريبة من المتاحف والمعالم التاريخية الإسلامية 🏛️

🔸 بالقرب من طريق الملك عبدالعزيز 🛣️
🔹 سهولة الوصول إلى محطة قطار الحرمين والمطار 🚆✈️

━━━━━━━━━━━━━━

📈 فرصة استثمارية واعدة:

🔸 إمكانية إعادة تطوير المبنى واستغلال الموقع المميز 🏗️
🔹 بالقرب من مشروع رؤى المدينة 🌆

🔸 قريبة من نطاقات تملك غير السعوديين 🌍
🔹 فرص واعدة لنمو القيمة العقارية مستقبلًا 📊

🔸 موقع ذو قيمة استثمارية عالية 💰
🔹 منطقة واعدة بمستقبل استثماري مميز بإذن الله 🚀

━━━━━━━━━━━━━━

💰 المطلوب: 13,000,000 ريال صافي .


فضلا التواصل من الجاد على الواتساب 🌹📲",24.462375,39.619223,https://images.aqar.fm/webp/750x0/props/029577434_1783436735829.jpg | https://images.aqar.fm/webp/750x0/props/029577432_1783436791110.jpg | https://images.aqar.fm/webp/750x0/props/029577434_1783436825740.jpg | https://images.aqar.fm/webp/750x0/props/029577432_1783436841944.jpg | https://images.aqar.fm/webp/750x0/props/029577431_1783436841932.jpg | https://images.aqar.fm/webp/750x0/props/029577431_1783436841956.jpg | https://images.aqar.fm/webp/750x0/props/029577434_1783436851199.jpg,7.0,فيصل محمد,,,2026-07-07,2026-09-03,2026-09-03,969.0,2026-09-16,True,"12,850,000",False,عمارة
6836850,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-الشريبات/شارع-احمد-بن-شيبان-حي-الشريبات-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6836850,"عمارة للبيع في شارع احمد بن شيبان, حي الشريبات, مدينة المدينة المنورة, منطقة المدينة المنورة",8500000.0,1158.0,,,,11.0,حي الشريبات,المدينة المنورة,حي الشريبات,"🏨 فرصة استثمارية مميزة | أرض تجارية برخصة فندق في حي الشريبات
فرصة استثمارية واعدة في موقع حيوي واستراتيجي بالمدينة المنورة في حي الشريبات، الأرض جاهزة برخصة بناء فندقية معتمدة وتصميم هندسي متكامل.
📌 تفاصيل العقار:
 * الموقع: المدينة المنورة – حي الشريبات (بلدية العوالي)
 * المساحة الإجمالية: 1,158.71 م²
 * نوع البناء: تجاري (فندق)
 * رقم المخطط: 355/ت/26
 * رقم القطعة: 2-66
🏗️ تفاصيل رخصة البناء والمشروع:
 * وصف المبنى: فندق (بدروم + أرضي + 7 أدوار متكررة)
 * إجمالي مساحة البناء: 7,091.26 م²
 * عدد الوحدات الفندقية: 91 وحدة فندقية
 * المواقف: بدروم كامل مخصص للمواقف بمساحة 1,158.71 م²
 * نسبة البناء: 56.95%
 * حالة الرخصة: سارية المفعول
📐 الأبعاد والواجهات (الشوارع):
 * الشمال: رقم 64 شارع أحمد بطول 25.3 م (بروز 2م)
 * الجنوب: ممر بعرض 10م بطول 25 م (بروز 2م)
 * الشرق: قطعة رقم 65 شارع بطول 45.7 م (بروز 2م)
 * الغرب: شارع بعرض 20م بطول 47 م (بروز 3م)
💰 السعر والبيانات المالية:
 * سعر المتر: 7,500 ريال (قابل للتفاوض)
 * الإجمالي التقريبي: 8,690,325 ريال (قابل للتفاوض)
📍 موقع العقار على الخريطة:
https://maps.app.goo.gl/Yg2rPFBJh3347Jms8?g_st=ic
📞 للتواصل والاستفسار:
 * المسوق العقاري: أحمد الحربي
 * جوال: ((الرقم يظهر عند الضغط على اتصال))",24.452966,39.642146,https://images.aqar.fm/webp/750x0/props/016381638_1787484985225.jpg | https://images.aqar.fm/webp/750x0/props/016381633_1787484984794.jpg | https://images.aqar.fm/webp/750x0/props/016381630_1787484985211.jpg | https://images.aqar.fm/webp/750x0/props/016381639_1787485123267.jpg,4.0,احمد بن صالح بن رجاء العوفي,,,2026-08-23,2026-08-23,2026-09-10,92.0,2026-09-16,True,"8,500,000",False,عمارة
6622804,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-العريض/حي-شارع-الامير-عبدالمجيد-بن-عبدالعزيز-حي-بني-معاوية-المدينة-المنورة-منطقة-المدينة-المنورة-6622804,"عمارة للبيع في شارع الامير عبدالمجيد بن عبدالعزيز, حي بنى معاوية, مدينة المدينة المنورة, منطقة المدينة المنورة",12750000.0,1361.0,,,,11.0,حي العريض,المدينة المنورة,حي العريض,"مساحة الارض: ١٣٦١.٢٥ م٢
الرخصة معدلة شقق مفروشة
واجهتين امامية وخلفية

بدورم مواقف بمدخل ومخرج منفصل + ارضي استقبال ووحدتين ومكاتب ادارة + ٥ ادوار متكررة + ملحق خدمات وسطح 

عدد الوحدات: ٣٢ وحدة 
٢١ وحدة نوع غرفتين وصالة ومطبخ ودورة مياه
١٠ وحدات نوع ٣ غرف وصالة ومطبخ ودورتين مياه 
شقة واحدة نوع غرفة وصالة ومطبخ ودورة مياه

العمارة مؤثثة بالكامل ومجهزة بجميع انظمة السلامة اللازمة لتشغيل المبنى وتم تجديدها ولم يتم استخدامها بعد التجديد وجاهزة للاستخدام",24.474976,39.631466,https://images.aqar.fm/webp/750x0/props/035975106_1773345743304.jpg | https://images.aqar.fm/webp/750x0/props/035975106_1773345742595.jpg | https://images.aqar.fm/webp/750x0/props/035975105_1773345743315.jpg | https://images.aqar.fm/webp/750x0/props/035975105_1773345743294.jpg | https://images.aqar.fm/webp/750x0/props/035975104_1773345743307.jpg | https://images.aqar.fm/webp/750x0/props/035975108_1773345743310.jpg | https://images.aqar.fm/webp/750x0/props/035975104_1773345743286.jpg | https://images.aqar.fm/webp/750x0/props/035975104_1773345743308.jpg,8.0,محمد عبدالله,,,2026-03-12,2026-03-12,2026-08-03,1427.0,2026-09-16,True,"12,750,000",False,عمارة
6822171,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-مسجد-الدرع/شارع-الحباب-ابن-عمرو-الانصاري-حي-الدرع-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6822171,"عمارة للبيع في شارع الحباب ابن عمرو الانصاري, حي الدرع, مدينة المدينة المنورة, منطقة المدينة المنورة",20000000.0,616.0,,,,0.0,حي مسجد الدرع,المدينة المنورة,حي مسجد الدرع,"للبيع 3 عماير استثمارية قريبة من الحرم
للبيع عدد 3 عماير في حي مسجد الدرع، موقع مميز وقريب من الحرم.
تفاصيل كل عمارة:
• عدد الأدوار: 4 أدوار
• في كل دور 4 شقق:
• شقتان: غرفتين + صالة + مطبخ + حمام
• شقتان: 3 غرف + صالة + مطبخ + حمام
• مجموع الشقق في العمارة الواحدة: 16 شقة
• مجموع الشقق في العماير الثلاث: 48 شقة
مميزات الموقع:
• حي هادئ ومطلوب
• قريب من الحرم
• مناسب للسكن أو الاستثمار",24.488996,39.604131,https://images.aqar.fm/webp/750x0/props/029375953_1786714396065.jpg | https://images.aqar.fm/webp/750x0/props/029375953_1786714396035.jpg,2.0,عمر بن محمد بن علي القرني,,,2026-08-14,2026-08-14,2026-08-30,213.0,2026-09-16,True,"20,000,000",False,عمارة
6616853,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-بني-معاوية/شارع-فلسطين-حي-بنى-معاوية-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6616853,"عمارة للبيع في شارع فلسطين, حي بنى معاوية, مدينة المدينة المنورة, منطقة المدينة المنورة",8500000.0,340.0,,,,11.0,حي بني معاوية,المدينة المنورة,حي بني معاوية,"عمارة تجارية سكنية ،، شمالي غربي
قريبة من الحرم تبعد 17 دقيقة مشي

المساحة ٣٤٠م

اجمالي عدد الشقق ١٢ شقة

تتكون من ٤ ادوار و كل دور فيه ٣ شقق 

تتكون الشقة من ٣ غرف + صاله + مطبخ + ٢ دورات مياه

+ شقة ارضية تتكون من غرفتين و صالة 

+ 4 غرف ارضية 

+ ٤ محلات مؤجره بعقد واحد 100 الف سنوي لمدة 5 سنوات 

مؤسس فيها اصنصير

مؤجره بالكامل 
دخلها السنوي تقريباً 225 الف 

المدينة المنورة / قريبه من المسجد النبوي 

حي بني معاوية شارع فلسطين

صك الكتروني

للبيع و للاستثمار


السالم للعقار 
0557202646",24.477045,39.626455,https://images.aqar.fm/webp/750x0/props/008962415_1772839237875.jpg | https://images.aqar.fm/webp/750x0/props/008962412_1772839412523.jpg,2.0,فيحاء معيبد,مكتب ركن السالم للعقار,1.0,2026-03-06,2026-08-28,2026-08-28,848.0,2026-09-16,True,"8,500,000",False,عمارة
6829091,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-بني-عبدالاشهل/شارع-فراس-ابن-يحى-الهمداني-حي-بنى-عبد-الأشهل-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6829091,"عمارة للبيع في شارع فراس ابن يحى الهمداني, حي بنى عبد الأشهل, مدينة المدينة المنورة, منطقة المدينة المنورة",11000000.0,562.0,,,,11.0,حي بني عبدالاشهل,المدينة المنورة,حي بني عبدالاشهل,"العمارة عبارة عن أربعة ادوار +ملحق 80٪ 
-مساحة الدور 370 م2(مكرر)
-مساحة الأرضي 320 م2
مظلة على حديقة الحي ومسجد
قريبة من المنطقة المركزية للحرم النبوي
في كل طابق شقة 6 غرف وصالتين كبيرة  ومطبخ كبير واربع حمامات 
دخلها السنوي اكثر من 200000 الف ريال",24.482324,39.618873,https://images.aqar.fm/webp/750x0/props/003245845_1787061656093.jpg,1.0,هشام بن خليل بن حسين سبيب,شركة جادة قباء للتطوير والاستثمار العقاري ,1.0,2026-08-18,2026-08-18,2026-08-18,185.0,2026-09-16,True,"11,000,000",False,عمارة
6736370,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-الروابي/شارع-خبيب-ابن-عدي-حي-الروابي-المدينة-المنورة-منطقة-المدينة-المنورة-6736370,"عمارة للبيع في شارع خبيب بن عدي, حي الروابي, مدينة المدينة المنورة, منطقة المدينة المنورة",14000000.0,675.0,,,,8.0,حي الروابي,المدينة المنورة,حي الروابي,مؤجرة بدخل ممتاز - للمزيد من التفصيل مراجعة الصور لايضاحات اكثر امل التواصل,24.422335,39.643383,https://images.aqar.fm/webp/750x0/props/001027800_1788920796877.jpg | https://images.aqar.fm/webp/750x0/props/001027802_1781693846824.jpg | https://images.aqar.fm/webp/750x0/props/001027801_1781694214850.jpg | https://images.aqar.fm/webp/750x0/props/001027802_1781694214835.jpg | https://images.aqar.fm/webp/750x0/props/001027801_1781694214851.jpg | https://images.aqar.fm/webp/750x0/props/001027807_1781694214829.jpg | https://images.aqar.fm/webp/750x0/props/001027802_1781694214851.jpg,7.0,بكر كردي,,,2026-06-17,2026-06-17,2026-09-15,781.0,2026-09-16,True,"14,000,000",False,عمارة
