listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6807462,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-بطحاء-قريش/شارع-ابن-يعقوب-الجميل-حي-بطحاء-قريش-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6807462,"عمارة للبيع في شارع ابن يعقوب الجميل, حي بطحاء قريش, مدينة مكة المكرمة, منطقة مكة المكرمة",3200000,561,,,,11,حي بطحاء قريش,مكة المكرمة,حي بطحاء قريش,"•	عمر العقار: 15 سنة.
	•	عدد الشقق: 6 شقق.
	•	خمس شقق مكونة من:
	•	4 غرف.
	•	صالة.
	•	3 دورات مياه.
	•	مطبخ بنظام أمريكي.
	•	شقة واحدة مكونة من:
	•	5 غرف.
	•	صالة.
	•	4 دورات مياه.
	•	مطبخ بنظام أمريكي.
	•	يوجد مصعد.
	•	خزان مياه كبير يتسع لـ 8 تريلات.
	•	مياه حكومية والصرف الصحي موصول.
	•	لكل شقة عداد كهرباء مستقل.
	•	توجد غرفة حارس.
	•	لا يوجد ملحق",21.36762,39.821201,https://images.aqar.fm/webp/750x0/props/052849433_1785940712966.jpg,1,أحمد علي فايز,شركة أرسان الحجاز العقارية,1,2026-08-05,2026-09-03,2026-09-19,299,2026-09-20,True,"3,200,000",False,عمارة
6866579,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-النزهة/شارع-عبد-الملك-بن-عبد-الملك-بن-درباس-حي-النزهة-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6866579,"عمارة للبيع في شارع عبد الملك بن عبد الملك بن درباس, حي النزهة, مدينة مكة المكرمة, منطقة مكة المكرمة",3000000,604,,,,11,حي النزهة,مكة المكرمة,حي النزهة,"عمارة سكنية بحي الستين مكة المكرمة
مساحة الأرض 610 متر مربع
الواجهة غربية
شارع 20 متر
يبعد العقار 1 كيلو من الطريق الدائري الثالث - ويبعد 15 دقيقة عن المسجد الحرام
عمر العقار 30 سنة (مرمم حديثاً)
العمارة مكونة من دور تسوية + أرضي + 2 متكرر + ملحق (يوجد مصعد)
دور التسوية يوجد به غرفة سائق ومستودع صغير ومواقف لعدد 3 سيارات بالإضافة الى صالة استقبال كبيرة
الدور الأرضي شقة منفصلة بمدخل وحوش منفصل تحتوي على 5 غرف وصالة كبيرة مفتوحة وأربع دورات مياه ومطبخ بمخزن 
الدورين المتبقية بنظام فيلا دوبلكس مفتوحة على بعض كل دور به 5 غرف وعدد 2 صالون كبير وصالة كبيرة مفتوحة في وسط المنزل وسبعة دورات مياه وعدد 2 مطبخ كبير
الملحق يوجد به غرفة خادمة وغرفة غسيل وسطح كبير
يوجد 4 عدادات كهرباء
جميع الخدمات المطلوبة متوفرة (كهرباء - هاتف - مياه - صرف صحي - مدارس - مطاعم - مراكز تسوق - بنوك - حدائق - مستشفى - مركز شرطة - الدفاع المدني)

المطلوب: 3 مليون و 500 ألف ريال سعودي (قابلة للتفاوض)

موقع العقار: https://maps.app.goo.gl/ME5b28jUq8sAJf797",21.436881,39.784236,https://images.aqar.fm/webp/750x0/props/053371665_1788971621449.jpg | https://images.aqar.fm/webp/750x0/props/053371663_1788971621567.jpg | https://images.aqar.fm/webp/750x0/props/053371665_1788971621448.jpg | https://images.aqar.fm/webp/750x0/props/053371663_1788971621448.jpg,4,نائفه تركي,مؤسسة بن هشبل العقارية,1,2026-09-09,2026-09-09,2026-09-19,75,2026-09-20,True,"3,000,000",False,عمارة
6776975,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-بطحاء-قريش/شارع-ابان-بن-سعيد-بن-العاص-حي-بطحاء-قريش-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6776975,"عمارة للبيع في شارع ابان بن سعيد بن العاص, حي بطحاء قريش, مدينة مكة المكرمة, منطقة مكة المكرمة",3300000,500,,,,11,حي بطحاء قريش,مكة المكرمة,حي بطحاء قريش,"""رقم العرض :GD 8072
 نوع العرض : عمارة سكنية للبيع 
الحي : بطحاء قريش - مكة المكرمة 
المساحة : 500 م
المواصفات : 
تقع العمارة على شارعين :
شارع تجاري 35 و شارع فرعي 15
بالقرب من جامع كبير و مدرسة بنات
و بالقرب من الدفاع المدني
و بالقرب من خدمات أخرى 
العمارة مكونة من 3 أدوار
كل دور شقتين
 الدور  1 و الدور 2 :
 كل شقة تتكون من / 3 غرف + 2 دورات مياه +  مطبخ + صالة
الدور 3 : 
الشقتين مشطبة 70٪ يعني
( السباكة الكهرباء  اللياسة  )
 الشقة الاولى : مكونة من : 4 غرف + 2 دورات مياه + مطبخ + صالة

 الشقة الثانية : مكونة من / 3 غرف + 2 دورات مياه + مطبخ + صالة
الدور الاول : عمره 20 سنة
الدور الثاني :  عمره 15 سنة
الدور الثالث : عمره 5 سنين
رقم الترخيص : 7201045001
المطلوب : 3.300.000 صافي 

الموقع : https://maps.app.goo.gl/ZTgYspLf3rJrGut76?g_st=ac""",21.360228,39.827279,https://images.aqar.fm/webp/750x0/props/008864195_1784211510052.jpg | https://images.aqar.fm/webp/750x0/props/008864196_1784211510058.jpg | https://images.aqar.fm/webp/750x0/props/008864198_1784211510061.jpg,3,عمر العقل,مؤسسة مكتب الصفقه الذهبيه العقارية,1,2026-07-16,2026-09-12,2026-09-16,472,2026-09-20,True,"3,300,000",False,عمارة
6698181,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-البيبان/شارع-شارع-62-ساحة-اسلام-حي-البيبان-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6698181,"عمارة للبيع في شارع شارع 62 ساحة اسلام, حي البيبان, مدينة مكة المكرمة, منطقة مكة المكرمة",17500000,897,,,,3,حي البيبان,مكة المكرمة,حي البيبان,"فرصة استثمارية نادرة – عمارة جاهزة للدخل في مكة (جرول – البيبان)

موقع استثنائي بجوار
فندق Mövenpick Hotel & Residence Hajar Tower Makkah

وقريب من أوقاف الراجحي
يبعد عن أنفاق الحرم ~1.5 كم
(حوالي 15 دقيقة مشي)

⸻

العقار باختصار:

* المساحة الإجمالية: 898 م²
* مبني على كامل 400 م²
* أرض إضافية 500 م² (محوشة – على 3 شوارع)

⸻

التشغيل والدخل:

* مهيأ بالكامل لتأجير الحجاج
* دخل سنوي مثبت: 500,000 إلى 700,000 ريال
* تصاريح الحج مكتملة وجاهزة

⸻

مكونات المبنى:

* 5 أدوار
* 38 غرفة
* 214 سرير
* 10 شقق (كل شقة 5 غرف)
* مصعد + أنظمة سلامة + مخارج طوارئ
* مضخة مياه ضغط عالي
* محطة كهرباء جاهزة

⸻

ليش تعتبر صفقة قوية؟

* موقع يخدم الحجاج مباشرة
* تشغيل جاهز بدون تجهيز إضافي
* أرض إضافية تعطيك مرونة تطوير مستقبلي
* محيط فندقي عالي القيمة

⸻

السعر:
23٫000٫000﷼
قابل للتفاوض",21.432869,39.807809,https://images.aqar.fm/webp/750x0/props/003213381_1778843405577.jpg | https://images.aqar.fm/webp/750x0/props/003213388_1778843405594.jpg,2,عادل عبدالفتاح,,,2026-05-15,2026-05-15,2026-09-18,368,2026-09-20,True,"17,500,000",False,عمارة
6782030,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-العزيزية/شارع-المطوف-حي-العزيزية-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6782030,"عمارة للبيع في شارع المطوف, حي العزيزية, مدينة مكة المكرمة, منطقة مكة المكرمة",14500000,1014,,,,11,حي العزيزية,مكة المكرمة,حي العزيزية,$6e,21.411499,39.861624,https://images.aqar.fm/webp/750x0/props/001112560_1784544022956.jpg | https://images.aqar.fm/webp/750x0/props/001112563_1784544096454.png | https://images.aqar.fm/webp/750x0/props/001112567_1784546332378.jpg | https://images.aqar.fm/webp/750x0/props/001112561_1784546332345.jpg | https://images.aqar.fm/webp/750x0/props/001112568_1784546706996.jpg | https://images.aqar.fm/webp/750x0/props/001112568_1784546706976.jpg | https://images.aqar.fm/webp/750x0/props/001112560_1784546706992.jpg | https://images.aqar.fm/webp/750x0/props/001112567_1784546744175.jpg | https://images.aqar.fm/webp/750x0/props/001112564_1784546744191.jpg | https://images.aqar.fm/webp/750x0/props/001112562_1784546744212.jpg | https://images.aqar.fm/webp/750x0/props/001112569_1784546744229.jpg | https://images.aqar.fm/webp/750x0/props/001112561_1784546744256.jpg | https://images.aqar.fm/webp/750x0/props/001112567_1784546744252.jpg | https://images.aqar.fm/webp/750x0/props/001112568_1784546744264.jpg | https://images.aqar.fm/webp/750x0/props/001112567_1784546744273.jpg | https://images.aqar.fm/webp/750x0/props/001112569_1784546744293.jpg | https://images.aqar.fm/webp/750x0/props/001112561_1784546744299.jpg | https://images.aqar.fm/webp/750x0/props/001112567_1784546744314.jpg | https://images.aqar.fm/webp/750x0/props/001112569_1784546744321.jpg | https://images.aqar.fm/webp/750x0/props/001112568_1784546744389.jpg | https://images.aqar.fm/webp/750x0/props/001112565_1784546744397.jpg | https://images.aqar.fm/webp/750x0/props/001112569_1784546744341.jpg | https://images.aqar.fm/webp/750x0/props/001112563_1784546744349.jpg | https://images.aqar.fm/webp/750x0/props/001112560_1784546981954.jpg | https://images.aqar.fm/webp/750x0/props/001112563_1784546981945.jpg | https://images.aqar.fm/webp/750x0/props/001112561_1784546981911.jpg | https://images.aqar.fm/webp/750x0/props/001112566_1784546981926.jpg | https://images.aqar.fm/webp/750x0/props/001112567_1784547040601.jpg,28,همدان بن احمد بن هادي الكثيري,شركة الياسمين لإدارة و تطوير العقارات,1,2026-07-20,2026-09-16,2026-09-16,446,2026-09-20,True,"14,500,000",False,عمارة
6472264,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-البيبان/شارع-شارع-1-ساحة-اسلام-حي-البيبان-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6472264,"عمارة للبيع في شارع شارع 1 ساحة اسلام, حي البيبان, مدينة مكة المكرمة, منطقة مكة المكرمة",750000,220,,,,11,حي البيبان,مكة المكرمة,حي البيبان,"للبيع عمارة مكونه من 5 شقق 
 حي البيان مساحة 220
 قريبة جداً لجامعة ام القرى 
٥ شقق بعدادات منفصله
كل شقة ٣ غرف ودورتين مياه 
حاليا ثلاث شقق ماجره
(السعي والضريبة على المشتري )
 السعر 750الف
التواصل ((رقم المعلن يظهر عند التواصل))",21.438352,39.806297,https://images.aqar.fm/webp/750x0/props/014701542_1763478668575.jpg | https://images.aqar.fm/webp/750x0/props/014701546_1763478672800.jpg,2,فارس عبدالرحمن,,,2025-11-18,2025-11-18,2026-09-20,1441,2026-09-20,True,"750,000",False,عمارة
6637458,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-الزهراء/حي-الزهراء-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6637458,"عمارة للبيع في حي الزهراء, مدينة مكة المكرمة, منطقة مكة المكرمة",22000000,244,,,,11,حي الزهراء,مكة المكرمة,حي الزهراء,"للبيع موقع تجاري 
✔️ في مكه المكرمة 
✔️الحي : الهنداوية 
✔️المساحة : ٢٤٤.٨م
✔️الشارع جنوبا : ١٨.٢٠م 

💰السعر المطلوب ٢٢ مليون ريال
قابل لتفاوض 

ملحوظة :
١- العقار مكون من بيت دورين وحوش .
٢- الصك الكتروني صادر عام ١٤٤٠ هجري  
٣- الموقع استراتيجي يفتح على مقابل  
طريق الملك عبدالعزيز الموازي ( مسار مكة) وانت نازل بعد كبري المنصور قديما ( طريق ام القرى سابقا) (طريق الامير محمد بن سلمان)
٤-يوجد خمسة محلات تجارية في المبنى
٥-يوجد صك الكتروني و شهادة امتثال للبيت

للاستفسار 

0536265625
المطرفي للإستثمارات العقارية 
يشرفنا خدمتكم في جميع مخططات مكة وجدة بيع وشراء وتسويق الأراضي والفلل وشقق",21.422758,39.80507,https://images.aqar.fm/webp/750x0/props/000252569_1775036027309.jpg | https://images.aqar.fm/webp/750x0/props/000252564_1775036065473.jpg | https://images.aqar.fm/webp/750x0/props/000252568_1775036037005.jpg | https://images.aqar.fm/webp/750x0/props/000252568_1775036037007.jpg,4,عمرو يحي بن سهل المطرفى,مؤسسة عمرو يحي سهل المطرفي للعقار,1,2026-04-01,2026-08-24,2026-09-16,2018,2026-09-20,True,"22,000,000",False,عمارة
6723371,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-الملك-فهد/شارع-أبو-الحسن-الماوردي-حي-الشامية-الجديد-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6723371,"عمارة للبيع في شارع أبو الحسن الماوردي, حي الشامية الجديد, مدينة مكة المكرمة, منطقة مكة المكرمة",5500000,609,,,,0,حي الملك فهد,مكة المكرمة,حي الملك فهد,"للبيع بالكامل بالكاش عمارة جديدة في مخطط ولي العهد 3 بمكة المكرمة  ((يقبل الوقف ))
مساحة الارض : 609 م
عدد الشقق : 8 شقق
عدد الادوار : مواقف سيارات + 3 ادوار متكررة + ملحق به شقتين وسطح مستقل
مسطحات البناء : 2000 م
العمر : جديدة
الموقع : مكة المكرمة مخطط ولي العهد رقم 3 
🔹مكونات الشقق :-
▫️كل شقة بمدخلين وخزانين مياه سفلي وعلوي مستقل خاصة بكل شقة.
▫️تتكون الشقة من 5 غرف وصالة و3 دورات مياه ومطبخ راكب وغرفة غسيل وغرفة خادمة بحمام مستقل
_ تفصيل الشقق راقي ويوجد بها مكيفات اسبيليت جديدة ودواليب المطبخ راكبة 
مصعد جديد من شركة شلندلر 
العمارة على شارعين وامامها مسجد وشوارعها عريضة 25 م و 15 م والواجهتين رخام ابيض ورصاصي 
المطلوب : 5.500.000﷼ 
خمسة مليون وخمسمائة الف ريال سعودي
بيع ب 5،500.000
اجار ب 280.000",21.303519,39.687937,https://images.aqar.fm/webp/750x0/props/052803935_1780868619272.jpg | https://images.aqar.fm/webp/750x0/props/052803933_1780868619189.jpg | https://images.aqar.fm/webp/750x0/props/052803936_1780868619341.jpg | https://images.aqar.fm/webp/750x0/props/052803934_1780868619365.jpg,4,أحمد علي فايز,شركة أرسان الحجاز العقارية,1,2026-06-07,2026-09-03,2026-09-19,371,2026-09-20,True,"5,500,000",False,عمارة
6505193,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-الرصيفة/شارع-شارعسالم-بن-عوف-الخزرجي-حي-الخالدية-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6505193,"عمارة للبيع في شارع شارعسالم بن عوف الخزرجي, حي الخالدية, مدينة مكة المكرمة, منطقة مكة المكرمة",2100000,500,,,,11,حي الرصيفة,مكة المكرمة,حي الرصيفة,"بمكة المكرمة - حي الرصيفة 
عقار سكني للبيع 
المساحة : 500 م 
- مكون من 4 شقق 
- عمر العقار 25 سنة 
- موقع مميز بجوار جميع الخدمات 
- بجوار حديقة 
- بجوار مسجد 

للتواصل : ((رقم المعلن يظهر عند التواصل))",21.400916,39.788561,https://images.aqar.fm/webp/750x0/props/001124624_1765645967381.jpg,1,عدنان سعد,مكتب كيان العاصمة للعقار,1,2025-12-13,2025-12-13,2026-09-16,2750,2026-09-20,True,"2,100,000",False,عمارة
6785232,https://sa.aqar.fm/عمائر-للبيع/مكة-المكرمة/حي-الملك-فهد/شارع-محمد-السليماني-حي-حارة-الباب-الجديد-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6785232,"عمارة للبيع في شارع محمد السليماني, حي حارة الباب الجديد, مدينة مكة المكرمة, منطقة مكة المكرمة",2000000,541,,,,0,حي الملك فهد,مكة المكرمة,حي الملك فهد,"للبيع عمارة تجارية سكنية في مدينة مكة المكرمة مخطط ولي العهد 2 داخل حد الحرم
مساحة الارض: 541
على شارع تجاري 32م بالقرب من التجاري 52م
تتكون من دور ارضي مكون من 5 محلات تجارية + ميزان فيه 5 غرف
المطلوب: مليونين قابل للتفاوض بالمعقول
ترخيص اعلان: 7201037780
التواصل: ((الرقم يظهر عند الضغط على اتصال))",21.318632,39.709367,https://images.aqar.fm/webp/750x0/props/009381006_1784717204388.jpg | https://images.aqar.fm/webp/750x0/props/009381009_1784717204371.jpg | https://images.aqar.fm/webp/750x0/props/009381000_1784717204373.jpg | https://images.aqar.fm/webp/750x0/props/009381003_1784717204366.jpg | https://images.aqar.fm/webp/750x0/props/009381000_1784717204396.jpg | https://images.aqar.fm/webp/750x0/props/009381006_1784717204387.jpg | https://images.aqar.fm/webp/750x0/props/009381007_1784717204459.jpg,7,اوسيد عبدالمنعم,مؤسسة روح المدى,1,2026-07-22,2026-09-18,2026-09-18,495,2026-09-20,True,"2,000,000",False,عمارة
