listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6713515,https://sa.aqar.fm/فلل-للبيع/مكة-المكرمة/حي-الملك-فهد/شارع-البهاء-الحنبلي-حي-الشامية-الجديد-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6713515,"فيلا للبيع في شارع البهاء الحنبلي, حي الشامية الجديد, مدينة مكة المكرمة, منطقة مكة المكرمة",850000,300,7,,,0,حي الملك فهد,مكة المكرمة,حي الملك فهد,"1036
✨فيلا فاخرة للبيع ✨
✨بولي العهد مخطط 8✨
✨المساحه 300م✨
✨السعر 850 الف قابل للتفاوض
    ✨ دور وملحق✨
           ✨ بتكون من 👇✨
✨حوش✨ مدخل سياره ✨مجلس رجال بحمام ومغاسل ✨مقلط ✨ صاله كبيره ✨
✨عدد 2غرفه بحمام خارجي 
✨غرفه ماستر ✨ 
مطبخ مغلق✨ غرفه خادمه
          ✨الملحق✨ 
         ✨بتكون من👇✨
✨صاله ✨ عدد 2 غرفه بحمام ومغاسل خارجي ✨
✨اوفس✨ سطح خلفي✨
         ✨ملحوظه✨
✨درج خارجي✨
✨يوجد مدخلين ✨
✨مصعد كهرباء متاسس✨
✨خزانات سفلي وعلوي✨
✨النظام الذكي✨
✨متلاصقه✨
✨شارع 15م✨
✨يوجدجميع الضمانات✨",21.319926,39.692849,https://images.aqar.fm/webp/750x0/props/001185375_1780223439768.jpg | https://images.aqar.fm/webp/750x0/props/001185378_1780223439228.jpg | https://images.aqar.fm/webp/750x0/props/001185377_1780223439238.jpg | https://images.aqar.fm/webp/750x0/props/001185371_1780223439321.jpg | https://images.aqar.fm/webp/750x0/props/001185376_1780223439359.jpg | https://images.aqar.fm/webp/750x0/props/001185379_1780223439406.jpg | https://images.aqar.fm/webp/750x0/props/001185376_1780223439486.jpg | https://images.aqar.fm/webp/750x0/props/001185370_1780223439486.jpg | https://images.aqar.fm/webp/750x0/props/001185377_1780223439540.jpg | https://images.aqar.fm/webp/750x0/props/001185378_1780223439616.jpg | https://images.aqar.fm/webp/750x0/props/001185371_1780223439627.jpg | https://images.aqar.fm/webp/750x0/props/001185376_1780223439680.jpg | https://images.aqar.fm/webp/750x0/props/001185372_1780223439781.jpg | https://images.aqar.fm/webp/750x0/props/001185378_1780223439823.jpg | https://images.aqar.fm/webp/750x0/props/001185374_1780223439857.jpg | https://images.aqar.fm/webp/750x0/props/001185371_1780223439946.jpg | https://images.aqar.fm/webp/750x0/props/001185377_1780223439986.jpg | https://images.aqar.fm/webp/750x0/props/001185372_1780223440004.jpg | https://images.aqar.fm/webp/750x0/props/001185374_1780223440071.jpg | https://images.aqar.fm/webp/750x0/props/001185379_1780223440070.jpg | https://images.aqar.fm/webp/750x0/props/001185370_1780223440118.jpg | https://images.aqar.fm/webp/750x0/props/001185374_1780223440203.jpg | https://images.aqar.fm/webp/750x0/props/001185376_1780223440224.jpg,23,هدى علي عشوي العنزي,مكتب هدى علي عشوي العنزي العقارية,1,2026-05-31,2026-06-29,2026-09-20,1103,2026-09-20,True,"850,000",False,فيلا
6782261,https://sa.aqar.fm/فلل-للبيع/مكة-المكرمة/حي-البحيرات/شارع-الاميره-الجوهره-بنت-عبدالعزيز-حي-البحيرات-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6782261,"فيلا للبيع في شارع الاميره الجوهره بنت عبدالعزيز, حي البحيرات, مدينة مكة المكرمة, منطقة مكة المكرمة",1500000,875,14,7,3,11,حي البحيرات,مكة المكرمة,حي البحيرات,"للبيع فيلا بدروم ودورين وملحق في مكة حي التنعيم رقم 3 

مساحة الارض 875م 
شارع 32م 
نظام شقق كل دور شقه 

التفاصيل 
بدروم مفتوح + غرفه بدورة مياه 

الدور الارضي موقف سياره 

شقه من 5 غرف وصاله ومطبخ و٣ دوره مياه مدخلين 

الدور الأول 
شقه من 6 غرف وصاله ومطبخ و٣ دوره مياه مدخلين 

الملحق شقه غرفتين بحمام وصالة ومطبخ + سطوح 
السعر مليون و٥٠٠ الف 
للاستفسار 

((الرقم يظهر عند الضغط على اتصال))
المطرفي للإستثمارات العقارية 
يشرفنا خدمتكم في جميع مخططات مكة وجدة بيع وشراء وتسويق الأراضي والفلل وشقق والاستراحات",21.508452,39.783655,https://images.aqar.fm/webp/750x0/props/000252560_1784552315835.jpg | https://images.aqar.fm/webp/750x0/props/000252569_1784552224809.jpg | https://images.aqar.fm/webp/750x0/props/000252561_1784552315755.jpg | https://images.aqar.fm/webp/750x0/props/000252562_1784552315826.jpg | https://images.aqar.fm/webp/750x0/props/000252562_1784552315863.jpg,5,عمرو يحي بن سهل المطرفى,مؤسسة عمرو يحي سهل المطرفي للعقار,1,2026-07-20,2026-09-16,2026-09-16,906,2026-09-20,True,"1,500,000",False,فيلا
6818685,https://sa.aqar.fm/فلل-للبيع/مكة-المكرمة/حي-العكيشية/شارع-الحارث-بن-أبي-ربيعه-المخزومي-حي-القشاشية-الجديد-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6818685,"فيلا للبيع في شارع الحارث بن أبي ربيعه المخزومي, حي القشاشية الجديد, مدينة مكة المكرمة, منطقة مكة المكرمة",780000,247,6,,,0,حي العكيشية,مكة المكرمة,حي العكيشية,"1012
🏡 فيلل فاخرة للبيع 
📍 الحي ولى العهد 7 امام حديقة
📐 مساحة 200 متر 
💰 السعر: 780 ألف 
🔻 دورين 
🛏️عدد الغرف 6
🔻الدور الارضى يتكون من 
▪️مجلس رجال بحمام ومغاسل
▪️صالة 
▪️مطبخ مغلق 
▪️ مجلس نسا بحمام ومغاسل 
▪️ مستودع 
▪️حوش خلفي 

🔻 الدور الأول يتكون من 
▪️صالة 
▪️ ثلاث غرف بحمام خارجى 
▪️ غرفة ماستر 

✅ المميزات:
✅ مدخلين
✅مدخل دابل هايت 
✅سكاى لايت
✅مدخل رخام كلاسيكى
✅ مؤسسة مصعد 
✅درج داخلى 
✅ خزانات سفلى وعلوى 
✅جميع الضمانات موجودة
✅قريبة من المسجد ومدارس وجميع الخدمات",21.243496,39.827278,https://images.aqar.fm/webp/750x0/props/001185375_1786547002254.jpg | https://images.aqar.fm/webp/750x0/props/001185370_1786547002106.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1786547002195.jpg | https://images.aqar.fm/webp/750x0/props/001185373_1786547002268.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1786547002284.jpg | https://images.aqar.fm/webp/750x0/props/001185377_1786547002356.jpg | https://images.aqar.fm/webp/750x0/props/001185376_1786547002402.jpg | https://images.aqar.fm/webp/750x0/props/001185370_1786547002428.jpg | https://images.aqar.fm/webp/750x0/props/001185376_1786547002493.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1786547002518.jpg | https://images.aqar.fm/webp/750x0/props/001185371_1786547002568.jpg | https://images.aqar.fm/webp/750x0/props/001185379_1786547002589.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1786547002650.jpg | https://images.aqar.fm/webp/750x0/props/001185373_1786547002767.jpg | https://images.aqar.fm/webp/750x0/props/001185373_1786547002796.jpg,15,هدى علي عشوي العنزي,مكتب هدى علي عشوي العنزي العقارية,1,2026-08-12,2026-09-10,2026-09-20,377,2026-09-20,True,"780,000",False,فيلا
6818651,https://sa.aqar.fm/فلل-للبيع/مكة-المكرمة/حي-العكيشية/شارع-الحارث-بن-أبي-ربيعه-المخزومي-حي-القشاشية-الجديد-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6818651,"فيلا للبيع في شارع الحارث بن أبي ربيعه المخزومي, حي القشاشية الجديد, مدينة مكة المكرمة, منطقة مكة المكرمة",780000,249,6,,,0,حي العكيشية,مكة المكرمة,حي العكيشية,"1010
🏡 فيلل فاخرة للبيع 
📍 الحي ولى العهد 7 امام حديقة
📐 مساحة 200 متر 
💰 السعر: 780 ألف 
🔻 دورين 
🛏️عدد الغرف 6
🔻الدور الارضى يتكون من 
▪️مجلس رجال بحمام ومغاسل
▪️صالة 
▪️مطبخ مغلق 
▪️ مجلس نسا بحمام ومغاسل 
▪️ مستودع 
▪️حوش خلفي 

🔻 الدور الأول يتكون من 
▪️صالة 
▪️ ثلاث غرف بحمام خارجى 
▪️ غرفة ماستر 

✅ المميزات:
✅ مدخلين
✅مدخل دابل هايت 
✅سكاى لايت
✅مدخل رخام كلاسيكى
✅ مؤسسة مصعد 
✅درج داخلى 
✅ خزانات سفلى وعلوى 
✅جميع الضمانات موجودة
✅قريبة من المسجد ومدارس وجميع الخدمات",21.243496,39.827278,https://images.aqar.fm/webp/750x0/props/001185370_1786546031244.jpg | https://images.aqar.fm/webp/750x0/props/001185370_1786546030804.jpg | https://images.aqar.fm/webp/750x0/props/001185377_1786546030924.jpg | https://images.aqar.fm/webp/750x0/props/001185377_1786546030927.jpg | https://images.aqar.fm/webp/750x0/props/001185376_1786546031109.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1786546031044.jpg | https://images.aqar.fm/webp/750x0/props/001185372_1786546031084.jpg | https://images.aqar.fm/webp/750x0/props/001185374_1786546031135.jpg | https://images.aqar.fm/webp/750x0/props/001185370_1786546031406.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1786546031407.jpg | https://images.aqar.fm/webp/750x0/props/001185377_1786546031440.jpg | https://images.aqar.fm/webp/750x0/props/001185372_1786546031441.jpg | https://images.aqar.fm/webp/750x0/props/001185379_1786546031529.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1786546031650.jpg | https://images.aqar.fm/webp/750x0/props/001185376_1786546031594.jpg,15,هدى علي عشوي العنزي,مكتب هدى علي عشوي العنزي العقارية,1,2026-08-12,2026-09-10,2026-09-20,340,2026-09-20,True,"780,000",False,فيلا
6828761,https://sa.aqar.fm/فلل-للبيع/مكة-المكرمة/حي-الجامعة/شارع-الإعتصام-حي-الجامعة-مكة-منطقة-مكة-المكرمة-6828761,"فيلا للبيع في شارع الاخلاص, حي الجامعة, مدينة مكة المكرمة, منطقة مكة المكرمة",3000000,400,5,5,2,11,حي الجامعة,مكة المكرمة,حي الجامعة,,21.395583,39.880894,https://images.aqar.fm/webp/750x0/props/049295086_1787050130594.jpg | https://images.aqar.fm/webp/750x0/props/049295084_1787139150744.jpg,2,سلطان بن عبدالعزيز بن عبيدالرحمن مؤذن,,,2026-08-18,2026-08-19,2026-09-18,83,2026-09-20,True,"3,000,000",False,فيلا
6672795,https://sa.aqar.fm/فلل-للبيع/مكة-المكرمة/حي-الملك-فهد/شارع-الشراع-حي-الملك-فهد-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6672795,"فيلا للبيع في شارع الشراع, حي الملك فهد, مدينة مكة المكرمة, منطقة مكة المكرمة",2850000,400,5,0,0,0,حي الملك فهد,مكة المكرمة,حي الملك فهد,"عمارتين للبيع في اسكان الشوقية 
مكة المكرمة - داخل حد الحرم 

واجهتها ١- شرقية شمالية 
٢- شرقية جنوبية 
مكونات كل عمارة : 
٣ ادوار كل دور شقة منفصلة لها مدخلين مدخل من الدرج و الاخر عن طريق المصعد 
الدور الاول :  
٣ غرف نوم - و حدة منهم ماستر + صالة و مطبخ + مجالسين و ديوانية خارجية بمدخل مستقل. ٥ حمامات 
الدور الثاني : ٣ غرف نوم منها غرفة ماستر + مجلسين + مطبخ مع غرفة خادمة + و ٤ حمامات 
الدور الثالث الروف : 
عرفتين نوم ماستر + صالة و مطبخ و مجلسين + ٤ حمامات 
مميزات العمارة 
مكيفات سبلت راكبة 
مطابخ راكبة 
غرفة حارس و سائق 
مصعد 
مواقف سيارات 
الواجهات حجر 

الموقع 
https://maps.app.goo.gl/aWwt4ddCHapVJK4R7?g_st=ic

المطلوب : ٢.٨ مليون",21.394122,39.779293,https://images.aqar.fm/webp/750x0/props/006699865_1777352669950.jpg,1,عبدالرحمن سامي علي العقل,مؤسسة اركان واساس للعقار,1,2026-04-28,2026-08-22,2026-08-22,1628,2026-09-20,True,"2,850,000",False,فيلا
6875596,https://sa.aqar.fm/فلل-للبيع/مكة-المكرمة/حي-الملك-فهد/شارع-أبي-رجب-الحنبلي-حي-الشامية-الجديد-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6875596,"فيلا للبيع في شارع أبي رجب الحنبلي, حي الشامية الجديد, مدينة مكة المكرمة, منطقة مكة المكرمة",1350000,545,11,,,0,حي الملك فهد,مكة المكرمة,حي الملك فهد,"1010
🏡 فيلا فاخرة للبيع 
📍 الحي ولى العهد 3
📍 خارج الحد
📍 دورين وملحق نظام شقق 
📍 منفصله 

📐 مساحة الارض 315 متر
📐 مساحة البناء 530 متر
💰 السعر: مليون و 350 ألف 
 
      🔻عدد الغرف 11

🔻الدور الارضى يتكون من 
▪️مدخل سيارة + حوش 
▪️مجلس رجال بحمام ومغاسل
▪️مقلط
▪️صالة 
▪️مطبخ مغلق + غرفة غسيل 
▪️غرفة ماستر 
▪️غرفة بحمام خارجى 
▪️مستودع

🔻 الدور الأول يتكون من 
▪️مجلس رجال بحمام ومغاسل
▪️مقلط 
▪️صاله 
▪️مطبخ مغلق
▪️غرفة ماستر  
▪️2 غرفة بحمام خارجى 

🔻 الملحق يتكون من 
▪️غرفة بحمام خارجي 
▪️صالة 
▪️غرفة ماستر 
▪️سطح امامي 
▪️سطح خلفي 


✅ المميزات:
✅ مدخلين
✅ درج خارجى
✅ مؤسسة مصعد 
✅ خزانات سفلى وعلوى 
✅جميع الضمانات موجودة
✅قريبة من المسجد وجميع الخدمات",21.31907,39.679639,https://images.aqar.fm/webp/750x0/props/001185379_1789472025118.jpg | https://images.aqar.fm/webp/750x0/props/001185372_1789472024451.jpg | https://images.aqar.fm/webp/750x0/props/001185379_1789472024422.jpg | https://images.aqar.fm/webp/750x0/props/001185370_1789472024262.jpg | https://images.aqar.fm/webp/750x0/props/001185377_1789472024420.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1789472024423.jpg | https://images.aqar.fm/webp/750x0/props/001185377_1789472024892.jpg | https://images.aqar.fm/webp/750x0/props/001185374_1789472024888.jpg | https://images.aqar.fm/webp/750x0/props/001185374_1789472024895.jpg | https://images.aqar.fm/webp/750x0/props/001185371_1789472024892.jpg | https://images.aqar.fm/webp/750x0/props/001185374_1789472024902.jpg | https://images.aqar.fm/webp/750x0/props/001185379_1789472025116.jpg | https://images.aqar.fm/webp/750x0/props/001185374_1789472025118.jpg | https://images.aqar.fm/webp/750x0/props/001185370_1789472025120.jpg | https://images.aqar.fm/webp/750x0/props/001185379_1789472025125.jpg | https://images.aqar.fm/webp/750x0/props/001185376_1789472025364.jpg | https://images.aqar.fm/webp/750x0/props/001185374_1789472025360.jpg | https://images.aqar.fm/webp/750x0/props/001185372_1789472025366.jpg | https://images.aqar.fm/webp/750x0/props/001185372_1789472025370.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1789472025374.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1789472025580.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1789472025601.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1789472025587.jpg | https://images.aqar.fm/webp/750x0/props/001185379_1789472025599.jpg | https://images.aqar.fm/webp/750x0/props/001185370_1789472025598.jpg | https://images.aqar.fm/webp/750x0/props/001185376_1789472025777.jpg | https://images.aqar.fm/webp/750x0/props/001185374_1789472025783.jpg | https://images.aqar.fm/webp/750x0/props/001185373_1789472025780.jpg | https://images.aqar.fm/webp/750x0/props/001185375_1789472025782.jpg | https://images.aqar.fm/webp/750x0/props/001185374_1789472025785.jpg,30,هدى علي عشوي العنزي,مكتب هدى علي عشوي العنزي العقارية,1,2026-09-15,2026-09-15,2026-09-20,33,2026-09-20,True,"1,350,000",False,فيلا
6543342,https://sa.aqar.fm/فلل-للبيع/مكة-المكرمة/حي-العكيشية/شارع-افلح-السندي-حي-الهجلة-الجديد-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6543342,"فيلا للبيع في شارع افلح السندي, حي الهجلة الجديد, مدينة مكة المكرمة, منطقة مكة المكرمة",1350000,407,8,,,0,حي العكيشية,مكة المكرمة,حي العكيشية,"1007
🏡 فيلل فاخرة للبيع 
📍 الحي ولى العهد 5
📍منفصلة
📐 مساحة 300 متر
💰 السعر: مليون وا 350 ألف 
🔻 نظام دورين وملحق
🛏️عدد الغرف 8
🔻الدور الارضى يتكون من 
▪️مدخل سيارة
▪️مجلس رجال بحمام ومغاسل
▪️مقلط
▪️صالة دبل هايت 
▪️مطبخ مغلق 
▪️مجلس نسا بحمام ومغاسل
▪️ مستودع 
▪️حوش خلفي وجانبي 

🔻 الدور الأول يتكون من 
▪️صالة
▪️ غرفة ماستر بغرفه ملابس 
▪️غرفة ماستر 
▪️غرفتين بحمام خارجى 

🔻الملحق يتكون من 
▪️صالة 
▪️سيرفس
▪️غرفة خادمة + غرفة غسيل
▪️غرفة بحمام خارجى
▪️ بلكونه 
▪️سطح
✅ المميزات:
✅ مدخلين
✅دخول زكى
✅اضاءة ذكية
✅ انتركم
✅ مؤسسة مصعد 
✅درج داخلى 
✅ خزانات سفلى وعلوى 
✅جميع الضمانات موجودة
✅قريبة من المسجد ومدارس وجميع الخدمات",21.293565,39.82249,https://images.aqar.fm/webp/750x0/props/046012777_1768217771698.jpg | https://images.aqar.fm/webp/750x0/props/046012778_1768217771269.jpg | https://images.aqar.fm/webp/750x0/props/046012776_1768217771273.jpg | https://images.aqar.fm/webp/750x0/props/046012775_1768217771456.jpg | https://images.aqar.fm/webp/750x0/props/046012776_1768217771453.jpg | https://images.aqar.fm/webp/750x0/props/046012772_1768217771503.jpg | https://images.aqar.fm/webp/750x0/props/046012770_1768217771453.jpg | https://images.aqar.fm/webp/750x0/props/046012776_1768217771564.jpg | https://images.aqar.fm/webp/750x0/props/046012771_1768217771634.jpg | https://images.aqar.fm/webp/750x0/props/046012770_1768217771697.jpg | https://images.aqar.fm/webp/750x0/props/046012777_1768217771700.jpg | https://images.aqar.fm/webp/750x0/props/046012770_1768217771831.jpg | https://images.aqar.fm/webp/750x0/props/046012776_1768217771842.jpg | https://images.aqar.fm/webp/750x0/props/046012776_1768217771865.jpg | https://images.aqar.fm/webp/750x0/props/046012774_1768217771987.jpg | https://images.aqar.fm/webp/750x0/props/046012778_1768217772006.jpg | https://images.aqar.fm/webp/750x0/props/046012779_1768217772040.jpg | https://images.aqar.fm/webp/750x0/props/046012777_1768217772070.jpg | https://images.aqar.fm/webp/750x0/props/046012774_1768217772069.jpg | https://images.aqar.fm/webp/750x0/props/046012778_1768217772266.jpg | https://images.aqar.fm/webp/750x0/props/046012779_1768217772416.jpg | https://images.aqar.fm/webp/750x0/props/046012776_1768217772285.jpg | https://images.aqar.fm/webp/750x0/props/046012775_1768217772291.jpg | https://images.aqar.fm/webp/750x0/props/046012779_1768217772414.jpg | https://images.aqar.fm/webp/750x0/props/046012773_1768217772502.jpg,25,هدى علي عشوي العنزي,شركة جسور الثقة العالمية العقارية,1,2026-01-12,2026-01-12,2026-09-19,1672,2026-09-20,True,"1,350,000",False,فيلا
6605356,https://sa.aqar.fm/فلل-للبيع/مكة-المكرمة/حي-الكعكية/شارع-يحيي-الدامغاني-حي-العكيشية-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6605356,"فيلا للبيع في شارع يحيي الدامغاني, حي العكيشية, مدينة مكة المكرمة, منطقة مكة المكرمة",750000,199,4,,,0,حي الكعكية,مكة المكرمة,حي الكعكية,"1010
✨فيلا فاخره للبيع حي ولي العهد 7💁🏻‍♂️
                      🏨دور:""
✨المساحه 320م📏
✨السعر 770 الف
✨ المساحه 290م📏
✨السعر 750 الف ريال 💰
                   🏨تتكون من:""
               🛖عدد 4 غرف🛖
✨حوش✨ مدخل سياره🚗
✨ مجلس رجال بحمام ومغاسل خارجي✨صاله كبيره✨مطبخ مغلق✨عدد 2 غرفه بحمام ومغاسل خارجي✨ غرفه ماستر✨سطح كبير🙏
                   🏨ملحوظه:""
✨ يوجد بيها مدخلين ✌️
✨ مصعد متأسس🏦
✨درج خارجي 🪜
✨ خزانات سفلي وعلوية 🌊
✨ جميع الضمانات👌🏻",21.35624,39.800916,https://images.aqar.fm/webp/750x0/props/046012774_1772046884288.jpg | https://images.aqar.fm/webp/750x0/props/046012776_1772046884049.jpg | https://images.aqar.fm/webp/750x0/props/046012778_1772046884057.jpg | https://images.aqar.fm/webp/750x0/props/046012774_1772046884133.jpg | https://images.aqar.fm/webp/750x0/props/046012770_1772046884139.jpg | https://images.aqar.fm/webp/750x0/props/046012771_1772046884246.jpg | https://images.aqar.fm/webp/750x0/props/046012770_1772046884357.jpg | https://images.aqar.fm/webp/750x0/props/046012778_1772046884355.jpg | https://images.aqar.fm/webp/750x0/props/046012778_1772046884485.jpg | https://images.aqar.fm/webp/750x0/props/046012773_1772046884466.jpg | https://images.aqar.fm/webp/750x0/props/046012776_1772046884576.jpg | https://images.aqar.fm/webp/750x0/props/046012770_1772046884577.jpg | https://images.aqar.fm/webp/750x0/props/046012778_1772046884671.jpg | https://images.aqar.fm/webp/750x0/props/046012774_1772046884714.jpg | https://images.aqar.fm/webp/750x0/props/046012771_1772046884780.jpg,15,هدى علي عشوي العنزي,شركة جسور الثقة العالمية العقارية,1,2026-02-25,2026-05-24,2026-09-19,1423,2026-09-20,True,"750,000",False,فيلا
6671629,https://sa.aqar.fm/فلل-للبيع/مكة-المكرمة/حي-الحمراء-و-ام-الجود/شارع-شارع-جابر-بن-عتيك-الأنصاري-رضي-الله-عنه-حي-أم-الجود-مدينة-مكة-المكرمة-منطقة-مكة-المكرمة-6671629,"فيلا للبيع في شارع شارع جابر بن عتيك الأنصاري رضي الله عنه, حي أم الجود, مدينة مكة المكرمة, منطقة مكة المكرمة",2400000,492,10,7,3,0,حي الحمراء و ام الجود,مكة المكرمة,حي الحمراء و ام الجود,"للبيع فيلا  دورين وملحق 
مساحه 492م 

الدور الأرضي 
مدخل سيارة 
مدخلين رجال ونساء 

مجلس رجال بدورة مياه 

مجلس نساء بدورة مياه + مطبخ + غرفه شغاله بدوره مياه معا غسيل 
مصعد راكب 

الدور الأول
4 غرف نوم بحماماتها وصاله + سرفيس طعام 

الملحق 
غرفتين وصاله و٢ دوراة مياه  + سطوح 

للاستفسار 

0536265625 
المطرفي للإستثمارات العقارية 

يشرفنا خدمتكم في جميع مخططات جدة ومكة بيع وشراء وتسويق الأراضي والفلل",21.406582,39.706074,https://images.aqar.fm/webp/750x0/props/000252563_1777285529152.jpg | https://images.aqar.fm/webp/750x0/props/000252568_1777285559402.jpg | https://images.aqar.fm/webp/750x0/props/000252560_1777285559406.jpg | https://images.aqar.fm/webp/750x0/props/000252566_1777285559404.jpg | https://images.aqar.fm/webp/750x0/props/000252566_1777285559403.jpg | https://images.aqar.fm/webp/750x0/props/000252562_1777285559405.jpg | https://images.aqar.fm/webp/750x0/props/000252567_1777285559396.jpg | https://images.aqar.fm/webp/750x0/props/000252560_1777285559404.jpg | https://images.aqar.fm/webp/750x0/props/000252566_1777285559394.jpg | https://images.aqar.fm/webp/750x0/props/000252566_1777285559395.jpg | https://images.aqar.fm/webp/750x0/props/000252565_1777285559406.jpg | https://images.aqar.fm/webp/750x0/props/000252562_1777285559404.jpg | https://images.aqar.fm/webp/750x0/props/000252565_1777285559414.jpg | https://images.aqar.fm/webp/750x0/props/000252569_1777285559437.jpg | https://images.aqar.fm/webp/750x0/props/000252566_1777285559436.jpg | https://images.aqar.fm/webp/750x0/props/000252564_1777285559445.jpg | https://images.aqar.fm/webp/750x0/props/000252562_1777285559645.jpg | https://images.aqar.fm/webp/750x0/props/000252562_1777285559489.jpg | https://images.aqar.fm/webp/750x0/props/000252564_1777285559653.jpg | https://images.aqar.fm/webp/750x0/props/000252566_1777285559664.jpg | https://images.aqar.fm/webp/750x0/props/000252560_1777285559687.jpg | https://images.aqar.fm/webp/750x0/props/000252568_1777285559688.jpg | https://images.aqar.fm/webp/750x0/props/000252569_1777285559700.jpg | https://images.aqar.fm/webp/750x0/props/000252567_1777285559711.jpg | https://images.aqar.fm/webp/750x0/props/000252567_1777285559543.jpg,25,عمرو يحي بن سهل المطرفى,مؤسسة عمرو يحي سهل المطرفي للعقار,1,2026-04-27,2026-08-21,2026-09-16,1600,2026-09-20,True,"2,400,000",False,فيلا
