listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6697538,https://sa.aqar.fm/أراضي-للبيع/المدينة-المنورة/حي-ابو-كبير/شارع-مالك-ابن-نميلة-المزني-حي-أبوكبير-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6697538,"أرض للبيع في شارع مالك ابن نميلة المزني, حي أبوكبير, مدينة المدينة المنورة, منطقة المدينة المنورة",700200,600,,,,,حي ابو كبير,المدينة المنورة,حي ابو كبير,"فرصة للراغبين في الاستثمار ارض تجارية سكنية للبيع في مخطط حمراء الأسد (ج) حي ابوكبير, مساحة 600 م على شارع عرض 30م بطول واجهة 20 متر
المطلوب: 750 ألف صافي للمالك ( يتحمل المشتري السعي + قيمة الضريبة)
#قائف_العقارية استثمر بثقة و اسكن بطمأنينة.
للتواصل:  ",24.382612,39.531543,https://images.aqar.fm/webp/750x0/props/014310734_1778777047686.jpg | https://images.aqar.fm/webp/750x0/props/014310737_1778777600824.jpg,2,سعود النايلي,مكتب قائف العقارية للعقارات,1,2026-05-14,2026-08-29,2026-09-08,184,2026-09-16,True,"700,200",False,أرض
6752622,https://sa.aqar.fm/أراضي-للبيع/المدينة-المنورة/حي-ابو-كبير/شارع-احمد-بن-ابي-الفضائل-بن-ابي-المجد-حي-أبوكبير-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6752622,"أرض للبيع في شارع احمد بن ابي الفضائل بن ابي المجد, حي أبوكبير, مدينة المدينة المنورة, منطقة المدينة المنورة",650000,600,,,,,حي ابو كبير,المدينة المنورة,حي ابو كبير,"ارض للبيع في حمراء الاسد ج
المساحة 600 م
على موقف مفتوح
الاطوال 20* 30
الارض مستويه ومناسبة
السعر 650 الف",24.391173,39.527566,https://images.aqar.fm/webp/750x0/props/023849626_1782744136265.jpg | https://images.aqar.fm/webp/750x0/props/023849625_1782744136228.jpg,2,سعيد محمد,مكتب جنوب نجد العقاري,1,2026-06-29,2026-06-29,2026-09-16,105,2026-09-16,True,"650,000",False,أرض
6586748,https://sa.aqar.fm/أراضي-للبيع/المدينة-المنورة/حي-ابو-كبير/حي-أبوكبير-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6586748,"أرض للبيع في حي أبوكبير, مدينة المدينة المنورة, منطقة المدينة المنورة",380100,300,,,,,حي ابو كبير,المدينة المنورة,حي ابو كبير,"مطله على ممشى الحمراء 
13.3*22.5

نستقبل عروضكم وطلباتكم العقارية،
ونعمل  بجدية ومتابعة ميدانية حتى الوصول لأفضل نتيجة بإذن الله",24.377355,39.538868,https://images.aqar.fm/webp/750x0/props/006569287_1770834161586.jpg | https://images.aqar.fm/webp/750x0/props/006569289_1770834912450.jpg | https://images.aqar.fm/webp/750x0/props/006569280_1770834912446.jpg,3,عبدالله مصلح مجيديع المطيري,,,2026-02-11,2026-08-05,2026-08-05,522,2026-09-16,True,"380,100",False,أرض
6857266,https://sa.aqar.fm/أراضي-للبيع/المدينة-المنورة/حي-ابو-كبير/شارع-محمد-بن-احمد-بن-علي-التوزري-حي-أبوكبير-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6857266,"أرض للبيع في شارع محمد بن احمد بن علي التوزري, حي أبوكبير, مدينة المدينة المنورة, منطقة المدينة المنورة",450072,399,,,,,حي ابو كبير,المدينة المنورة,حي ابو كبير,"ارض مساحة 400 متر 
السعر 450 الف السعر غير شامل الضريبة
الارض متساوية خلفية شارع 40 متر",24.391092,39.525202,https://images.aqar.fm/webp/750x0/props/004734554_1788522560922.jpg,1,ايمن احمد,,,2026-09-04,2026-09-04,2026-09-07,79,2026-09-16,True,"450,072",False,أرض
6632968,https://sa.aqar.fm/أراضي-للبيع/المدينة-المنورة/حي-ابو-كبير/شارع-عياض-ابن-موسى-ابن-عياض-اليحصبى-السبتى-حي-أبوكبير-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6632968,"أرض للبيع في شارع عياض ابن موسى ابن عياض اليحصبى السبتى, حي أبوكبير, مدينة المدينة المنورة, منطقة المدينة المنورة",423000.1,423,,,,,حي ابو كبير,المدينة المنورة,حي ابو كبير,"بموقع ما يتكرر.. ارض سكنية في حمراء الاسد ! 🏗️📍

مساحة مدروسة بعناية (423م ) و واجهة ولا اروع بطول 15م على شارع شارع و موقف وسيع  يوصلك الى طريق ينبع  الشريان التجاري. 

موقع يمهدلك سهولة في الدخول واولية  في ظهور  بيتك المستقبلي. 📐🏛️
✅ المخطط مخدوم بالكامل.
✅ وصول سلس للحرم في اقل من 16 دقيقة.
.. ..",24.378233,39.536507,https://images.aqar.fm/webp/750x0/props/049170407_1781716663126.jpg | https://images.aqar.fm/webp/750x0/props/049170408_1781716682182.jpg | https://images.aqar.fm/webp/750x0/props/049170400_1781716710783.jpg | https://images.aqar.fm/webp/750x0/props/049170401_1781716744017.jpg | https://images.aqar.fm/webp/750x0/props/049170409_1781716771687.jpg | https://images.aqar.fm/webp/750x0/props/049170406_1781716790779.jpg | https://images.aqar.fm/webp/750x0/props/049170408_1781716804315.jpg,7,ثامر بن لافي بن ماشع السحيمي,,,2026-03-27,2026-03-27,2026-07-31,549,2026-09-16,True,"423,000",False,أرض
6839930,https://sa.aqar.fm/أراضي-للبيع/المدينة-المنورة/حي-ابو-كبير/شارع-على-بن-عبد-الكافى-الربعى-حي-أبوكبير-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6839930,"أرض للبيع في شارع على بن عبد الكافى الربعى, حي أبوكبير, مدينة المدينة المنورة, منطقة المدينة المنورة",255000,300,,,,,حي ابو كبير,المدينة المنورة,حي ابو كبير,"🟥 أرض مفرزه 🟥 


للبيع في الحمراء ( ج ) 

مساحة 300 متر 
واجهة 10 متر 
في وسط الموقف 


قريبة من كورنيش العقيق 
قريبة من طريق الهجرة 
قريبة من الميقات 


يوجد نزول في الارض 




المطلوب : 850 ريال للمتر 

255 الف ريال صافي غير شامل الضريبة والسعي 



للتواصل : ☎️

أبو حمد للتسويق العقاري 

((الرقم يظهر عند الضغط على اتصال))",24.393538,39.532858,https://images.aqar.fm/webp/750x0/props/006172608_1787606883900.jpg | https://images.aqar.fm/webp/750x0/props/006172607_1787606883911.jpg | https://images.aqar.fm/webp/750x0/props/006172607_1787606883927.jpg | https://images.aqar.fm/webp/750x0/props/006172604_1787606883929.jpg | https://images.aqar.fm/webp/750x0/props/006172601_1787606883935.jpg | https://images.aqar.fm/webp/750x0/props/006172609_1787606883902.jpg,6,زياد حمد,,,2026-08-24,2026-08-24,2026-09-12,352,2026-09-16,True,"255,000",False,أرض
6507041,https://sa.aqar.fm/أراضي-للبيع/المدينة-المنورة/حي-ابو-كبير/شارع-مفضل-بن-علي-القرشي-حي-ابو-كبير-المدينة-المنورة-منطقة-المدينة-المنورة-6507041,"أرض للبيع في شارع 17697388, حي أبوكبير, مدينة المدينة المنورة, منطقة المدينة المنورة",660000,600,,,,,حي ابو كبير,المدينة المنورة,حي ابو كبير,,24.388712,39.532669,https://images.aqar.fm/webp/750x0/props/019834145_1765750690057.jpg | https://images.aqar.fm/webp/750x0/props/019834146_1765750690071.jpg | https://images.aqar.fm/webp/750x0/props/019834141_1765750690032.jpg | https://images.aqar.fm/webp/750x0/props/019834144_1765750690083.jpg,4,طلال مسلم حبيب الرحيلي,,,2025-12-14,2025-12-15,2026-09-15,1012,2026-09-16,True,"660,000",False,أرض
6687701,https://sa.aqar.fm/أراضي-للبيع/المدينة-المنورة/حي-ابو-كبير/شارع-محمد-بن-عبد-المنعم-بن-عمار-حي-أبوكبير-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6687701,"أرض للبيع في شارع محمد بن عبد المنعم بن عمار, حي أبوكبير, مدينة المدينة المنورة, منطقة المدينة المنورة",1598508.48,1672,,,,,حي ابو كبير,المدينة المنورة,حي ابو كبير,$5c,24.391527,39.526826,https://images.aqar.fm/webp/750x0/props/015568261_1784902850697.jpg,1,هناء خلف مرزوق الحربي,مكتب خريطة المدينة للخدمات العقارية,1,2026-05-08,2026-09-01,2026-09-11,291,2026-09-16,True,"1,598,508",False,أرض
6638949,https://sa.aqar.fm/أراضي-للبيع/المدينة-المنورة/حي-ابو-كبير/شارع-ممر-مشاه-426-حي-أبوكبير-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6638949,"أرض للبيع في شارع ممر مشاه 426, حي أبوكبير, مدينة المدينة المنورة, منطقة المدينة المنورة",500490.9,611,,,,,حي ابو كبير,المدينة المنورة,حي ابو كبير,"✨رقم العرض: H176 ✨
نوع العرض:ارض للبيع

التفاصيل: 
📍الموقع : حمراء الاسد ي
🔍المساحة : 611.1 م    
🔷️الاطوال : 30×20.37 م 
🔷️على موقف سيارات غربي
✅️منطقه مخدومة بالكامل 
١- مدارس 
٢- مساجد
🔴فيها نزول
💰المطلوب : 500 الف صافي للمالك 
💰السعي : 2.5%",24.397112,39.528888,https://images.aqar.fm/webp/750x0/props/001540788_1775503337367.jpg,1,زينب سليم,مؤسسة مكتب بيت الشموخ للعقار,1,2026-04-02,2026-08-25,2026-09-15,806,2026-09-16,True,"500,491",False,أرض
6636332,https://sa.aqar.fm/أراضي-للبيع/المدينة-المنورة/حي-ابو-كبير/شارع-عبدالوهاب-ابن-ظافر-ابن-فتوح-حي-أبوكبير-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6636332,"أرض للبيع في شارع عبدالوهاب ابن ظافر ابن فتوح, حي أبوكبير, مدينة المدينة المنورة, منطقة المدينة المنورة",792900,881,,,,,حي ابو كبير,المدينة المنورة,حي ابو كبير,"للبيع ارض سكنية
حي حمراء الاسد ج ( ابوكبير )
المدينة المنورة 


🔲المساحة = 881.5 م2

📐الأبعاد :
• واجهة شمالية بطول 20.8 على مواقف سيارات بعرض 20 متر
• العمق 44 متر تقريباً


🌟المميزات :
• واجهة شمالية
• سهلة المخرج الى شارع ال80 التجاري.
• مواقف فيها مخرجين2
• ⁠منطقة مرتفعة مطلة على جبل عير.

❗️الملاحظات :
الارض فيها نزول ما يقارب 3 متر ( تقريباً ) يصلح لبناء بدروم . 


💰الثمن : 900 الف ريال قابل للتفاوض
غير شامل السعي و الضريبة

~~~~~~~~~~~~~~~~~~~
مؤسسة الأرض المميزة العقارية
م. عمر العسيري
متخصصون في تسويق الأراضي فقط!
نسعد بتواصلكم .. و تسويق عقاراتكم.",24.393932,39.530512,https://images.aqar.fm/webp/750x0/props/034078563_1774960790721.jpg | https://images.aqar.fm/webp/750x0/props/034078563_1774960799274.jpg | https://images.aqar.fm/webp/750x0/props/034078561_1774960830158.jpg | https://images.aqar.fm/webp/750x0/props/034078567_1774960840844.jpg | https://images.aqar.fm/webp/750x0/props/034078567_1774960851629.jpg | https://images.aqar.fm/webp/750x0/props/034078560_1774960867107.jpg | https://images.aqar.fm/webp/750x0/props/034078566_1774960896487.jpg | https://images.aqar.fm/webp/750x0/props/034078566_1774960914514.jpg | https://images.aqar.fm/webp/750x0/props/034078565_1774960925764.jpg | https://images.aqar.fm/webp/750x0/props/034078567_1774960933514.jpg | https://images.aqar.fm/webp/750x0/props/034078565_1774960942204.jpg | https://images.aqar.fm/webp/750x0/props/034078562_1774960952317.jpg,12,عمر احمد عبدالله العسيري,مؤسسة الأرض المميزة العقارية,1,2026-03-31,2026-08-23,2026-09-12,218,2026-09-16,True,"792,900",False,أرض
