listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6661391,https://sa.aqar.fm/دور-للبيع/المدينة-المنورة/حي-المطار/شارع-هارون-بن-المثنى-الحنفي-حي-العاقول-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6661391,"دور للبيع في شارع هارون بن المثنى الحنفي, حي العاقول, مدينة المدينة المنورة, منطقة المدينة المنورة",600000,710,10,,,7,حي المطار,المدينة المنورة,حي المطار,"بيت شعبي  للبيع في حي العاقول 
يتكون من 3 شقق مستقلة
 عدد الغرف: 10
 مناسب للسكن أو الاستثمار (تأجير)
 موقع هادئ وقريب من الخدمات
السعر: 600 الف ريال
    

رابط الوصول للموقع :
https://maps.app.goo.gl/CJYxBoDD8roT7xk49?g_st=iw


رابط الوصول للمكتب :

https://maps.app.goo.gl/TNMPEBv9idoFHTuT8?g_st=ipc
 صاحب الترخيص : مؤسسة مكتب نبراس المدينة للعقار
 صاحب الترخيص : مكتب نبراس المدينة للعقار
 تاريخ انتهاء رخصة الإعلان : 2027-04-17
-----
نأمل مطابقة الموقع على الخريطة مع الموقع حسب الصك
الضمانات و مدتها: لايوجد

وصف موقع العقار حسب الصك
المدينة: المدينة
الحي: العاقول
الموظف المسؤول عن الإعلان: محمد سالم سليمان الحربي
رقم جوال مسؤول الإعلان: 0500355348
عمولة نقل الملكية: لا يوجد
موقع العقار على الخريطة: 
https://maps.google.com/?q=24.546145027558,39.744508460371",24.546145,39.744508,https://images.aqar.fm/webp/750x0/props/000218976_1776617064265.jpg | https://images.aqar.fm/webp/750x0/props/000218970_1776617064262.jpg | https://images.aqar.fm/webp/750x0/props/000218971_1776617064263.jpg,3,وائل الحربي,مكتب نبراس المدينة للعقار,1,2026-04-19,2026-09-13,2026-09-13,1986,2026-09-16,True,"600,000",False,دور
6799773,https://sa.aqar.fm/دور-للبيع/المدينة-المنورة/حي-الجصة/شارع-سعيد-بن-يربوع-حي-الجصة-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6799773,"دور للبيع في شارع سعيد بن يربوع, حي الجصة, مدينة المدينة المنورة, منطقة المدينة المنورة",1030000,314,9,6,1,0,حي الجصة,المدينة المنورة,حي الجصة,"رقم العرض : R421 
عمارتين بجوار بعض في روابي الرانوناء  ( الجصه )  
شارع 20 جنوبي 

المساحه 315

5 غرف 
3 دورة مياه 
صاله 
مطبخ 

مجلس خارجي بالحوش مع دورة مياه 


ملحق علوي :

يتكون من
3 غرف 
2 دورة مياه 

تاسيس كاميرات 
تاسيس مصعد 
تاسيس غاز 
واجهة بروفايل 


المطلوب 
مليون و 30 الف صافي غير شامل السعي و الضريبه.",24.362196,39.608101,https://images.aqar.fm/webp/750x0/props/001540788_1785580985843.jpg | https://images.aqar.fm/webp/750x0/props/001540780_1785580985814.jpg | https://images.aqar.fm/webp/750x0/props/001540782_1785580985783.jpg | https://images.aqar.fm/webp/750x0/props/001540789_1785580985780.jpg | https://images.aqar.fm/webp/750x0/props/001540784_1785580985780.jpg | https://images.aqar.fm/webp/750x0/props/001540782_1785580985785.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1785580985791.jpg | https://images.aqar.fm/webp/750x0/props/001540782_1785580985804.jpg | https://images.aqar.fm/webp/750x0/props/001540787_1785580985819.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1785580985842.jpg | https://images.aqar.fm/webp/750x0/props/001540788_1785580985844.jpg | https://images.aqar.fm/webp/750x0/props/001540780_1785580985857.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1785580985880.jpg | https://images.aqar.fm/webp/750x0/props/001540784_1785580985892.jpg | https://images.aqar.fm/webp/750x0/props/001540780_1785580985891.jpg | https://images.aqar.fm/webp/750x0/props/001540788_1785581003671.jpg | https://images.aqar.fm/webp/750x0/props/001540789_1785581003672.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1785581003672.jpg,18,زينب سليم,مؤسسة مكتب بيت الشموخ للعقار,1,2026-08-01,2026-08-30,2026-09-13,123,2026-09-16,True,"1,030,000",False,دور
6788373,https://sa.aqar.fm/دور-للبيع/المدينة-المنورة/حي-الاصيفرين/شارع-علي-ابن-عامر-ابن-سعد-حي-الأصيفرين-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6788373,"دور للبيع في شارع علي ابن عامر ابن سعد, حي الأصيفرين, مدينة المدينة المنورة, منطقة المدينة المنورة",750000,254,6,,,11,حي الاصيفرين,المدينة المنورة,حي الاصيفرين,"للبيع بيت شعبي بالمدينة المنورة
بحي الأصيفرين غرب المسجد النبوي
مساحتة 254.13 م
يقع بين طريق الملك عبدالله ( الدائري الثاني ) وطريق الأمير عبدالمجيد 
يبعد عن طريق الأمير عبدالمجيد مايقارب 200 م فقط 
يفصله عن شارع عائشة بنت قدامه التجاري أمتار قليلة
على واجهتين شمالية وجنوبية
في منطقة مصرح لها ب 5 أدوار 
يبعد عن المسجد النبوي 2 كم مشياً على الأقدام 
مؤجر حالياً ب 30 الف بالسنة
يتكون من شقتين كل شقة تتكون من 3 غرف و مطبخ ودورة مياة والشقة الأخرى من دورتين مياة
المطلوب 750 الف ريال صافي للمالك",24.464167,39.590355,https://images.aqar.fm/webp/750x0/props/012922809_1784906199648.jpg,1,صالح الحربي,مؤسسة ميثاق المصداقية للعقارات,1,2026-07-24,2026-08-22,2026-09-12,153,2026-09-16,True,"750,000",False,دور
6675115,https://sa.aqar.fm/دور-للبيع/المدينة-المنورة/حي-السكة-الحديدية/شارع-مالك-ابن-مهلةل-حي-أبو-مرخة-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6675115,"دور للبيع في شارع مالك ابن مهلةل, حي أبو مرخة, مدينة المدينة المنورة, منطقة المدينة المنورة",950000,315,6,0,0,0,حي السكة الحديدية,المدينة المنورة,حي السكة الحديدية,"**رقم العرض : W584 **
**نوع العرض : دور وملحق  ** 

📍الموقع : العزيزية - غرب الدائري
🔎مساحة الأرض : 315م  

▫️ الدور الارضي : 
-5 غرف وصالة 
- مطبخ و  3 دورات مياة

▫️الملحق : 
- غرفة كبيرة مع دورة مياه 

💰المطلوب : 950 الف
💰السعي : 2.5٪؜  

📲 للتواصل : 
0545461098",24.45811,39.457289,https://images.aqar.fm/webp/750x0/props/001540785_1777472013022.jpg | https://images.aqar.fm/webp/750x0/props/001540786_1777472036778.jpg | https://images.aqar.fm/webp/750x0/props/001540781_1777472031910.jpg | https://images.aqar.fm/webp/750x0/props/001540789_1777472063188.jpg | https://images.aqar.fm/webp/750x0/props/001540784_1777472063194.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1777472063194.jpg | https://images.aqar.fm/webp/750x0/props/001540788_1777472063193.jpg | https://images.aqar.fm/webp/750x0/props/001540789_1777472063191.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1777472063229.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1777472068011.jpg | https://images.aqar.fm/webp/750x0/props/001540782_1777472063227.jpg,11,زينب سليم,مؤسسة مكتب بيت الشموخ للعقار,1,2026-04-29,2026-08-23,2026-09-15,1230,2026-09-16,True,"950,000",False,دور
6768311,https://sa.aqar.fm/دور-للبيع/المدينة-المنورة/حي-الاصيفرين/شارع-القاسم-ابن-الوليد-الهمداني-حي-الأصيفرين-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6768311,"دور للبيع في شارع القاسم ابن الوليد الهمداني, حي الأصيفرين, مدينة المدينة المنورة, منطقة المدينة المنورة",300000,145,10,4,4,11,حي الاصيفرين,المدينة المنورة,حي الاصيفرين,للبيع بيت شعبي مكون من دورين كل دور شقتين الدخل تقريبا 1750 ريال مطلوب 300 الف صافي,24.459634,39.594382,https://images.aqar.fm/webp/750x0/props/015586796_1783720888405.jpg,1,محمد احمد,مؤسسة مكتب الوفي للخدمات العقارية,1,2026-07-10,2026-09-07,2026-09-07,1168,2026-09-16,True,"300,000",False,دور
6799771,https://sa.aqar.fm/دور-للبيع/المدينة-المنورة/حي-الجصة/شارع-سعيد-بن-يربوع-حي-الجصة-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6799771,"دور للبيع في شارع سعيد بن يربوع, حي الجصة, مدينة المدينة المنورة, منطقة المدينة المنورة",1030000,315,9,6,1,0,حي الجصة,المدينة المنورة,حي الجصة,"رقم العرض : R421 
عمارتين بجوار بعض في روابي الرانوناء  ( الجصه )  
شارع 20 جنوبي 

المساحه 315

5 غرف 
3 دورة مياه 
صاله 
مطبخ 

مجلس خارجي بالحوش مع دورة مياه 


ملحق علوي :

يتكون من
3 غرف 
2 دورة مياه 

تاسيس كاميرات 
تاسيس مصعد 
تاسيس غاز 
واجهة بروفايل 


المطلوب 
مليون و 30 الف صافي غير شامل السعي و الضريبه",24.362225,39.608209,https://images.aqar.fm/webp/750x0/props/001540781_1785581099435.jpg | https://images.aqar.fm/webp/750x0/props/001540788_1785581099366.jpg | https://images.aqar.fm/webp/750x0/props/001540781_1785581099435.jpg | https://images.aqar.fm/webp/750x0/props/001540785_1785581099367.jpg | https://images.aqar.fm/webp/750x0/props/001540786_1785581099368.jpg | https://images.aqar.fm/webp/750x0/props/001540787_1785581099367.jpg | https://images.aqar.fm/webp/750x0/props/001540784_1785581099394.jpg | https://images.aqar.fm/webp/750x0/props/001540780_1785581099412.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1785581099431.jpg | https://images.aqar.fm/webp/750x0/props/001540781_1785581099430.jpg | https://images.aqar.fm/webp/750x0/props/001540789_1785581099431.jpg | https://images.aqar.fm/webp/750x0/props/001540784_1785581099474.jpg | https://images.aqar.fm/webp/750x0/props/001540782_1785581108454.jpg | https://images.aqar.fm/webp/750x0/props/001540788_1785581108451.jpg | https://images.aqar.fm/webp/750x0/props/001540785_1785581108451.jpg | https://images.aqar.fm/webp/750x0/props/001540787_1785581108484.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1785581108489.jpg | https://images.aqar.fm/webp/750x0/props/001540788_1785581108491.jpg,18,زينب سليم,مؤسسة مكتب بيت الشموخ للعقار,1,2026-08-01,2026-08-30,2026-09-10,184,2026-09-16,True,"1,030,000",False,دور
6692444,https://sa.aqar.fm/دور-للبيع/المدينة-المنورة/حي-العزيزية/شارع-الامام-البويطى-حي-العزيزية-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6692444,"دور للبيع في شارع الامام البويطى, حي العزيزية, مدينة المدينة المنورة, منطقة المدينة المنورة",1000000,312,6,0,0,0,حي العزيزية,المدينة المنورة,حي العزيزية,"رقم العرض : W709
نوع العرض : دور تأسيس 3 ادوار

📍الموقع : العزيزية - حي الدعثية 

🔎مساحة الأرض : 312م

▫️تفاصيل الدور:
-مجلس خارجي بدورة مياه
-5 غرف داخلية
-صالة
-4 دورات مياه
-مطبخ
-غرفة غسيل

✨المميزات والضمانات : 
-مدخل سيارة
-تأسيس مصعد
-وجود كاميرات مراقبة خارجية
-مطابق لكود البناء السعودي
-ضمان الكهرباء الفنار 25 سنة
-ضمان السباكة نيبرو 50 سنة
-ضمان التعاونية للعيوب الخفية 10 سنوات
-ضمان الابواب 5 سنوات WBC

💰المطلوب : مليون و 50 الف 
💰السعي : 2.5٪؜

📲 للتواصل : 
0545461098",24.410022,39.509631,https://images.aqar.fm/webp/750x0/props/001540789_1778514455571.jpg | https://images.aqar.fm/webp/750x0/props/001540787_1778514469661.jpg | https://images.aqar.fm/webp/750x0/props/001540789_1778514469657.jpg | https://images.aqar.fm/webp/750x0/props/001540784_1778514469658.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1778514491587.jpg | https://images.aqar.fm/webp/750x0/props/001540789_1778514491532.jpg | https://images.aqar.fm/webp/750x0/props/001540782_1778514491529.jpg | https://images.aqar.fm/webp/750x0/props/001540784_1778514491526.jpg | https://images.aqar.fm/webp/750x0/props/001540782_1778514491525.jpg,9,زينب سليم,مؤسسة مكتب بيت الشموخ للعقار,1,2026-05-11,2026-09-05,2026-09-07,1354,2026-09-16,True,"1,000,000",False,دور
6837533,https://sa.aqar.fm/دور-للبيع/المدينة-المنورة/حي-المطار/شارع-ابن-شحم-حي-وادي-البطان-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6837533,"دور للبيع في شارع ابن شحم, حي وادي البطان, مدينة المدينة المنورة, منطقة المدينة المنورة",720000,550,9,,,0,حي المطار,المدينة المنورة,حي المطار,"عمارة للبيع – حي العاقول | المدينة المنورة

الموقع: حي العاقول – المدينة المنورة
المساحة: 550 م²
شارع 16 متر شرقي
الواجهة: 20 متر
رقم القطعة:2187
المخطط: 769/ت/1416

تفاصيل العمارة:

الدور الأرضي:
• مجلس
• دورة مياه للرجال
• مقلط
• مطبخ
• مستودع
• صالة
• دورة مياه
• غرفة
• غرفة ماستر

الدور الثاني:
الشقة الأولى – اليمين:
• غرفتان
• صالة
• دورة مياه
• مطبخ

الشقة الثانية:
• غرفتان
• صالة
• مطبخ
• غرفة غسيل

السعر: 720 الف صافي

رابط الوصول للموقع :
https://maps.app.goo.gl/uPDJBnUxDGKp1As87?g_st=ic
رابط الوصول للمكتب :
https://maps.app.goo.gl/fSv7WWaZDPxamZFe7?g_st=ipc",24.553522,39.760484,https://images.aqar.fm/webp/750x0/props/000218971_1787504268602.jpg | https://images.aqar.fm/webp/750x0/props/000218978_1787504268599.jpg | https://images.aqar.fm/webp/750x0/props/000218975_1787504268602.jpg,3,وائل الحربي,مكتب نبراس المدينة للعقار,1,2026-08-23,2026-08-23,2026-09-10,244,2026-09-16,True,"720,000",False,دور
6799768,https://sa.aqar.fm/دور-للبيع/المدينة-المنورة/حي-الجصة/شارع-سعيد-بن-يربوع-حي-الجصة-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6799768,"دور للبيع في شارع سعيد بن يربوع, حي الجصة, مدينة المدينة المنورة, منطقة المدينة المنورة",980000,313,6,4,1,0,حي الجصة,المدينة المنورة,حي الجصة,"رقم العرض : R422 
عماره للبيع مخطط روابي الرانوناء ( الجصه ) 

المساحه 315 
واجهه جنوبي على شارع 20 جنوبي 

5 غرف 
صاله 
3 دورة مياة 

مجالس بالحوش مع دورة مياة 
مدخل سياره 


على الكود السعودي 
تاسيس غاز 
تاسيس كاميرات 
تاسيس مصعد 

جميع الضمانات موجوده 

المطلوب :  980 الف غير شامل السعي و الصريبه",24.362167,39.607993,https://images.aqar.fm/webp/750x0/props/001540789_1785580763068.jpg | https://images.aqar.fm/webp/750x0/props/001540786_1785580763070.jpg | https://images.aqar.fm/webp/750x0/props/001540788_1785580763071.jpg | https://images.aqar.fm/webp/750x0/props/001540789_1785580763071.jpg | https://images.aqar.fm/webp/750x0/props/001540781_1785580763072.jpg | https://images.aqar.fm/webp/750x0/props/001540782_1785580763071.jpg | https://images.aqar.fm/webp/750x0/props/001540789_1785580763073.jpg | https://images.aqar.fm/webp/750x0/props/001540788_1785580763073.jpg | https://images.aqar.fm/webp/750x0/props/001540784_1785580763106.jpg | https://images.aqar.fm/webp/750x0/props/001540787_1785580763119.jpg | https://images.aqar.fm/webp/750x0/props/001540788_1785580763121.jpg | https://images.aqar.fm/webp/750x0/props/001540784_1785580763117.jpg | https://images.aqar.fm/webp/750x0/props/001540786_1785580763118.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1785580763116.jpg | https://images.aqar.fm/webp/750x0/props/001540781_1785580763119.jpg | https://images.aqar.fm/webp/750x0/props/001540787_1785580774754.jpg | https://images.aqar.fm/webp/750x0/props/001540781_1785580774752.jpg | https://images.aqar.fm/webp/750x0/props/001540785_1785580774754.jpg,18,زينب سليم,مؤسسة مكتب بيت الشموخ للعقار,1,2026-08-01,2026-08-30,2026-09-15,513,2026-09-16,True,"980,000",False,دور
6673667,https://sa.aqar.fm/دور-للبيع/المدينة-المنورة/حي-السكة-الحديدية/شارع-تميم-ابن-حجر-حي-السلام-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6673667,"دور للبيع في شارع تميم ابن حجر, حي السلام, مدينة المدينة المنورة, منطقة المدينة المنورة",1050000,312,6,3,1,0,حي السكة الحديدية,المدينة المنورة,حي السكة الحديدية,"*رقم العرض : A205**
**نوع العرض : دور تأسيس 3 أدوار  **

📍الموقع : العزيزية - مخطط ت8
🔎مساحة الأرض : 313م

🔻 يتكون من  :
	-6 غرف 
	-صالة
	-مطبخ
	-4 دورات مياة
	-غرفة غسيل

✨المميزات والضمانات :
▫️البناء على الكود السعودي
▫️ضمانات على الكهرباء
▫️ضمانات على السباكة
▫️ موقع ممتاز جميع الخدمات متوفرة
▫️تأسيس غاز مركزي
🛣 شارع 16 شمالي


💰المطلوب : مليون و 50 ألف
💰السعي : 2.5٪ 

📲 للتواصل : 
((الرقم يظهر عند الضغط على اتصال))",24.470239,39.465265,https://images.aqar.fm/webp/750x0/props/001540782_1777391502976.jpg | https://images.aqar.fm/webp/750x0/props/001540786_1777391517923.jpg | https://images.aqar.fm/webp/750x0/props/001540784_1777391536140.jpg | https://images.aqar.fm/webp/750x0/props/001540781_1777391536134.jpg | https://images.aqar.fm/webp/750x0/props/001540785_1777391536140.jpg | https://images.aqar.fm/webp/750x0/props/001540785_1777391536139.jpg | https://images.aqar.fm/webp/750x0/props/001540781_1777391536143.jpg | https://images.aqar.fm/webp/750x0/props/001540785_1777391536161.jpg | https://images.aqar.fm/webp/750x0/props/001540786_1777391536139.jpg | https://images.aqar.fm/webp/750x0/props/001540783_1777391536155.jpg | https://images.aqar.fm/webp/750x0/props/001540780_1777391558256.jpg,11,زينب سليم,مؤسسة مكتب بيت الشموخ للعقار,1,2026-04-28,2026-08-22,2026-09-15,743,2026-09-16,True,"1,050,000",False,دور
