listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6741142,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-السكة-الحديدية/شارع-احمد-بن-منصور-حي-السلام-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6741142,"عمارة للبيع في شارع احمد بن منصور, حي السلام, مدينة المدينة المنورة, منطقة المدينة المنورة",1750000,524,,,,10,حي السكة الحديدية,المدينة المنورة,حي السكة الحديدية,عماره للبيع خمس شقق من 4 غرف وصالة قرب شارع الامام مسلم,24.467348,39.479673,https://images.aqar.fm/webp/750x0/props/004734555_1781994260010.jpg,1,ايمن احمد,,,2026-06-20,2026-08-18,2026-09-07,773,2026-09-16,True,"1,750,000",False,عمارة
6793952,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-الاسكان/شارع-حرب-ابن-شداد-حي-الإسكان-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6793952,"عمارة للبيع في شارع حرب ابن شداد, حي الإسكان, مدينة المدينة المنورة, منطقة المدينة المنورة",3600000,750,,,,11,حي الاسكان,المدينة المنورة,حي الاسكان,"عمارة قديمة سكنية للبيع تقع بحي الإسكان المدينة المنورة
بالقرب من المسجد النبوي بمسافة 10 دقائق ( 6 كيلو )
من شارع الملك عبدالعزيز ( 100 متر )
شارع الأمير محمد بن عبدالعزيز (التحلية - ساري) - ( 350 متر )
طريق الملك عبدالله ابن عبدالعزيز - الدائري الثاني ( 1 كيلو )
مسجد قباء ( 6 كيلو )
مطار الأمير محمد بن عبدالعزيز الدولي مسافة 15 دقيقة - (17 كيلو)
سهولة المداخل والمخارج , موقع استراتيجي , يحيط بالموقع جميع الخدمات ولله الحمد",24.469469,39.64642,,,محمد قاسم بن رجاء الحربي,مؤسسة منهل الوطنية العقارية,1,2026-07-28,2026-08-26,2026-08-26,243,2026-09-16,True,"3,600,000",False,عمارة
6546031,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-السلام/شارع-الحارث-بن-عمرو-الانصارى-حي-السلام-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6546031,"عمارة للبيع في شارع الحارث بن عمرو الانصارى, حي السلام, مدينة المدينة المنورة, منطقة المدينة المنورة",2500000,637,,,,8,حي السلام,المدينة المنورة,حي السلام,$5e,24.477152,39.504918,https://images.aqar.fm/webp/750x0/props/003628269_1768375424577.jpg | https://images.aqar.fm/webp/750x0/props/003628268_1768375424579.jpg,2,طارق بن عمر بن مرعي الحضرمي,مكتب سدين للعقار,1,2026-01-14,2026-01-14,2026-09-01,519,2026-09-16,True,"2,500,000",False,عمارة
6784718,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-الاسكان/شارع-بكير-ابن-عبيدالله-حي-الاسكان-المدينة-المنورة-منطقة-المدينة-المنورة-6784718,عمارة للبيع في شارع بكير ابن عبيدالله ، حي الاسكان ، المدينة المنورة ، منطقة المدينة المنورة,2200000,400,,,,30,حي الاسكان,المدينة المنورة,حي الاسكان,"فيلا في الاسكان الشمالي للبيع 

تقع على شارع 15 واجهة شمالية شرقية 

عدد 4 شقق دورين و ملحق و مسموح اكمال بناء الدور الثالث كامل

شقة الدور الارضي 5 غرف بملحقاتها 
شقتين الدور الاول كل شقة 3 غرف بملحقاتها
شقة الدور الثاني 3 غرف بملحقاتها بسطح خاص 
 
واجهات حجر 

بالدور الارضي تم اضافة ملحقين ارضيه و مطبخ كبير و مستودع و تغيير البويات و السيراميك و إضافة جبس معلق لاغلب الدور و تغيير السيراميك بالارضيات و الاحواش و مظلات PVC و باب الكتروني كراج 

عمر الدور الارضي 30 سنه 
الدور الاول 10 سنوات 
الملحق 7 سنوات 

دخل المبنى 90 الف سنويا عقود إلكترونية حديثة و سارية 

بجوار مسجد و حديقة 

بمنطقة مميزة بين طريق الحزام و طريق القصيم السريع و مقابل مدينة الملك سلمان الطبية 

مقابل مسجد ال الشيخ و اسواق الراية و البيك 

يفصلها عن شارع حسان بن ثابت قطعه واحدة و عن طريق القصيم السريع 3 قطع و بالقرب جدا من ممشى الاسكان الحيوي 

المبلغ المطلوب 2.200.000 اثنين مليون و مائتان الف صافي بدون الضريبة و الدلالة",24.446764,39.6474,https://images.aqar.fm/webp/750x0/props/003433820_1784670748880.jpg,1,بندر بن خالد,,,2026-07-21,,2026-08-01,76,2026-09-16,False,طلب تسويق,False,عمارة
6782626,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-الاسكان/شارع-ابو-سعيد-النقاش-حي-الإسكان-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6782626,"عمارة للبيع في شارع ابو سعيد النقاش, حي الإسكان, مدينة المدينة المنورة, منطقة المدينة المنورة",4300000,452,,,,9,حي الاسكان,المدينة المنورة,حي الاسكان,"عماره للبيع 
حي المبعوث 
المساحة 452,33
جميع الشقق مؤجرة بعقود الكترونيةً",24.46192,39.643531,https://images.aqar.fm/webp/750x0/props/011885130_1784565339684.jpg | https://images.aqar.fm/webp/750x0/props/011885132_1784565466020.jpg | https://images.aqar.fm/webp/750x0/props/011885136_1784565466074.jpg | https://images.aqar.fm/webp/750x0/props/011885135_1784565466064.jpg | https://images.aqar.fm/webp/750x0/props/011885135_1784565466062.jpg | https://images.aqar.fm/webp/750x0/props/011885138_1784565466000.jpg | https://images.aqar.fm/webp/750x0/props/011885131_1784565466065.jpg | https://images.aqar.fm/webp/750x0/props/011885130_1784565466006.jpg | https://images.aqar.fm/webp/750x0/props/011885131_1784565466063.jpg,9,عبدالرحمن حمزه جعفر بالي,مؤسسة نزل العربية للخدمات العقارية,1,2026-07-20,2026-08-18,2026-09-15,267,2026-09-16,True,"4,300,000",False,عمارة
6703175,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-الاسكان/شارع-ارطاءه-النخعى-حي-الإسكان-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6703175,"عمارة للبيع في شارع ارطاءه النخعى, حي الإسكان, مدينة المدينة المنورة, منطقة المدينة المنورة",1950000,400,,,,11,حي الاسكان,المدينة المنورة,حي الاسكان,"فرصة عقارية مميزة للبيع في حي الاسكان  
عمارة سكنية بموقع مميز في حي الاسكان ، تبعد عن الحرم  حوالي15دقيقه  
 
📍 الموقع: المدينة المنورة
 المساحة: 400 م2
 العمر  30–35 سنة
💰 السعر: 1,950,000 ريال (قابل للتفاوض البسيط)
  🔴 مميزات العقار:
✔ مجددة بالكامل
✔ موقع حيوي وقريب من الخدمات
 تفاصيل العقار:

🔹 تتكون من 3 شقق:

🔹 يتكون الدور الارضي  من :
مجلس رجال + مجلس نساء + صاله + مطبخ + غرفة غسيل+ 3غرف نوم
 +2 دورات مياة + بيت شعر خارجي + حديقة خارجية 

 🔹 يتكون الدور الثاني من :
مجلس رجال + مجلس نساء + صاله + مطبخ  + 3غرف نوم
 +3 دورات مياة 

 🔹 يتكون الملحق من :
مجلس رجال  مع دورة مياة + مجلس نساء + صاله + مطبخ  + 2غرف نوم
  +سطح صغير 


عمر العقار الدور الاول 35 سنه الدور الثاني 10 سنين والملحق 4 سنين وكلها مجدده",24.457144,39.653723,https://images.aqar.fm/webp/750x0/props/048167391_1779140216379.jpg,1,ساره واصل,شركة ساريا العقارية,1,2026-05-18,2026-09-13,2026-09-13,1159,2026-09-16,True,"1,950,000",False,عمارة
6871751,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-جبل-احد/شارع-انس-بن-قتاده-حي-جبل-أحد-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6871751,"عمارة للبيع في شارع انس بن قتاده, حي جبل أحد, مدينة المدينة المنورة, منطقة المدينة المنورة",2500000,400,,,,0,حي جبل احد,المدينة المنورة,حي جبل احد,"عمارة للبيع  مكونه من ثلاث طوابق كل طابق فيه خمس غرف وصالة كبيرة ومطبخ و ثلاث دورات مياة  الموقع قريب من مسجد الشهداء  حوالي ٨٠٠ متر  وقريب من الحرم ٥٠٠٠ متر تقريباً و حديقة الامير محمد ٨٠٠ متر تقريبن وممشى العيون ٨٠٠ متر تقريباً ومطل 
على مزارع و جبل احد  ملاحظة الطابق الارضي له حوش مدخل خاص",24.514684,39.603294,https://images.aqar.fm/webp/750x0/props/011847579_1789285676930.jpg | https://images.aqar.fm/webp/750x0/props/011847576_1789285676933.jpg | https://images.aqar.fm/webp/750x0/props/011847572_1789285676931.jpg | https://images.aqar.fm/webp/750x0/props/011847572_1789285676942.jpg | https://images.aqar.fm/webp/750x0/props/011847570_1789285676929.jpg | https://images.aqar.fm/webp/750x0/props/011847571_1789285676925.jpg,6,طلال بن نايف بن سعدون الحنيني,,,2026-09-13,2026-09-13,2026-09-14,57,2026-09-16,True,"2,500,000",False,عمارة
6816751,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-العريض/شارع-المنارات-حي-العريض-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6816751,"عمارة للبيع في شارع المنارات, حي العريض, مدينة المدينة المنورة, منطقة المدينة المنورة",4300000,672,,,,11,حي العريض,المدينة المنورة,حي العريض,"🏢 عمارتان تجاريتان سكنيتان للبيع – حي العريض – شارع المنارات – المدينة المنورة

فرصة استثمارية مميزة، والعمارتان متجاورتان، ويمكن شراء كل عمارة بشكل مستقل أو معًا، بموقع حيوي على شارع المنارات، وعلى بعد أقل من 3 كم من المسجد النبوي الشريف.

🏢 العمارة الأولى
📐 مساحة الأرض: 665.89 م²
🏗 مساحة البناء: 1797.9 م²
▫️ 4 معارض تجارية.
▫️ 8 شقق سكنية.
▫️ شقق مكونة من 3 و5 غرف، مع صالات ومطابخ ودورتي مياه أو 3 دورات مياه.
▫️ مصعد.
▫️ مجددة بالكامل.
💰 السعر: 4,500,000 ريال.

🏢 العمارة الثانية (المجاورة)
📐 مساحة الأرض: 672 م²
🏗 مساحة البناء: 1713.6 م²
▫️ معارض تجارية وشقق سكنية.
▫️ 8 شقق سكنية.
▫️ شقق مكونة من 3 و5 غرف، مع صالات ومطابخ ودورتي مياه، بالإضافة إلى ملحق علوي بسطح.
▫️ مصعد.
▫️ مجددة بالكامل.
💰 السعر: 3,350,000 ريال (شامل الزوائد).

📌 إجمالي مكونات العقارين تقريبًا:
▫️ 16 شقة سكنية.
▫️ 6 معارض تجارية.
▫️ 76 غرفة.
▫️ 15 صالة.
▫️ 15 مطبخًا.
▫️ 41 دورة مياه.
▫️ غرفة حارس.
▫️ مستودعان.
▫️ مصعدان.

✅ العمر التقريبي للعمارتين: 40 سنة.
✅ مناسبة للاستثمار وتحقيق عائد إيجاري في أحد أفضل المواقع التجارية والسكنية بالمدينة المنورة.

🌐 لزيارة العرض في موقع سدين الإلكتروني:
https://sadin.com.sa/property/UVU6A
📞 للتواصل:
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))

📄 تراخيص الإعلان العقاري:
7200999048
7200927790",24.481562,39.637339,https://images.aqar.fm/webp/750x0/props/003628261_1786461882081.jpg | https://images.aqar.fm/webp/750x0/props/003628261_1786461882069.jpg | https://images.aqar.fm/webp/750x0/props/003628265_1786461881906.jpg | https://images.aqar.fm/webp/750x0/props/003628264_1786461882115.jpg | https://images.aqar.fm/webp/750x0/props/003628261_1786461881933.jpg | https://images.aqar.fm/webp/750x0/props/003628265_1786461882131.jpg,6,طارق بن عمر بن مرعي الحضرمي,مكتب سدين للعقار,1,2026-08-11,2026-08-11,2026-08-17,48,2026-09-16,True,"4,300,000",False,عمارة
6736130,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-الاسكان/شارع-صفية-بنت-ابي-عبيد-حي-الإسكان-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6736130,"عمارة للبيع في شارع صفية بنت ابي عبيد, حي الإسكان, مدينة المدينة المنورة, منطقة المدينة المنورة",1800000,381,,,,11,حي الاسكان,المدينة المنورة,حي الاسكان,"موقع العمارة مرغوب استثمارياً
- محاط ب٣ طرق رئيسية طريق الملك عبدالعزيز
طريق الأمير محمد بن عبدالعزيز ( ساري ) طريق الأمير عبدالمجيد ( الحزام )
- قريب من طريق الملك عبدالله ( الدائري الثاني )
-قريب من طريق الهجرة 
- يبعد قرابة ٤ كيلو عن المسجد النبوي
-يبعد قرابة ٥.٥ كيلو عن مسجد قباء
-قريب من جميع الخدمات ( مدارس لجميع المراحل - طلاب وطالبات + مراكز صحية +....)
-وجود مشاريع عديدة تحت الإنشاء لبنايات فندقية في نفس المنطقة.

الواجهة جنوبية غربية
شوارعها ١٥ جنوبي ٥ غربي
مع استطراق غير نافذ في الجهة الشمالية ٣.٥

دورين ٤ شقق 
الدور الأرضي شقتين كل شقة ٣ غرف
الدور الأول شقتين كل شقة ٤ غرف 
فسح البناء ٤ أدوار 

احداثيات الموقع:
https://maps.app.goo.gl/Wbf12FjdRLAy1nd1A?g_st=it

للمزيد من التفاصيل التواصل على الواتساب فقط .

((الرقم يظهر عند الضغط على اتصال))",24.463831,39.647771,https://images.aqar.fm/webp/750x0/props/051800568_1782757377932.jpg | https://images.aqar.fm/webp/750x0/props/051800565_1781679329012.jpg | https://images.aqar.fm/webp/750x0/props/051800561_1781679341049.jpg | https://images.aqar.fm/webp/750x0/props/051800561_1781679349915.jpg,4,اروى غازي عمر,,,2026-06-17,2026-08-14,2026-08-14,537,2026-09-16,True,"1,800,000",False,عمارة
6526734,https://sa.aqar.fm/عمائر-للبيع/المدينة-المنورة/حي-الخالدية/شارع-عبدالقدوس-ابن-بكر-حي-الخالدية-مدينة-المدينة-المنورة-منطقة-المدينة-المنورة-6526734,"عمارة للبيع في شارع عبدالقدوس ابن بكر, حي الخالدية, مدينة المدينة المنورة, منطقة المدينة المنورة",7500000,550,,,,3,حي الخالدية,المدينة المنورة,حي الخالدية,$5f,24.463653,39.656962,https://images.aqar.fm/webp/750x0/props/003628266_1784988364839.jpg | https://images.aqar.fm/webp/750x0/props/003628263_1784988364660.jpg | https://images.aqar.fm/webp/750x0/props/003628265_1784988364683.jpg | https://images.aqar.fm/webp/750x0/props/003628264_1784988364830.jpg | https://images.aqar.fm/webp/750x0/props/003628264_1784988364665.jpg | https://images.aqar.fm/webp/750x0/props/003628265_1784988364688.jpg | https://images.aqar.fm/webp/750x0/props/003628267_1784988364687.jpg | https://images.aqar.fm/webp/750x0/props/003628262_1784988400491.jpg | https://images.aqar.fm/webp/750x0/props/003628262_1784988400569.jpg | https://images.aqar.fm/webp/750x0/props/003628266_1784988400496.jpg | https://images.aqar.fm/webp/750x0/props/003628264_1784988400505.jpg | https://images.aqar.fm/webp/750x0/props/003628261_1784988400569.jpg | https://images.aqar.fm/webp/750x0/props/003628265_1784988400504.jpg | https://images.aqar.fm/webp/750x0/props/003628266_1784988400634.jpg | https://images.aqar.fm/webp/750x0/props/003628261_1784988400612.jpg,15,طارق بن عمر بن مرعي الحضرمي,مكتب سدين للعقار,1,2025-12-30,2025-12-30,2026-08-21,801,2026-09-16,True,"7,500,000",False,عمارة
